date,UPBEST SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EDDID SECURITIES AND FUTURES LTD,WATON SECURITIES INTERNATIONAL LIMITED,DBS BANK (HONG KONG) LTD
2024-07-23,84.20582278006844,0.0,4.355089157585017,3.243796695911674,2.745261027377692,2.4069084456146013,0.04013496049382056,1.4038317292727456,1.4412910257336449,0.15786417794236085
2024-07-24,84.20356977543753,0.0,4.354972633148628,3.239250584393983,2.745187575381101,2.406844046554119,0.04013388664585056,1.4037941684570838,1.4457117833983057,0.16053554658340224
2024-07-25,84.21108025976967,0.0,4.341981916733488,3.235971732520356,2.7454324306565807,2.4052748360979126,0.04727301593814192,1.4039193789931204,1.4440568453556937,0.16500958393502368
2024-07-26,84.20582278006844,0.0,4.34171083742041,3.226850823703172,2.745261027377692,2.4033408935707063,0.0633240487791391,1.270048527626677,1.4377234736897497,0.30591758776400996
2024-07-29,84.20582278006844,0.0,4.287305668751009,3.225958935692199,2.745261027377692,2.4033408935707063,0.12040488148146167,1.270048527626677,1.435939697667802,0.30591758776400996
2024-07-30,84.20882697379629,0.0,4.285674786407498,3.2278578672234626,2.74535896948772,2.4016427974054646,0.12040917714152181,1.2700938388853855,1.4342070877301265,0.3059285019225332
2024-07-31,84.18404878435891,0.0,4.284413739726992,3.226908079931735,2.74455115601894,2.400936121367648,0.1542567277778917,1.2697201176631085,1.4293267897569966,0.3058384833977853
2024-08-01,84.18630074446467,0.0,4.284528349667448,3.2278860823717297,2.744624573962135,2.4010003474584556,0.1542608542127926,1.2697540832313101,1.4257982999205512,0.3058466647109125
2024-08-02,84.17879467927747,0.0,4.284146340376095,3.225815080016798,2.744379862758717,2.399894672114948,0.1640547193817277,1.269640871736849,1.427454378968185,0.3058193953691989
2024-08-05,84.17879467927747,0.0,4.284146340376095,3.2177906643948657,2.7434882610229465,2.399894672114948,0.17029593153211953,1.269640871736849,1.4301291841754957,0.3058193953691989
2024-08-06,84.17879467927747,0.0,4.285037942111866,3.216007460923325,2.7434882610229465,2.398111468643407,0.1747539402109708,1.269640871736849,1.4283459807039551,0.3058193953691989
2024-08-07,84.17879467927747,0.0,4.285037942111866,3.215115859187555,2.7434882610229465,2.398111468643407,0.17742874541828157,1.269640871736849,1.4265627772324148,0.3058193953691989
2024-08-08,84.17954522556388,0.0,4.28507614792518,3.214252915786574,2.7435127222299993,2.398132850437528,0.17921354676091575,1.269652191977831,1.4247922772335493,0.3058221220845478
2024-08-09,84.17954522556388,0.0,4.28507614792518,3.2115780867304404,2.7435127222299993,2.398132850437528,0.18277998550242652,1.269652191977831,1.4239006675481714,0.3058221220845478
2024-08-12,84.17804414637473,0.0,4.241311641450908,3.207954443123895,2.743463800252083,2.398090087230564,0.23448916579810572,1.2696295516977283,1.4212004953695077,0.3058166687024725
2024-08-13,84.17804414637473,0.0,4.241311641450908,3.2052796617649815,2.743463800252083,2.393632118299041,0.23983872851593324,1.2723043330566421,1.420308901583203,0.3058166687024725
2024-08-14,84.17729362685527,0.0,4.241273826517011,3.206142669782462,2.7434393399173977,2.393610777014085,0.24340293349572084,1.2722929893714052,1.4167298949622726,0.3058139420843672
2024-08-15,84.15928517244484,0.0,4.240366470351754,3.2054567642179745,2.744635212899319,2.393098700316237,0.26830992381246116,1.2720208015959538,1.4110784365286577,0.3057485178328046
2024-08-16,84.15928517244484,0.0,4.240366470351754,3.2036739740265294,2.744635212899319,2.393098700316237,0.27187550419535106,1.2720208015959538,1.4092956463372128,0.3057485178328046
2024-08-19,84.15928517244484,0.0,4.240366470351754,3.2036739740265294,2.744635212899319,2.393098700316237,0.27365829438679595,1.2729121966916763,1.4066214610500456,0.3057485178328046
