date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS BANK CO LTD
2024-04-23,37.63293561703864,15.714322221560018,10.050879575395331,8.456432734452004,3.5416558830008533,3.044343897155084,4.546367968716945,0.9767918335613819,2.074242852323473
2024-04-24,37.62990194614726,14.990694415866116,10.056615971262675,8.483653035995593,3.537905162626053,3.063422598233337,4.615802738394216,1.644962590946537,0.0
2024-04-25,37.69873869655536,14.920805974496451,10.071287906846452,8.515148055613404,3.537877583799768,3.089860819421127,4.626709171352305,1.646866577955621,2.0740773793657614
2024-04-26,37.56564328090252,14.92499056496637,10.055209451122122,8.496096436942562,3.516917675822942,3.0402070732122892,4.697405672332129,1.6381792476757524,2.0845795618881597
2024-04-29,37.20731159097765,15.077893148814967,10.047652852719951,8.489394782155236,3.5137461108001333,3.067813478323872,4.781485901919945,1.639469881588252,2.0858206090709985
2024-04-30,36.95598574703974,15.129096880218693,10.024707269250586,8.481452080185068,3.5146010544149773,3.035546251570074,5.090812168684287,1.644958068019026,2.0744857114677413
2024-05-02,36.56428367730967,15.444563793286065,10.015440783618725,8.48114871309593,3.5088095008950653,3.034713040070343,5.131608368097423,1.6458203476016624,2.0695766803889586
2024-05-03,36.640814920251366,15.431767217889686,10.016130254275858,8.4643256290619,3.5148768426778303,3.039732386454267,5.0218909719101,1.6588651324346078,2.069797310999241
2024-05-06,0.0,15.24075626703772,10.01640604253871,8.467497194084709,3.5127256942275773,3.034713040070343,4.930371298774173,1.6459306629068033,2.069907626304382
2024-05-07,0.0,15.430360697749137,10.012903531600477,8.465621833897309,3.5122844330070127,3.040394278285114,4.773148271157375,1.6451860345971003,2.071479619402644
2024-05-08,36.651570662502635,15.491973284927111,10.00978712423024,8.435836701509187,3.5001773282677675,3.035954087253181,4.749689225100227,1.6586748385332393,2.0693008921261056
2024-05-09,36.6581895808111,15.505307371647788,10.009042495920536,8.43141978700664,3.499708488220917,3.0361471390371784,4.754875919802051,1.6562412829018245,2.0684502508081617
2024-05-10,36.714257334649105,15.481762555440895,10.011083329065649,8.431226735222642,3.5078166631487946,3.034713040070343,4.764208208513427,1.6647894504242575,2.0688363543761557
2024-05-13,36.518668298633784,15.524822590388485,9.982732295644363,8.426152231186148,3.503384635449442,3.0444207869227675,4.9329294555427445,1.6647933114599376,2.0687260390710147
2024-05-14,36.234220284327236,15.53101309920944,9.95876629560244,8.403592751284775,3.4985307620232295,3.0735991851326117,5.190698099404469,1.6647699246152476,2.0670988883201824
2024-05-16,36.30622859975814,15.548745953564971,9.947872659219748,8.333543304727256,3.494062992165012,3.0747633425477665,5.195508894704024,0.0,2.06514001944679
2024-05-17,36.48907621802966,15.90327507492162,9.951678537247117,8.333570883553541,3.496876032446112,3.071564198698672,4.570360720220364,1.6995302772652359,2.064836652357652
2024-05-20,36.44194400390809,16.030298846494794,9.945087197764932,8.312859185013284,3.4909190059684874,0.0,4.595529322561284,1.699272470397121,2.057059423345198
2024-05-21,36.270210652629544,16.02704454499313,9.960007342785278,8.298490616518645,3.4968484536198265,0.0,4.687691747822617,1.7020303530256506,2.055845954988645
2024-05-22,36.213425849308116,16.045949003046914,9.914529858240822,8.29680830811524,3.497703397234671,3.0847192988367587,4.934719045580397,1.7020173909772964,2.054991011373801
2024-05-23,36.11827889862384,15.997939727091817,9.922803506126412,8.302710176940295,3.4965175077044033,3.071564198698672,5.123622974104168,0.0,2.0646160217473697
2024-05-24,36.02125658775217,16.03207166860607,9.916515533733364,8.301579445062597,3.4946145686907175,0.0,4.988460856367157,1.7020337176424574,2.064009287569093
2024-05-27,36.178014636357794,16.156792001450246,9.928870847909177,8.304420064169983,3.5006543316471976,0.0,4.938237166134307,1.707553950669375,2.0704903117461377
2024-05-28,36.30840732703468,16.159883312088564,9.924789181618953,8.305468059568824,3.5010404352151916,3.0378904518043246,4.90723613845292,1.704961540998557,2.0792603785048622
2024-05-29,36.29812042483026,16.15672277859627,9.917729002089917,7.149749765257167,3.498889286764938,0.0,4.888927989781078,1.7031964961162982,2.079150063199721
2024-05-30,36.37230746753771,16.183574571863033,9.912654498053424,7.1332300483122735,3.4888781728233758,0.0,4.798349251040353,1.6874577563741524,2.0827077317905243
2024-05-31,36.525921529946814,16.135697729431758,9.922334666079562,7.133754046011694,3.494393938080435,3.0378849360390676,4.751081018147541,1.6854169232290401,0.0
2024-06-03,36.683782731603856,16.14195812299852,9.918611524531046,7.127355758313506,3.49067079653192,0.0,4.677856807423365,1.686602812759308,2.0864584521653247
2024-06-04,37.342308461025056,16.198207208599456,10.03656942438393,7.219108867527348,3.5371310094519437,3.083606802560432,4.681106193337505,1.7063899203885375,2.1114572018296593
2024-06-05,37.16268088029338,16.26047280203528,10.029566236629403,7.197541281335116,3.521366861717648,3.0906099903149595,4.805690001771326,1.703237090841678,2.1107317720224175
2024-06-06,37.23444262891746,16.25507923141844,10.001063876293696,7.1787638097861235,3.5127454074700415,3.0733815346135995,4.840853314399421,1.6999569204625014,2.1096157261651225
2024-06-07,37.362006670406316,16.2541026912933,10.000254743047158,0.0,3.5160377427490626,3.072293389902737,4.8296649546800365,1.705983568091896,2.1113455972439303
2024-06-11,37.39674359771463,16.2698183468351,10.001314986611586,7.181135407232876,3.5160098416026306,3.074971899960245,4.793263110161808,1.700487042244717,2.1142194153264655
2024-06-12,37.47871716593297,16.190960332231985,10.000924370561535,7.179907756789851,3.5159261381633335,3.072990918563546,4.797793530912619,1.6951579232761318,0.0
2024-06-13,37.70817619419288,16.118719576725947,10.022464055607333,7.189533652309023,3.531746088190494,3.083327791096108,4.572328049543869,1.7036916563193543,2.1285327034462775
2024-06-14,37.72424725453793,16.128038559634366,10.042497078745784,7.190649698166318,3.531801890483359,3.0833835933889726,4.504638584846175,1.7037474586122192,2.1396931620192303
2024-06-17,37.752901731923984,16.153191777956913,10.048495825228745,7.188557112183889,3.5223434018427815,3.0774451133823044,4.483412955104619,1.7061748583518364,2.147728692191756
2024-06-18,37.794809253865424,16.10782897804129,10.05134174216485,7.177424554757369,3.516484161091981,3.0701584499800236,4.4719043460264825,1.707988432869941,2.146389437163002
2024-06-19,37.8775919553303,15.98532358180751,10.052569392607873,7.17156531400657,3.5192742757352193,3.0786412355298607,4.600987102717941,1.7130774345723292,2.1408092078765253
2024-06-20,37.97630621140807,15.97725936925645,10.053685438465168,7.171593215153002,3.522064390378457,3.070172735366997,4.587630210095537,1.7067446555642785,2.1429296950053867
2024-06-21,37.91941577383245,15.991504187962915,10.051034829554093,7.152899447043305,3.5106807226340457,3.0701584499800236,4.55845426028266,1.706716754417846,2.131434422675245
2024-06-24,37.97359980020413,15.991329303577078,10.050644213504038,7.14053923917376,3.5134708372772834,3.070446724624963,4.60783370923869,1.7067521330715225,2.1301788710857883
2024-06-25,38.098541133928336,16.18192437855298,10.053908647636629,7.14017652427014,3.5066071552549176,3.0701584499800236,4.596380902453419,1.6978246590498463,2.126384315170984
2024-06-26,38.1846719729651,16.13599909152528,10.055192100372517,7.141571581591759,3.5090903572873997,0.0,4.55095432051705,1.6978302392791325,2.1241522234563934
2024-06-27,37.806974153709945,16.278359892199322,10.022045538410847,7.074804138179068,3.486769440141494,3.0805996728002425,4.742389387407445,1.6922073770409072,2.105514257639562
2024-06-28,38.13313855550449,16.294508964149802,9.984546397605726,6.995815992628995,3.4673223410781238,0.0,4.4470996688251665,1.5676287582203217,2.08721110557992
2024-07-02,38.61323358216649,16.1244798800115,9.977543209851197,6.987752561310036,3.49949236291466,3.0701584499800236,4.323272818494055,1.5667638226809177,2.085648641379706
2024-07-03,38.745931434598894,15.796071668020861,9.95273909067281,6.977038521080002,3.4926565820387263,0.0,4.202264597777835,1.5539292953220218,2.0863182688940833
2024-07-04,39.39449358341962,15.522110032189836,9.928074477226586,6.960726729643531,3.48766227682733,3.0948386880682515,3.8775389465002212,1.509678077080264,2.0865869011319345
2024-07-05,40.30262009750079,15.402901993441434,9.828637804665389,6.776913976946998,3.404014639823049,3.09405131771593,3.479362411193504,1.4487977755648065,2.0506502245270264
2024-07-08,40.521755701580716,15.395647695369016,9.83296248236241,6.768571534163716,3.3915149262213418,3.1008870985918633,3.534086436353242,1.4258909343438206,2.048892452301786
2024-07-09,40.668208819204295,15.244646188656327,9.791340444951267,6.76112192806627,3.3861021038134598,3.0878153556859993,3.485477896073139,1.385601678895461,2.064510621237948
2024-07-10,40.90617429318621,15.247687413617458,9.766620029212177,6.7534770139437965,3.3882504920887526,3.087871157978864,3.5812590720333493,1.386187602970541,2.061832111180439
2024-07-11,40.91178242361913,15.316054708766579,9.760900294193538,6.749347644271804,3.381972734141467,3.0701927125878425,3.073485271076035,1.3547435689641751,2.065654568241676
2024-07-12,40.87988588881991,15.331581975767666,9.762239549222294,6.750882207325586,3.3842048258560578,3.0701584499800236,3.4429814925350994,1.3466243353523522,2.074666638539335
2024-07-15,41.125583384303475,15.26645941654175,9.749265516131235,6.727249936297358,3.3674362368501956,3.0770842957566407,3.334021600673603,1.3421780086568877,2.073299482364148
2024-07-16,41.06886035360644,15.277802181205491,9.755096855735603,6.741312114099278,3.3797127412804437,3.077805986810261,3.3244006715584966,0.0,2.074220220196417
2024-07-17,41.03579749508407,15.234887037261796,9.759561039164783,6.74918023739321,3.380828787137739,3.0709144036414626,3.379269838481976,1.3425407235605087,2.075671079810901
2024-07-18,40.71326024232573,15.197047446667906,9.761084553364578,6.756546140051359,3.387692469160105,3.1392722124007983,3.683834567765894,1.342183644688467,2.078963415089922
2024-07-19,40.76457045061488,15.246518802000283,9.76323294163987,6.7564345354656306,3.221624845594567,3.0701584499800236,3.614952105849043,1.3465920258247832,2.0796609437507314
2024-07-22,41.0505071468901,16.035179582344604,9.760833443046685,6.7520819566221775,3.210045869825129,0.0,3.3949929715310168,1.3424626561527908,2.0786286013327335
2024-07-23,41.02994400196944,16.08876931429728,9.766720584943918,6.773091519885761,3.2216527467409994,0.0,3.2990312751533892,1.37169318060809,2.080609582729432
