date,CMB WING LUNG BANK LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,DAH SING SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-10-17,45.50707903926516,39.36367885863518,3.502091849610563,4.292126037906548,2.54432348436068,2.5489180291045543,2.2393550280189545,0.002427673098363432
2024-10-23,45.51418219641809,39.369823098233795,3.502638487832504,4.294183450125411,2.544720625419585,2.532319523100612,2.2397045668384314,0.002428052031573334
2024-10-24,45.53488856085271,39.37993113053675,3.5035377751595576,4.2952859632080935,2.545373971466367,2.498274322025541,2.240279601327517,0.002428675423461765
2024-10-25,45.53772294357684,39.377881785671306,3.50335544987497,4.295062435081415,2.5452415093484984,2.498144310989276,2.2401630164233195,0.002428549034375598
2024-10-28,45.55506972239381,39.377881785671306,3.50335544987497,4.295062435081415,2.5452415093484984,2.4807975321723075,2.2401630164233195,0.002428549034375598
2024-10-29,45.55491167619844,39.37809210463685,3.5033432955307164,3.67715741625372,2.545232679030834,3.09867904321273,2.240155244527811,0.00242854060890424
2024-10-30,45.55001278801337,39.37385745982988,3.5029665526846174,3.676761981769088,2.5557127785555673,3.098345817187356,2.2399143425118413,0.0024282794482860287
2024-10-31,30.73126206775496,26.56462465625183,2.3633491311216432,2.4806038265753902,1.7418177988414953,2.0903633491311213,1.5112047276344276,0.0016382891580363932
2024-11-01,45.490009563744415,39.28045558683915,3.551727830629143,3.6680077245287235,2.6811347278651807,3.091660893277649,2.2345811753261597,0.0024224977895745885
2024-11-04,45.41347122889191,39.21471050564392,3.6849839412642442,3.6635636333364,2.688370257015227,3.08645907909978,2.237731200784597,0.010710153963921954
2024-11-05,45.38524705564733,39.19033882135956,3.691325600979297,3.661286752669017,2.722607960932869,3.0848861392301585,2.236340465582537,0.0279672035992258
2024-11-06,45.3803897666843,39.18648977045706,3.699561471465983,3.664347280528176,2.6515429587996175,3.033806120441813,2.2361011245506877,0.14776150707236285
2024-11-07,45.25991788806157,39.082460914302466,3.6897402001450605,3.661505905967019,2.653111891626367,2.9572324265552323,2.230164919404588,0.4658658539376883
2024-11-08,45.253217792386316,39.076675304439064,3.700554885622042,3.6609638714024366,2.6527191356440203,2.9567946497956523,2.2332774716745916,0.46579688903587524
2024-11-11,45.20575073467813,39.04806766161894,3.696673295298145,3.662282437587678,2.6499366424106574,2.903482553063924,2.230934939678023,0.6028717356644943
2024-11-12,45.15683179610404,39.00581219649931,3.707788580761455,3.661754700485161,2.6470690407067026,2.901027652098414,2.228520756360563,0.691195276984346
2024-11-13,45.13109486600295,38.983581011934135,3.7228423747371178,3.659667700112786,2.6455603557931755,2.8997175652568297,2.232400730475029,0.7251353956879824
2024-11-14,45.104613385243795,38.960706695377986,3.7391874448180755,3.6592360201468255,2.678665081052627,2.8983592430394016,2.2345222208548505,0.7247099094664381
2024-11-15,45.094091372120914,38.95161793402172,3.73831516643211,3.6515212105628505,2.6773540833050173,2.897683113222489,2.234000951069643,0.7554161692652571
2024-11-18,45.09718557222715,38.95531990687145,3.7385716766495944,3.651771765280195,2.669646893020159,2.897881942184864,2.234154240464546,0.755468003302047
2024-11-20,45.07275295831453,38.93421481396931,3.7571200115959464,3.649793319652026,2.7018044243505104,2.8963119366565957,2.232943827280533,0.7550587081805488
2024-11-21,45.059928707635436,38.923137120729,3.7560510232227546,3.6487548682288033,2.73017363136864,2.894802269846388,2.232308502621756,0.7548438763472215
2024-11-28,45.04495057505192,38.91019888657992,3.7548024941675653,3.647542004921015,2.762506579899853,2.893840023934236,2.2315664727588924,0.7545929626865912
2024-12-04,44.998843457114,38.87037117878696,3.7509591528113853,3.643808453274106,2.7596789329592375,2.8908779466853174,2.229282285580701,0.8561785927882882
2024-12-05,44.931932840647065,38.81257323781654,3.74538169859312,3.638390325803155,2.755575453748019,2.886579382307152,2.225967474786748,1.0035995862982021
2024-12-06,44.9104406950126,38.794008145603975,3.7435901823187527,3.6366499863649544,2.7542573882828916,2.8851986541579757,2.224902734987653,1.050952213271195
2024-12-09,44.89556176221024,38.78115560104196,3.742349922238907,3.635445155819196,2.7533448964443243,2.8845843299498872,2.2241656195692037,1.0833927127262768
2024-12-10,44.833850586911524,38.727848980127874,3.7372058767472023,3.6110065361981047,2.7495602873895972,2.900060845818268,2.221108393664122,1.2193584931433101
2024-12-11,44.81443828488595,38.71108047393532,3.7355877295601676,3.617966321629323,2.748369774104711,2.8994870315613217,2.2201466911468297,1.2529236931763819
2024-12-12,44.78847960995155,38.68865715696782,3.7334238977400713,3.6158706217776433,2.7467777863370193,2.897807509420481,2.218860675557483,1.3101227422479305
2024-12-13,44.771393850825305,38.6738983376719,3.7319996837013614,3.6144912515687544,2.7457299547508747,2.8967020635216385,2.2180142320218366,1.3477706259383304
2024-12-16,44.699836586317886,38.61208658389666,3.7260348998173036,3.610074518249566,2.783848978204726,2.8924123796555676,2.219570118746695,1.4561359351115901
2024-12-17,44.69330127700431,38.60644132994632,3.7254901374100298,3.6105667399066457,2.783441967451572,2.9055898985352884,2.2192456080017586,1.4559230417440676
2024-12-18,44.66839344446444,38.584925739284394,3.726812106061314,3.6092341915270554,2.7971826646167606,2.9063493405945104,2.218008809725741,1.4890937037257845
2024-12-19,44.64760756457037,38.56731038765972,3.728474504829239,3.6075546794015985,2.7958810305434243,2.905336569600745,2.2169766869837333,1.5308585764111668
2024-12-20,44.68297026886049,38.598197183034245,3.7314276068779177,3.6138113226490973,2.884438071137538,2.9076377132359434,2.2187326218540737,1.3627852123506943
2024-12-23,44.682818377904816,38.598065976066074,3.7314149226247926,3.613799038209362,2.8844282660584977,2.9079677595960693,2.2187250797095768,1.3627805798308092
2024-12-27,44.67309950417947,38.58967058511085,3.7306033097550957,3.613013007744049,2.883800879624398,2.907335253132089,2.218242489092786,1.3842349713612558
2024-12-30,44.67006322312441,38.58704777435854,3.730349753134241,3.6127674433424546,2.890401542636406,2.9071376512856135,2.2180917225751293,1.3841408895432055
2025-01-02,44.651854200627085,38.571318393866754,3.7288291369166546,3.6112947576351417,2.929986686140324,2.905952604050944,2.2171875536717685,1.3835766670913303
2025-01-03,44.643210114400894,38.56385142954863,3.730145052275556,3.6102560234625476,2.9470801811575527,2.905390044996492,2.2167583316218296,1.3833088225364965
2025-01-06,44.638661939476734,38.559922609430146,3.7297650313911532,3.609888216670123,2.9569677688804354,2.9050940487606995,2.216532492023132,1.3831678933675833
2025-01-07,44.65276429917074,38.57210455832343,3.733321259883348,3.611028661743402,2.923931775514054,2.9060118334666143,2.217232744609519,1.3836048672888879
2025-01-08,44.64700096821498,38.56712605793899,3.7328394002197287,3.6105625863817754,2.919138832116217,2.905636754605977,2.2169465664453294,1.4007488340769936
2025-01-10,44.64654603176518,38.56775203623465,3.732801363964939,3.610525796082557,2.919109087169682,2.905607147240625,2.2169239765786313,1.4007345609637316
2025-01-14,44.655798228941535,38.57574451220881,3.7335749202040933,3.6109342881573534,2.919714020255313,2.8858257977402815,2.217383394374169,1.4010248381184425
2025-01-15,44.675528826226724,38.59278871498052,3.735224552863372,3.5659668797672883,2.9182850600480004,2.878943866923065,2.218363117064534,1.4148989821264986
2025-01-17,44.680843889447694,38.59738011249238,3.7356689338290727,3.5663911240886836,2.918632249437773,2.867389341056281,2.21862703649703,1.4150673131510856
2025-01-21,44.68540066459943,38.60131646568781,3.7360499159657325,3.566754842430616,2.9189299061012015,2.8574832733067845,2.218853303139976,1.4152116287684573
2025-01-22,44.67249221494813,38.590165549669145,3.729533040440944,3.565724499754545,2.9524117293549037,2.8566578207335884,2.21821233414963,1.4148028109491206
2025-01-24,44.66793807194955,38.586231470249395,3.734250089181599,3.565360991509085,2.9572080018281617,2.8563665983824595,2.2179861982062334,1.4146585786935113
2025-01-27,44.67021502737475,38.5881984096891,3.7344404431886704,3.5655427363668695,2.952261229685684,2.8565122021354705,2.2180992604142733,1.4147306911451847
2025-02-03,44.68251459909138,38.598823348778026,3.735468690266154,3.5668644068580178,2.9489949743414194,2.833503759630772,2.218709995574409,1.4151202254598232
2025-02-04,44.66277783226304,38.581773816469514,3.733818691934685,3.5652888829257123,2.991863489549956,2.8322521693048284,2.2177299665354164,1.4144951510168435
2025-02-05,44.652460928867384,38.595961154047295,3.732956196393404,3.564465317022112,2.991172382366462,2.8315979316277056,2.217217680758918,1.4141684089167113
2025-02-06,44.622902105418014,38.57041158347763,3.7382929848902084,3.5617662547646263,3.0153318353546594,2.8297234839130785,2.215749937557064,1.4458218146247181
2025-02-07,44.550610363731344,38.507925234554065,3.7322367290650194,3.5559959826870853,3.0104468193683376,2.825139164438283,2.212160291555338,1.6054854146005264
2025-02-10,44.5537814411467,38.51066619839331,3.73250238674072,3.555910147048392,3.0191348165219507,2.8253402556225886,2.2123177513854593,1.590347003140888
2025-02-11,44.538836027174995,38.49774792681133,3.7312503315499868,3.563188202558995,3.0181220580487134,2.8243925048735985,2.2115756369439485,1.614887312038434
2025-02-12,44.52465470909593,38.48549011189347,3.73006228865295,3.5938940140399382,3.017161077638706,2.8234932086174656,2.210871463679423,1.6143731263821248
2025-02-17,44.5144015113609,38.476627621153796,3.7241235891304925,3.6215129273585056,3.016466281703071,2.8225043617320185,2.2103623412071225,1.6140013663540902
2025-02-24,44.50987954285072,38.4727189962465,3.7237452762918086,3.6313034775805546,3.0161598558032554,2.8222176393363383,2.2101378028877545,1.6138374090030698
2025-02-26,44.499482501016146,38.46373217190543,3.722875448383566,3.630455243108608,3.0388142654222716,2.8215583988449278,2.2096215378375494,1.6134604334815017
2025-03-03,44.51455225946869,38.47675792232849,3.724136200882311,3.6316846974867603,3.0398433604676125,2.8225139201485594,2.210369826603514,1.580141812614064
2025-03-04,44.51334630319414,38.475715537641115,3.7267444374284047,3.6315863104936126,3.0397610072148415,2.822437454628876,2.210309944851903,1.580099004547109
2025-03-05,44.51485375874732,38.47701852732549,3.7268706445564703,3.628322770175195,3.0398639494780335,2.8225330371758615,2.2103847975483943,1.5801525149932292
2025-03-06,44.52304123673921,38.469462415384655,3.728847450057484,3.627610240617078,3.039266981387305,2.8219787485016896,2.209950722466648,1.579842204845929
2025-03-10,44.524548775558486,38.4707649815692,3.728973707880983,3.6243470960826336,3.039369890192035,2.822074299982279,2.2100255508343936,1.5798956978999972
2025-03-11,44.52304123673921,38.469462415384655,3.732233309904989,3.624224380769573,3.039266981387305,2.8219787485016896,2.209950722466648,1.579842204845929
2025-03-13,44.5192728362808,38.46620638579247,3.7319174161716484,3.6323815620162945,3.0390097398609464,2.821739898106162,2.2097636737142654,1.5797084880574173
2025-03-14,44.3735498291846,38.34029661887568,4.047027560335299,3.6204918448125927,3.0290622809364534,2.8125036191420483,2.202530550013216,1.5745376967001172
2025-03-17,44.360526432406076,38.32904394926967,4.049887980874354,3.6194292500458936,3.028173267546645,2.811678164547721,2.2018841192142364,1.5993768360954028
2025-03-18,44.35454122879359,38.32387252433949,4.049341562557831,3.6189409100110757,3.0277647008537367,2.811298807771303,2.201587036969176,1.6126532287037891
2025-03-19,44.35439161939629,38.32374325659572,4.049327903989083,3.6189287031985726,3.027754488098976,2.8116266286123617,2.20157961094017,1.61264778916883
2025-03-20,44.342127082431354,38.30168112223764,4.048208214823064,3.598032624086805,3.0269172765967043,2.8108491791319556,2.197598745189663,1.6745857555028183
2025-03-24,44.346613321273836,38.305556229294716,4.048617785363106,3.598396648881662,3.0272235197734023,2.811133561988564,2.1978210834828293,1.664637849941882
2025-03-25,44.34287472587048,38.302326918966,4.048276470825001,3.5980932897711586,3.026968312823235,2.84461815887475,2.197635798447857,1.6392063244215185
2025-03-26,44.36905813900412,38.32494353225278,4.050666881820455,3.600217878302729,3.0287556656362193,2.846297838257779,2.1989334501311046,1.5811266145948066
2025-03-27,44.42076754135394,38.369608891587994,3.9050630263660127,3.6040759021019886,3.046135630703081,2.849615022942313,2.2014961715248536,1.603237813419818
2025-03-28,44.388342680111826,38.34072634964123,3.908874587343688,3.5979874116145396,3.072534751110276,2.879537612676517,2.1998390056751997,1.612157601826723
