date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-04-26,6.469088498097908,87.06451257624536,1.5328764781714237,0.0,0.6470403878199358,0.19112851250680682,0.16254385792075518,0.0
2024-04-29,6.482459294621784,87.05133196114046,1.5053667309516277,0.3635518730694848,0.6469615742564393,0.18394130343968768,0.1622340062094283,0.0
2024-04-30,6.490053521718936,87.0058036218646,1.5317785504119994,0.0,0.641340169032848,0.19653900008151484,0.16251829515457072,0.1999814724566458
2024-05-02,6.508295783013549,0.7009662248922789,1.5334880579177999,0.3633532501776086,0.6497021927808365,0.18519793088972092,0.16228789259999432,0.0
2024-05-03,6.522897862706454,0.6979749840029124,1.540830073666847,0.0,0.6455112497622484,0.19117606282712196,0.1618429773221916,0.0
2024-05-06,6.507207150805463,0.0,1.5331562186523422,0.0,0.6452887921233471,0.2045740111003184,0.16054398360932118,0.0
2024-05-07,6.49423139535124,0.0,1.5236423013052067,0.0,0.6460356141968016,0.18983742398503306,0.15969785008992848,0.0
2024-05-08,6.507416360297477,86.91354654600353,1.5308116541743462,0.36327896521604686,0.646023696823289,0.1882276450332439,0.16005139883746816,0.0
2024-05-09,6.475477958182095,86.87264127370982,1.5041661946062603,0.0,0.6669267699643416,0.2025779304861192,0.16015865519908132,0.0
2024-05-10,6.518436752830336,86.87336426103624,1.4516960845707672,0.0,0.6669227975065041,0.2218658221327236,0.16011098570503102,0.0
2024-05-13,6.491759473874972,86.86177660152418,1.4603356242232852,0.0,0.0,0.217340398164216,0.16055192852499622,0.0
2024-05-14,6.491447953731353,86.8367620345213,1.4586538841977694,0.0,0.6669347148800167,0.2286553484457282,0.16065521242877184,0.0
2024-05-16,6.506909554126565,86.76344635267195,1.4899087852176263,0.0,0.6667638991930032,0.21401650365553515,0.16005723835048932,0.0
2024-05-17,6.499609209460234,86.72029354318292,1.1247172007265465,0.7151235283434072,0.7332270912726213,0.2238282361667498,0.16141979138876014,0.0
2024-05-20,6.496483878256562,86.68849801051367,1.1353143676013966,0.0,0.7332707883088341,0.2414440408603835,0.16145951596713537,0.0
2024-05-21,6.498200297838999,86.64215928983893,1.1474809929809848,0.0,0.734724707877368,0.2504371689850195,0.1610225456050077,0.0
2024-05-22,6.467689676519581,86.61760552794519,1.0953330492761149,0.715062749738493,0.6972326508068142,0.4286604768887965,0.16058557524288006,0.0
