date,ABCI SECURITIES CO LTD,CHINA INDUSTRIAL SECURITIES,CHINA GALAXY INTERNATIONAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CLSA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-08-09,0.0,31.201876521548204,25.905672663957123,9.204828146637356,11.648705353626896,7.324453606537341,8.743133836539458,2.086753132829665,0.0,3.8845767383239536
2024-08-12,0.0,31.17904740756351,25.886718561831657,9.270541881572033,11.645562321829308,7.319094608781429,8.732074320723441,2.0852263424427346,0.0,3.8817345552558855
2024-08-13,0.0,31.188779266486826,25.89479853585197,9.274153014835383,11.653502445952919,7.285143535528059,8.734799847077289,2.0858772003192616,0.0,3.882946153948293
2024-08-14,0.0,31.936280645276348,26.51541909440731,10.178626388582837,11.925454571991773,6.82603916356459,6.4328286905291385,2.2093427329172117,0.0,3.9760087127307915
2024-08-15,0.0,31.96610857806716,26.54018403643212,10.29844596351129,11.926296867944627,6.637160707673965,6.440675389640749,2.211406220750416,0.0,3.979722235979673
2024-08-16,0.0,32.03800122509422,26.538817835075406,10.297915833395084,11.925682941419508,6.568796253133824,6.44034384486158,2.211292384833721,0.0,3.9791496821866534
2024-08-19,0.0,32.06346641799452,26.559912038511136,10.317140554799128,12.009494565981536,6.4187285734744,6.435895350377133,2.213050015927594,0.0,3.9823124829345566
2024-08-20,0.0,32.27164248112008,26.732355586973984,10.387829601505457,12.200431236966208,5.6870657795466855,6.476570088666331,2.2274185197509113,0.0,4.016686705470342
2024-08-21,0.0,32.27427224975635,26.734533967276054,10.425716330367278,12.156236339443767,5.687529210164702,6.47709785482821,2.2276000288069353,0.0,4.017014019356703
2024-08-22,0.0,32.26566732773149,26.727406042643732,10.461448219110354,12.151514045878244,5.68601280895854,6.46500243791255,2.2270061091547086,0.0,4.015943008610378
2024-08-23,0.0,32.2901642433709,26.744935675033645,10.383083843192676,12.135398303578034,5.731984381479295,6.467389889222637,2.228466729701322,0.0,4.01857693442149
2024-08-26,0.0,32.29127588291016,26.744935675033645,10.457193145809946,12.060177361421506,5.731984381479295,6.467389889222637,2.228466729701322,0.0,4.01857693442149
2024-08-27,0.0,32.28505506332933,26.739783341625124,10.459253824636109,12.056372103114654,5.730880131501481,6.482815346308312,2.22803742212247,0.0,4.017802767362518
2024-08-28,0.0,32.271364979462064,26.726911189014725,10.51494756117963,12.050568336507562,5.728121367052939,6.465253036217955,2.226964876494376,0.0,4.015868654070752
2024-08-29,0.0,32.26459053684628,26.720380838042914,10.517561267561677,12.066874674979685,5.726721779847688,6.462562722157799,2.2264207484377305,0.0,4.014887432126237
2024-08-30,0.0,31.46872996432457,26.060380497441997,10.257774774960543,11.802759578271214,5.549164054000118,8.774044882108218,2.171427578198265,0.0,3.915718670695075
2024-09-02,0.0,32.264064571839384,26.718105859425318,10.517776324644299,12.082505164410302,5.6899570761230365,6.461272148682126,2.2517732510756083,0.0,4.01454560379993
2024-09-03,0.0,32.245957105137606,26.70219184940131,10.56996443921533,12.113043844065253,5.660671185971727,6.4455851064654315,2.250432035411671,0.0,4.0121544343316735
2024-09-04,0.0,32.24559922319041,26.70189549496586,10.563927925222027,12.112909407375925,5.662458111972553,6.444403719504455,2.2504070589783076,0.0,4.018399058790462
