date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG BANK LTD,DBS BANK (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-10-16,6.020747562296858,4.07638136511376,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.49945828819068255,0.0,14.359588299024919
2024-10-17,6.020747562296858,5.430660888407368,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.49945828819068255,0.0,15.713867822318525
2024-10-21,6.102004333694475,5.376489707475622,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.49945828819068255,0.0,15.740953412784398
2024-10-22,6.156175514626218,5.376489707475622,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.4452871072589382,0.0,15.740953412784398
2024-10-23,6.1832611050920905,5.376489707475622,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.4452871072589382,0.0,15.76803900325027
2024-10-30,6.291603466955579,5.295232936078007,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.4452871072589382,0.0,15.795124593716142
2024-11-06,6.291603466955579,5.285482123510293,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.4452871072589382,0.0,15.78537378114843
2024-11-08,6.326814734561213,5.285482123510293,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.4360780065005417,0.0,15.811375947995664
2024-11-11,6.40807150595883,5.21397616468039,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.43932827735644636,0.0,15.824377031419285
2024-11-14,6.489328277356446,5.1332611050920915,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.43932827735644636,0.0,15.824918743228602
2024-11-18,6.521830985915493,5.1332611050920915,2.9729144095341278,0.0,0.6443661971830986,0.1457204767063922,0.43932827735644636,0.0,15.857421451787648
2024-11-22,6.521830985915493,5.1332611050920915,2.9729144095341278,0.0,0.6443661971830986,0.5040628385698808,0.43932827735644636,0.0,16.215763813651137
2024-11-29,6.576002166847237,5.079089924160347,2.9729144095341278,0.0,0.6443661971830986,0.5040628385698808,0.43932827735644636,0.0,16.215763813651137
2024-12-02,6.6382990249187435,5.024918743228603,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43932827735644636,0.0,17.021289274106174
2024-12-03,6.719555796316359,4.943661971830986,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43932827735644636,0.0,17.021289274106174
2024-12-06,6.719555796316359,4.942578548212351,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.4404117009750813,0.0,17.021289274106174
2024-12-09,6.773726977248104,4.888407367280607,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.4404117009750813,0.0,17.021289274106174
2024-12-11,6.882069339111592,4.783315276273023,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43716143011917663,0.0,17.021289274106174
2024-12-12,6.963326110509209,4.715059588299025,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43716143011917663,0.0,17.034290357529795
2024-12-13,7.017497291440954,4.687973997833153,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43716143011917663,0.0,17.061375947995668
2024-12-18,7.0987540628385695,4.606717226435536,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43716143011917663,0.0,17.061375947995668
2024-12-20,7.212513542795233,4.52546045503792,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.5040628385698808,0.43716143011917663,0.0,17.09387865655471
2024-12-30,7.375027085590466,4.417118093174431,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.4498916576381365,0.43716143011917663,0.0,17.09387865655471
2025-01-02,7.483369447453954,4.308775731310942,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.4498916576381365,0.43716143011917663,0.0,17.09387865655471
2025-01-10,7.591711809317443,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.4498916576381365,0.43716143011917663,0.0,17.09387865655471
2025-01-16,7.618797399783316,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6443661971830986,0.4498916576381365,0.43716143011917663,0.0,17.120964247020584
2025-02-12,7.67296858071506,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.0,17.140465872156014
2025-02-24,7.754225352112676,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.0,17.22172264355363
2025-03-03,7.754225352112676,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,17.655092091007585
2025-03-04,7.753683640303359,4.200433369447454,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,17.654550379198266
2025-03-07,7.753683640303359,4.601029252437703,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.055146262188515
2025-03-11,7.829523293607801,4.514897074756229,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.044853737811483
2025-03-27,7.829523293607801,4.499187432286024,2.9729144095341278,0.7973997833152762,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.02914409534128
2025-04-01,7.829523293607801,4.499187432286024,2.973997833152763,0.795774647887324,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.02860238353196
2025-04-28,7.829523293607801,4.905742145178764,2.973997833152763,0.795774647887324,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.4351570964247
2025-04-30,7.910780065005417,4.824485373781148,2.973997833152763,0.795774647887324,0.6096966413867823,0.4498916576381365,0.43716143011917663,0.43336944745395445,18.4351570964247
