date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,MERRILL LYNCH FAR EAST LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-07-26,41.539674683712036,14.071157952472586,9.630751476867518,7.194599915748837,4.6108031350925875,0.4134767580837937,0.49815115502543683,0.1253714006195559,1.1447082951796865
2024-07-29,41.52238242908366,13.998113907836611,9.711950678129572,7.289530804084402,4.549664676414223,0.41525671224008553,0.4766181596196963,0.1483977446003113,0.0
2024-07-30,41.533993168931495,13.898370550856257,9.875748322393207,7.337589566304281,4.556500029995523,0.0,0.48240235138536464,0.06787031122168802,0.0
2024-07-31,41.09278538433495,14.095462732045043,10.127557283209825,7.025035549639955,4.646282895365725,0.42415648302154474,0.5940120694076642,0.16805536052971437,1.1800436813934798
2024-08-01,40.83754259529183,14.14919097787385,10.519170765505544,6.655760986437409,4.588454821796923,0.4271889975100419,0.6198670572017934,0.4636264720056062,1.1770111669049828
2024-08-02,40.60594765088902,14.335031376636323,10.865626151613858,6.506924186478545,4.547318103518179,0.42943042126240943,0.57068758310573,0.34756307794946645,1.1565087319936211
2024-08-05,40.69350854015411,14.351710206323055,10.680660402546522,6.482993032468341,4.550841753505356,0.42962819394644186,0.552031026578671,0.17332929877057907,1.1456312343718376
2024-08-06,40.68119504803569,14.334503982812233,10.746911779538834,6.409665184030779,4.52951856195526,0.4342428899071985,0.5412881791925995,0.10515441761548112,1.1398299023068865
2024-08-07,40.60261748851106,14.4776254818237,10.684602671381567,6.326501770395144,4.553507070043833,0.43470435950327413,0.5245650154625278,0.15321186135080062,0.0
2024-08-08,40.63149905761316,14.581917610536802,10.588641222551622,6.246008287993946,4.559909301447103,0.43523175332736064,0.5243672427784953,0.2276726176467292,0.0
2024-08-09,40.79901219136748,14.711063173209975,10.258093023041177,6.147715264029829,4.5692532367147844,0.5314152019951309,0.5351461836794026,0.21980489065477918,1.1439172044435568
2024-08-12,54.54320097066834,14.685880118109846,10.29384554480771,6.070335382917582,4.581572991634875,0.530294490118947,0.533343815285587,0.21828863341053062,1.2692391618921044
2024-08-13,54.60951448124555,14.685748269653827,10.411526554608663,0.0,4.5614603337216275,0.5323381411872822,0.5341349060217168,0.09961678246257318,1.2851269008427095
2024-08-14,54.61098096569764,14.713172748506322,10.432186548424971,6.053392856318805,4.5393386349597495,0.5312174293110985,0.5393355035589195,0.11023387938371394,0.0
2024-08-15,54.5957890569737,14.740201681990753,10.41017181172304,6.033220042547497,4.549872996974737,0.5316129746791634,0.5400886878639429,0.12071583163743256,1.2789300234096934
2024-08-16,54.61616079710303,14.694450267751252,10.195377986449934,6.033945209055616,4.576638068736556,0.0,0.5396272182678673,0.26706547528401803,1.287961642647174
2024-08-19,54.677156365017176,14.626943858268183,10.206839407921324,0.0,4.570457507549972,0.5317448231351849,0.582477966474893,0.2946218025925362,0.0
