date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,BNP PARIBAS,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-06-11,40.21456015001043,18.36336678112645,0.0,10.562813941939138,10.323760114135807,7.408229214595691,5.8081828318766755,3.5082777653909205,3.8108092009248806,0.0
2024-06-12,40.21387280759976,18.363052916676754,0.0,10.562370451607341,10.323583661673377,7.40810259403567,5.808083559116403,3.5101899422569436,3.810744067033748,0.0
2024-06-13,40.21350270987982,18.362883917186252,0.0,10.562273243630385,10.32348865130735,7.408034415526919,5.808030105958763,3.5110779606497666,3.810708995860742,0.0
2024-06-14,40.20643691256811,18.37718431959798,0.0,10.560417377394884,10.321718558444362,7.4067327713991755,5.807009593923165,3.5104610393784577,3.810039427293862,0.0
2024-06-17,40.20640167790672,18.377168214866586,0.0,10.560408122838673,10.321753330259991,7.406726280554891,5.807004504986355,3.510501780197331,3.8100360883894617,0.0
2024-06-18,40.206366443307076,18.377152110163415,0.0,10.56039886829868,10.32174428486346,7.406719789721983,5.806999416058465,3.510586338096011,3.810032749490913,0.0
2024-06-19,40.20791682411397,18.377860743806227,0.0,10.556906206569586,10.322142297308964,7.407005397132446,5.807223337323597,3.5107655271819285,3.8101796665632826,0.0
2024-06-20,40.207881586858704,18.377844637889247,0.0,10.556896954749838,10.322177070033113,7.406998905810324,5.8072182480121555,3.510806269233535,3.8101763274130818,0.0
2024-06-21,40.186961565854354,18.368282709215915,0.0,10.551404237966016,10.316806477189289,7.403145070030541,5.8041967725468835,3.5089796089371976,3.860223558259801,0.0
2024-06-24,40.18685596443291,18.36823444190015,0.0,10.551639286809987,10.316779367166875,7.403125616391547,5.8041815205495775,3.5089703882044,3.860213414544552,0.0
2024-06-25,40.18669756334135,18.36816204140213,0.0,10.55159769631626,10.316782498116345,7.403096436124754,5.804158642703913,3.5093069229236225,3.860198199071635,0.0
2024-06-26,40.199813881583225,18.374157126180464,0.0,10.555041575055665,10.320193546807053,7.405512692615562,5.806053030561091,3.477770038973131,3.86145810822381,0.0
2024-06-27,40.219054891057894,18.145256227869975,0.0,10.560356565786924,10.325176976322654,7.4090572249435755,5.808832006645422,3.6689597728802084,3.863306334493346,0.0
2024-06-28,40.233779998930956,18.15189961757825,0.0,10.564222951758211,10.328957257714066,7.411769848777489,5.810958751745376,3.670434603318585,3.827976970177069,0.0
2024-07-02,40.22924669149883,18.158622784756602,0.0,10.563032636793444,10.327793451114145,7.4109347338233,5.810304006839534,3.7148714944127597,3.7851942007613846,0.0
2024-07-03,40.22621329758448,18.157253575527537,0.0,10.561973122904895,10.32701470757854,7.410375929317374,5.809865894215899,3.7223946859815755,3.7849087868896993,0.0
2024-07-04,40.19965537832517,18.145265897968567,0.0,10.555262816761367,10.320196665304348,7.405483493527903,5.806030137959535,3.7418858365281285,3.8262197736249846,0.0
2024-07-05,40.20420668097645,18.144828690871012,0.0,10.555008489497936,10.319991810701742,7.405305059661879,5.8058902426502454,3.7418394852067896,3.822929540433954,0.0
2024-07-09,40.204189068010955,18.144820741846075,0.0,10.555003865479316,10.320031098403692,7.405301815489359,5.805887699161568,3.7418378459532096,3.8229278656558243,0.0
2024-07-11,40.20459417012153,18.145003571181746,0.0,10.555110218932581,10.320135084243876,7.404325011278219,5.805946199964972,3.7419193583530133,3.8229663859240564,0.0
2024-07-12,40.196581709975156,18.14138741434766,0.0,10.553006668288296,10.318078362300165,7.402849387402682,5.804789120444597,3.7611028385205927,3.822204498720854,0.0
2024-07-15,40.196564103689845,18.141423268791673,0.0,10.553002046023455,10.31807384293499,7.402846144921036,5.804786577920605,3.7611011911404715,3.8222028245779276,0.0
2024-07-16,40.20237501521596,18.14404583636488,0.0,10.554527613260152,10.319565448388296,7.403916318080081,5.805625731763338,3.747188665559762,3.822755371367529,0.0
2024-07-18,40.19129717317515,18.138690119500016,0.0,10.548718056108855,10.315597826213613,7.401069692152854,5.803393609731993,3.7457917525087128,3.855441770608804,0.0
2024-07-22,40.1912795734366,18.138725966505522,0.0,10.54871343683322,10.31559330902115,7.401066451230048,5.803391068430333,3.7457901122293453,3.855440082313777,0.0
2024-07-23,40.18754877684522,18.137086006593954,0.0,10.547734241730417,10.3146357535324,7.400379439674758,5.802852362724857,3.745048332701163,3.8647150861972324,0.0
2024-07-24,40.18395941889015,18.135466089581822,0.0,10.546792168999913,10.31371450003418,7.399499563746595,5.802334079950113,3.7437944221336936,3.874439756663538,0.0
2024-07-25,40.183343662110204,18.135231973002657,0.0,10.546630555787113,10.31360023965241,7.399386177905816,5.802245168190274,3.743737054297585,3.875825169053939,0.0
2024-07-26,40.182112205161694,18.134719981432543,0.0,10.546307344219889,10.313327949457767,7.399159416648709,5.802067352844955,3.7436223238996447,3.878683426334803,0.0
2024-07-29,40.16110111246621,18.12501861151152,0.0,10.540792715220968,10.307978901652296,7.395290420823451,5.799033471142729,3.764856029345651,3.9059287378371708,0.0
2024-07-30,40.16106596587594,18.125002749580823,0.0,10.540783490550517,10.308013637731834,7.395283948908212,5.799028396175964,3.7648964915744307,3.9059253196022823,0.0
2024-07-31,17.419036339372955,7.861347151852098,0.0,4.571961910885699,4.470888902574641,3.207552308384155,2.515209293793993,1.632339099284133,1.6941147712274163,0.0
2024-08-01,40.16148772901932,18.12519309458162,0.0,10.541156732450418,10.308121890342397,7.3953616126387285,5.799089296363399,3.7636233057883035,3.905966338815816,0.0
2024-08-02,40.15930871479234,18.111258181597044,0.0,10.540584808157078,10.307562609660266,7.394960367588337,5.798774659162567,3.7642942072800825,3.9232564517622874,0.0
2024-08-05,40.21558897213401,18.081441574381834,0.0,10.533174029046972,10.300572214328662,7.389945244383308,5.794842039120226,3.7617850590787705,3.922650867526218,0.0
2024-08-06,40.21395368627952,18.080706329010795,0.0,10.532745718759024,10.300153362324608,7.38964474715742,5.794606403550593,3.761544646395158,3.9266451065228822,0.0
2024-08-07,39.88019071898307,18.740707710708097,0.0,10.445327294490252,10.21466538030132,7.328313056736755,5.746513021769435,3.730368388384691,3.913914428626376,0.0
2024-08-08,39.88223132050662,18.736506447977103,0.0,10.44586176412058,10.215188047353854,7.328688034050529,5.746807061066035,3.730602627955097,3.9141146969701848,0.0
2024-08-12,39.88217943821976,18.73648207389446,0.0,10.445934901049748,10.215174758545805,7.328678500253591,5.746799585117912,3.7306411377705033,3.9141096051482185,0.0
2024-08-14,39.9048284068759,18.72344145459996,0.0,10.443498511698982,10.212792191237689,7.326969173666517,5.7454592128637465,3.729814363149822,3.9131966859073795,0.0
2024-08-15,39.986414681170615,18.66836876806635,0.0,10.452745602292525,10.222089607369517,7.3090794037667495,5.750689704600989,3.7332098729750802,3.877402359758168,0.0
2024-08-16,39.98631057538261,18.668320164427918,0.0,10.4527183882668,10.222062993863352,7.309060374366965,5.750674732513892,3.733460506349566,3.877392264828895,0.0
2024-08-19,40.01171829241756,18.643242636021043,0.0,10.450287840266412,10.219686079662976,7.307360814365656,5.749337540555512,3.732722519030076,3.8856442776807625,0.0
