date,KGI ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),UPBEST SECURITIES CO LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-06-04,47.429266808640094,13.10465470033465,12.678734408275021,8.640097353209613,0.0,5.932461210830545,5.012169151201704,3.62792820200791,3.5746881655004565
2024-06-05,47.80498900598984,13.063916900447342,12.639320645992875,8.613238304647812,0.0,5.91401925847297,4.784289938585184,3.6166502388353927,3.5635757070285843
2024-06-06,47.82476883431863,13.0589661967561,12.634530847354858,8.609974230710929,0.0,5.911778080945885,4.782476883431864,3.6152796725784446,3.5622252539032893
2024-06-07,47.86428355043926,13.049076037564374,12.624962132687065,8.603453498939716,0.0,5.90730081793396,4.778854892456831,3.612541654044229,3.559527415934565
2024-06-11,47.81489055517685,13.050064379307733,12.625918351889723,8.649549344845868,0.0,5.907748239036582,4.779216844656518,3.6128152692569873,3.5597970158297354
2024-06-13,47.82575757575758,13.053030303030303,12.606060606060607,8.651515151515152,0.0,5.909090909090909,4.78030303030303,3.6136363636363633,3.5606060606060606
2024-06-14,47.918088737201366,13.067880166856277,12.468714448236632,8.661357603337127,0.0,5.915813424345847,4.785741372772089,3.6177474402730376,3.564656806977626
2024-06-17,48.34492775781668,13.171775858114824,12.262059475575262,8.730219402186377,0.0,5.427719593303264,4.8237902301047315,3.6465102056417704,3.5929974772570907
2024-06-19,48.41639319239869,13.14966038311837,12.241471418759064,8.715561321834695,0.0,5.433870106082576,4.815691063115317,3.640387697473861,3.5869648172174315
2024-06-21,48.534924642338,13.18185295692755,12.011322775610129,8.637441664754036,0.0,5.561930992272971,4.827480682426747,3.649299977048428,3.595746308622141
2024-06-24,48.42877895863598,13.173790045110481,12.003975839131433,8.632158421897698,0.0,5.55852893952137,4.96215306980656,3.647067818640569,3.5935469072559068
2024-06-25,48.40657241115782,13.167749331295376,11.99847153228888,8.628200229270156,0.0,5.555980129919756,5.005731753916699,3.645395491020252,3.5918991211310662
2024-06-26,48.40657241115782,13.167749331295376,11.99847153228888,8.628200229270156,0.0,5.5865494841421475,4.975162399694306,3.645395491020252,3.5918991211310662
2024-06-27,48.376995341021924,13.159703658443442,11.991140303979225,8.622928282288246,0.0,5.720614068586268,4.8957458183762315,3.643168105094325,3.5897044222103416
2024-06-28,48.38487972508591,13.157693776250479,11.989308896525392,8.621611302023673,0.0,5.75028636884307,4.8644520809469265,3.6426116838487976,3.589156166475754
2024-07-02,48.35433371515846,13.157693776250479,11.989308896525392,8.621611302023673,0.0,5.7961053837342495,4.8491790759832,3.6426116838487976,3.589156166475754
2024-07-03,48.37649935059974,13.163725265490106,11.994804797921919,8.579723431889374,0.0,5.798762319504927,4.851401940560776,3.644281457712583,3.5908014363205747
2024-07-04,48.31589398915451,13.159703658443442,11.991140303979225,8.577102268387687,0.0,5.79699075842053,4.926296494309937,3.643168105094325,3.5897044222103416
2024-07-08,48.32798900595511,13.154680103832646,11.98656283402046,8.573828065353489,0.0,5.794777828676134,4.932050694762559,3.6417773705909298,3.5883340968086728
