date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-07-29,45.529587298252295,0.0,4.606803169190539,2.429836349345383,6.288883178806193,0.0,0.0,0.0,2.108629812026286
2024-07-30,45.519365934750795,0.0,4.603112121259442,2.422927464756407,0.0,2.855640749358444,0.0,0.0,0.0
2024-07-31,45.50649458811927,9.392358868286847,4.602828194495512,2.4255774478864254,6.286327837930818,0.0,0.0,0.0,0.0
2024-08-01,45.53280513491016,9.377405392053175,4.601029991657285,2.4261453014142864,0.0,0.0,0.0,0.0,0.0
2024-08-02,45.506873157137846,9.366332248259884,4.591376481683648,2.419236416825311,6.284434992837948,0.0,0.0,0.0,0.0
2024-08-05,45.51908200798686,9.361836741164318,4.581533687200723,2.424914952103921,0.0,2.860372862090619,0.0,0.0,0.0
2024-08-06,45.546433619578835,9.359924967620518,0.0,2.4190471323160234,0.0,0.0,0.0,0.0,0.0
2024-08-07,45.651391879978476,0.0,4.76773645539203,2.4391112903004464,0.0,2.852138985936634,0.0,0.0,0.0
2024-08-08,45.66672392523073,9.347905401280794,4.7730364216520655,2.4360827381518546,6.227649640051845,0.0,0.0,0.0,0.0
2024-08-09,45.689343424090524,9.34620184069721,4.770765007540621,2.425293521122495,0.0,0.0,0.0,0.0,2.111469079665591
2024-08-12,45.697293373480576,11.11226189783274,4.754770466505869,2.433716681785767,0.0,0.0,0.0,0.0,2.108629812026286
2024-08-13,45.71537004411749,11.10118875403945,4.743318753694005,2.4431809072501176,6.227271071033271,0.0,0.0,0.0,0.0
2024-08-14,45.72085929488681,0.0,4.742561615656857,0.0,6.227081786523984,0.0,0.0,0.0,0.0
2024-08-15,45.71726288921036,0.0,4.7383027141979,2.4427076959768996,0.0,0.0,0.0,0.0,0.0
2024-08-16,45.736664551412275,0.0,4.726756359131392,0.0,0.0,2.8547889690666524,0.0,0.0,0.0
2024-08-19,45.95509887512948,11.101822857145562,4.697568687799335,2.450657645366954,6.224621087903253,0.0,0.0,0.0,0.0
2024-08-20,46.137001288554295,11.208673962638077,4.4994256634776955,2.4558629693723466,0.0,2.8516657746634166,0.0,0.0,0.0
2024-08-21,46.650435519995305,11.210273416741552,4.459605691974479,2.4581343834837908,6.219888975171077,0.0,0.0,0.6256326243208826,0.0
2024-08-22,46.848237832200226,11.219652085607706,4.449762897491554,2.4610682933777395,6.229921054163289,2.8530854084830692,0.0,0.0,0.0
2024-08-23,46.95149253201629,11.245205494361452,4.4482486214172585,2.46674682865635,0.0,2.843715825273362,0.0,0.6445610752495835,0.0
2024-08-26,47.005438617163094,11.298205156961814,4.4475861256347535,2.4583236679930778,6.230678192200437,0.0,0.0,0.6532681626767858,0.0
2024-08-27,47.027395620240384,11.298536783422083,4.447415769576395,2.4499951495844496,6.226892502014697,0.0,0.0,0.0,0.0
2024-08-28,47.091752353397965,0.0,0.0,2.455389758099129,6.228785347107567,0.0,0.0,0.0,0.0
2024-08-29,47.105475480321275,0.0,4.44779433859497,2.4547272623166245,6.229921054163289,0.0,0.0,0.6513753175839158,0.0
2024-08-30,47.123457508703545,11.285760079045211,4.448740761141404,2.454348693298051,6.23048890769115,0.0,0.0,0.0,0.0
2024-09-02,47.151376973823375,11.3405498052499,4.449119330159979,2.454254051043407,6.230394265436506,2.834251599809012,0.0,0.0,0.0
2024-09-03,47.182703560110376,0.0,4.453472873873579,0.0,6.23077283445508,0.0,0.0,0.0,0.0
2024-09-04,47.25974235539019,0.0,4.453283589364293,0.0,6.230015696417933,0.0,0.0,0.0,0.0
2024-09-05,47.29466534735364,11.36402108440149,4.452621093581788,0.0,0.0,0.0,0.0,0.0,0.0
