date,KOALA SECURITIES LTD,SUPREME CHINA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-05-28,48.73399364255529,20.427371273445363,0.0,9.156136944400147,8.850187059572514,7.461082603110983,2.9243252149359433,0.4379144533596096,2.0089888086201504,0.0
2024-05-29,44.56356622235684,18.679292306098827,8.589187973967173,8.372597535418185,8.092829411893563,6.790942704253094,2.6740751297203302,0.40043978101103794,1.8370689352809542,0.0
2024-05-30,44.557924241194634,18.721239245042803,8.588100537730451,8.371537520666724,8.085474555068027,6.764761886554865,2.6737365777868316,0.40038908323497163,1.83683635272069,0.0
2024-05-31,46.1496208761376,17.147670685798793,8.586266113325843,8.359464875466987,8.083747491932064,6.763316928587554,2.673165465745439,0.40030355984101523,1.836444003164708,0.0
2024-06-03,48.36473938909183,14.932552172844558,8.586266113325843,8.359464875466987,8.083747491932064,6.763316928587554,2.673165465745439,0.40030355984101523,1.836444003164708,0.0
2024-06-04,50.16850007807698,13.143134266657697,8.587353085028466,8.360523135442719,8.08477084767936,6.745183991729853,2.6735038730553624,0.4003542359598618,1.8366764863696947,0.0
2024-06-05,50.124478383525215,13.131601471353086,8.579817881984146,8.327890342152076,8.065028334753316,6.865748390628509,2.6711579354510997,0.40000293440887846,1.8342743257436702,0.0
2024-06-06,50.131215434231656,13.133366442637023,8.580971064420893,8.315569023885061,8.066112326180107,6.866671191155059,2.671516956173836,0.4000566973634019,1.834520863952956,0.0
2024-06-07,50.1407296483217,13.13585897466474,8.582599614518873,8.317147204331883,8.067643163182181,6.84899576833656,2.6720239732897397,0.4001326226134461,1.8348690307408766,0.0
2024-06-11,50.12130863324384,13.13077106076726,8.579275315138112,8.3076019655249,8.064518321948041,6.910370987006956,2.652017746486141,0.399977639194748,1.834158330690003,0.0
2024-06-12,50.119723908433876,13.130355894857962,8.579004057447241,8.307339297543855,8.061101561134507,6.916476053574189,2.651933895556588,0.39996499278735065,1.8341003386644295,0.0
2024-06-13,50.13874722258842,13.135339619141941,8.582260282274339,8.31049240998985,8.064161212215373,6.8811455094179586,2.6529404567999104,0.40011680247653636,1.834796485095665,0.0
2024-06-14,50.14588468896597,13.1372094912485,8.583482003948719,8.303766871990076,8.065309180258128,6.8757982122071155,2.6533181142876017,0.40017376082477935,1.8350576762691078,0.0
2024-06-17,50.155404472444275,13.139703482343512,8.585111507360102,8.305343273785876,8.0668403128238,6.858119348964229,2.6538218248932424,0.4002497305196083,1.8354060468653517,0.0
2024-06-18,50.155404472444275,13.139703482343512,8.585111507360102,8.305343273785876,8.0668403128238,6.883431584886418,2.628509588971054,0.4002497305196083,1.8354060468653517,0.0
2024-06-19,51.057206629906496,12.903819337266627,8.430991462640328,8.156245632401536,7.902604100087816,6.772289037653337,2.581322547189328,0.3930644416257046,1.8024568112288288,0.0
2024-06-20,51.076251301715104,12.908632546225302,8.434136277565104,8.159287965335757,7.905551823072556,6.7188641652558205,2.600935724197475,0.39321105723169847,1.803129139401184,0.0
2024-06-21,51.114383299875584,12.918269744335229,8.440432950888322,8.165379445147913,7.911453871086891,6.866972855771568,2.385127914508276,0.3935046168201356,1.8044753015660737,0.0
2024-06-24,51.10166630912786,12.91505574650899,8.438333015394363,8.16334794152502,7.909485542816365,6.9025836029698375,2.3720947691585805,0.3934067149332648,1.8040263575657147,0.0
2024-06-25,51.095310186399345,12.913449347240642,8.437283439438357,8.162332568737018,7.908501745917739,6.914163237198349,2.3717997234865815,0.39335778225566465,1.8038019693263023,0.0
2024-06-27,51.10166630912786,12.91505574650899,8.438333015394363,8.16334794152502,7.909485542816365,6.9025836029698375,2.3720947691585805,0.3934067149332648,1.8040263575657147,0.0
2024-06-28,51.095310186399345,12.913449347240642,8.437283439438357,8.162332568737018,7.908501745917739,6.914163237198349,2.3717997234865815,0.39335778225566465,1.8038019693263023,0.0
2024-07-02,51.10802401342315,12.916662545490784,8.439382852511855,8.164363566963882,7.910469584508957,6.891001087430575,2.372389888245529,0.3934556597865735,1.8042508016386916,0.0
2024-07-05,51.095310186399345,12.913449347240642,8.437283439438357,8.162332568737018,7.914720841289371,6.907944141826719,2.3717997234865815,0.39335778225566465,1.8038019693263023,0.0
2024-07-08,51.09848805010465,12.93913042558859,8.437808194777265,8.162840223555555,7.915213095940675,6.8648374050106264,2.3719472371474244,0.3933822470727852,1.8163531208024326,0.0
2024-07-09,51.095310186399345,12.938325728727165,8.437283439438357,8.162332568737018,7.914720841289371,6.870629569596932,2.3717997234865815,0.39335778225566465,1.8162401600695643,0.0
2024-07-10,51.08260268328261,12.935107941929836,8.435185070621094,8.16030258073658,7.9127524348076035,6.8937910253291115,2.371209852277883,0.3932599534094208,1.815788457605862,0.0
2024-07-12,51.095310186399345,12.938325728727165,8.437283439438357,8.162332568737018,7.914720841289371,6.870629569596932,2.3717997234865815,0.39335778225566465,1.8162401600695643,0.0
2024-07-15,51.12074416907585,12.944766107526057,8.4414833106213,8.166395576171471,7.918660593725206,6.811827688364547,2.3854247289411346,0.3935535860384983,1.817144239535939,0.0
2024-07-16,51.12074894032187,12.944767315698295,8.441484098489205,8.166396338364649,7.918651999509069,6.811828324132008,2.385424951579682,0.39355362276998596,1.8171444091352351,0.0
2024-07-18,51.11120822830808,12.942351421964249,8.439908656610475,8.164872236365563,7.917174134261967,6.829220117630354,2.3849797575446714,0.39348017349831715,1.8168052738163207,0.0
2024-07-19,51.12074894032187,12.944767315698295,8.441484098489205,8.166396338364649,7.918651999509069,6.811828324132008,2.385424951579682,0.39355362276998596,1.8171444091352351,0.0
2024-07-22,51.12392996923091,12.945572814050832,8.442009376492933,8.16690449881561,7.91292216502808,6.812252195520273,2.385573386528086,0.3935781119544607,1.8172574823788237,0.0
2024-07-26,51.122339405292415,12.94517005234426,8.441746729319863,8.166650410685204,7.8971200156555215,6.830707408978559,2.385499166744835,0.39356586698127044,1.8172009439980663,0.0
