date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-09-04,53.89492753623188,11.888043478260869,5.023550724637682,2.4929347826086956,0.7260869565217392,5.999478260869565,1.7184782608695652,1.4659420289855072,1.6269021739130436,1.4561594202898551,86.29250362318841
2024-09-05,53.89492753623188,11.879347826086956,5.024637681159421,2.482065217391304,0.7260869565217392,5.996579710144927,1.7184782608695652,1.4746376811594204,1.6305253623188405,1.4561594202898551,86.28344565217392
2024-09-09,53.89492753623188,11.878260869565217,5.025362318840579,2.471195652173913,0.7260869565217392,5.994405797101449,1.7184782608695652,1.4884057971014493,1.6305253623188405,1.4561594202898551,86.2838079710145
2024-09-10,53.89492753623188,11.877898550724638,5.026449275362318,2.465760869565217,0.7260869565217392,5.994405797101449,1.7184782608695652,1.4884057971014493,1.630163043478261,1.4561594202898551,86.27873550724637
2024-09-11,53.89492753623188,11.87427536231884,5.042753623188405,2.4581521739130436,0.7260869565217392,5.994405797101449,1.7184782608695652,1.4880434782608696,1.630163043478261,1.4561594202898551,86.28344565217392
2024-09-12,53.89492753623188,11.873550724637681,5.043115942028986,2.4581521739130436,0.7260869565217392,5.9918695652173914,1.7184782608695652,1.48768115942029,1.630163043478261,1.4561594202898551,86.2801847826087
2024-09-13,53.89492753623188,11.859057971014494,5.042753623188405,2.4581521739130436,0.7260869565217392,5.997304347826087,1.7184782608695652,1.492391304347826,1.6265398550724637,1.4561594202898551,86.27185144927536
2024-09-16,53.89492753623188,11.844565217391304,5.042753623188405,2.4581521739130436,0.7260869565217392,5.996579710144927,1.7184782608695652,1.5202898550724637,1.625090579710145,1.4561594202898551,86.28308333333334
2024-09-17,53.89492753623188,11.82644927536232,5.042753623188405,2.4581521739130436,0.7260869565217392,6.008173913043478,1.7184782608695652,1.5206521739130434,1.625090579710145,1.4561594202898551,86.27692391304348
2024-09-20,53.89492753623188,11.814130434782609,5.048188405797101,2.4581521739130436,0.7260869565217392,5.999115942028985,1.7184782608695652,1.5503623188405797,1.625090579710145,1.4561594202898551,86.2906920289855
2024-09-23,53.89492753623188,11.814130434782609,5.048188405797101,2.4581521739130436,0.7260869565217392,5.999115942028985,1.7184782608695652,1.5507246376811594,1.6254528985507246,1.4561594202898551,86.29141666666666
2024-09-24,53.89492753623188,11.814130434782609,5.048188405797101,2.4581521739130436,0.7260869565217392,6.007449275362319,1.7184782608695652,1.5532608695652175,1.6305253623188405,1.4561594202898551,86.30735869565217
