date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-09-30,440859168.0,337783600.0,59764530.0,0.0,58803907.0,20460000.0,0.0,252517998.0,18870761.0
2024-10-02,440949844.0,337787052.0,60974530.0,0.0,58943907.0,20330000.0,0.0,252483998.0,19198761.0
2024-10-03,440978289.0,337834193.0,63916530.0,0.0,59297750.0,19352000.0,0.0,0.0,0.0
2024-10-07,441067177.0,337918793.0,0.0,0.0,59195750.0,18958000.0,0.0,0.0,17148761.0
2024-10-08,441389376.0,337888793.0,0.0,80142400.0,59043551.0,19026000.0,0.0,0.0,17492761.0
2024-10-10,442367647.0,337800793.0,64770530.0,80152400.0,59179459.0,18062000.0,0.0,0.0,17496761.0
2024-10-15,443854840.0,337817600.0,64740530.0,0.0,58777059.0,18128000.0,0.0,0.0,17316761.0
2024-10-16,444130364.0,337821600.0,63690530.0,0.0,58322535.0,18412000.0,0.0,0.0,17971761.0
2024-10-17,444482364.0,337839600.0,63184530.0,0.0,58546535.0,17932000.0,0.0,0.0,17969761.0
2024-10-18,445328966.0,337842255.0,62610530.0,0.0,58723278.0,18186000.0,0.0,0.0,17865761.0
2024-10-21,445389187.0,337846255.0,62086530.0,0.0,58857278.0,18670000.0,0.0,0.0,0.0
2024-10-22,445414790.0,337860652.0,61746530.0,0.0,59227942.0,18632000.0,0.0,0.0,0.0
2024-10-23,445458790.0,337854652.0,61050530.0,0.0,59815970.0,18886000.0,0.0,0.0,0.0
2024-10-24,445404581.0,337826861.0,61076530.0,0.0,59994634.0,18362000.0,0.0,0.0,0.0
2024-10-29,445727781.0,0.0,61176530.0,0.0,60073550.0,18556000.0,0.0,0.0,16269761.0
2024-10-30,445707781.0,0.0,61204530.0,0.0,60249550.0,18024000.0,0.0,0.0,18269761.0
2024-10-31,445697781.0,337830861.0,61098530.0,0.0,60230050.0,18466000.0,0.0,0.0,18245761.0
2024-11-01,448752411.0,337830736.0,60376530.0,0.0,57979375.0,18526000.0,0.0,0.0,18235761.0
2024-11-05,449022280.0,337832736.0,60486530.0,0.0,59262506.0,18864000.0,0.0,0.0,18225761.0
2024-11-06,449008280.0,337830736.0,60466530.0,0.0,59037606.0,18326000.0,0.0,0.0,0.0
2024-11-07,449182280.0,337782736.0,60154530.0,0.0,59048806.0,18580000.0,0.0,0.0,18211761.0
2024-11-08,448586155.0,337780861.0,61510530.0,0.0,58876806.0,18844000.0,0.0,0.0,0.0
2024-11-11,448454621.0,0.0,62800530.0,80158400.0,58639440.0,18886000.0,0.0,0.0,18251761.0
2024-11-12,448302782.0,337782861.0,62956530.0,0.0,58691440.0,18444000.0,0.0,0.0,0.0
2024-11-13,448588891.0,337798861.0,63874530.0,0.0,58725440.0,17936000.0,0.0,0.0,18711761.0
2024-11-14,445131643.0,337622861.0,67616000.0,0.0,61776803.0,17824000.0,0.0,0.0,16911761.0
2024-11-15,445271643.0,337750861.0,66950000.0,0.0,62336803.0,0.0,0.0,0.0,14221761.0
2024-11-18,450602005.0,337773188.0,66266000.0,0.0,62704903.0,18238000.0,0.0,0.0,14181761.0
2024-11-19,450641354.0,337665188.0,66266000.0,0.0,62948903.0,0.0,0.0,0.0,14131761.0
2024-11-20,450999354.0,337723188.0,66042000.0,0.0,63484723.0,0.0,0.0,0.0,14111761.0
2024-11-21,451402354.0,337628188.0,65872000.0,0.0,63469374.0,18476000.0,0.0,0.0,14091761.0
2024-11-22,451596354.0,337668188.0,65558000.0,0.0,63749374.0,18064000.0,0.0,0.0,14105761.0
2024-11-25,451604356.0,337702188.0,65226000.0,0.0,64401942.0,0.0,0.0,0.0,13940761.0
2024-11-26,451586356.0,337562188.0,65306000.0,0.0,64513942.0,18304000.0,0.0,0.0,0.0
2024-11-27,451600655.0,337566188.0,65342000.0,0.0,64607942.0,17824000.0,0.0,0.0,13938761.0
2024-11-28,451754313.0,337530188.0,65290000.0,0.0,64190679.0,18356000.0,0.0,0.0,16598761.0
2024-11-29,451840576.0,337566188.0,65284000.0,0.0,64631014.0,17808000.0,0.0,0.0,16679864.0
2024-12-02,451835679.0,0.0,65846000.0,0.0,64655014.0,18012000.0,0.0,0.0,16698761.0
