date,DBS VICKERS (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,DEUTSCHE BANK AG
2024-05-31,0.0,12.421883672431662,10.130176656240689,4.366597752778658,1.3798657308427296,0.0,0.7519848898404784,2.599510027202689,0.0
2024-06-03,0.0,12.334765127136519,10.049499975210326,4.285884261095354,1.2049384405097863,0.0,0.8134893557970855,0.0,0.0
2024-06-04,0.0,12.529150681992117,10.029636793505313,4.281338145457065,1.0568522512801,3.2115339125617393,0.8016324911068722,0.0,0.0
2024-06-05,0.0,12.531834792102442,23.913642668332145,4.2446709006842065,1.0508705201770883,3.21582848873826,0.7978747369524161,0.0,0.0
2024-06-06,0.0,12.55269416210269,23.91945875149692,4.213918667705903,1.1083104765380594,3.222235843015909,0.7996086720836866,0.0,0.0
2024-06-07,0.0,12.613144156230238,23.889700406148037,4.237511995575667,0.9611445536319134,3.2115339125617393,0.7978448282969011,0.0,0.0
2024-06-11,0.0,12.609999912958145,23.888438874396186,4.2649044895844455,0.9177386587049314,0.0,0.8045934480028629,0.0,0.0
2024-06-12,0.0,12.635844058877566,23.896721271308046,4.261025567030723,0.8745628303588344,0.0,0.8058204697675833,0.0,0.0
2024-06-13,0.0,12.672041200936816,23.65295422553128,4.511004410491389,0.8486419955791172,0.0,0.8283669946943196,0.0,0.0
2024-06-14,0.0,12.677332732297172,23.865916889904742,4.299345456742939,0.10283976165562354,0.0,0.8216950638486527,0.0,0.0
2024-06-17,33.824585045204444,12.695823950291507,23.88324857233142,4.333165244133044,0.923643700947648,3.219116907067711,0.8212349306868826,0.0,0.0
2024-06-18,0.0,12.698912977584193,23.89812621122865,4.503889218033217,0.8042391454682999,3.222270353003042,0.8207747975251124,0.0,0.0
2024-06-19,0.0,12.715324393687325,23.926040956376042,4.49844430895227,0.8612956575277958,3.2299392390325443,0.8236122853560282,2.6109796131484124,0.0
2024-06-20,0.0,12.716551415452045,23.91976320627229,4.529645938651903,0.7390536142175319,0.0,0.8197778423412772,0.0,0.0
2024-06-21,33.786240615056926,12.741245228467044,23.924412851871978,4.563724167501201,0.7865240187401501,0.0,0.8215416861280627,0.0,4.647824239255134
2024-06-24,0.0,12.763715064533484,23.92310914124696,4.631360674726999,0.6825339241801012,3.2376081250620463,0.8447017219371591,0.0,0.0
2024-06-25,0.0,12.771077195121805,23.8736778025666,4.683936256679456,0.7667382927840345,0.0,0.8432446335915537,0.0,0.0
2024-06-26,0.0,12.773914682952721,23.870917003595977,4.674810282304349,0.7615234502839732,0.0,0.7882717578662735,0.0,0.0
2024-06-27,0.0,12.770156928798265,23.87904602278725,4.692971738199415,0.6720275503196833,0.0,0.7989315094472815,0.0,4.548742231753966
2024-06-28,0.0,12.773991371813018,23.871438487845985,4.679348729056608,0.6651255528931314,0.0,0.8036862187855728,0.0,0.0
2024-07-02,0.0,12.778529930977243,23.860229432530275,4.458308757894788,0.7441368303996803,3.2416918331499547,0.8065215646967426,0.0,0.0
2024-07-03,0.0,12.7839727554591,23.855246565046883,4.307347804617963,0.6634910366684849,3.2538162996295426,0.8122710271775788,0.0,0.0
2024-07-04,0.0,12.840700785270018,23.886906938441356,4.30934095161132,0.7254319124620267,3.2023394455511225,0.816257321164292,0.0,0.0
2024-07-05,0.0,12.810343623371203,23.90170222189204,4.403458885827611,0.5849150494303904,3.110499831667237,0.8205502531499829,0.0,0.0
2024-07-08,0.0,12.824525630823933,23.889142329453904,4.419583445003865,0.6001702898795424,3.0775745765269824,0.8207802316492164,0.0,0.0
2024-07-09,0.0,12.827898648812688,23.891748752445217,4.409370099852908,0.5163047971590786,0.0,0.8197069986527937,0.0,0.0
2024-07-10,0.0,12.817089659348719,23.89604168443091,4.419565813318925,0.588978002916848,3.0753514510343924,0.8196303391530491,0.0,0.0
2024-07-11,0.0,12.818852827842841,23.896808279428353,4.416269454829911,0.07742609474192721,3.0756580890333702,0.8192470416543267,0.0,0.0
2024-07-12,0.0,12.80260101389701,23.85982620356162,4.4591543121769694,0.58644823942528,0.0,0.8197069986527937,2.6095200351020784,0.0
2024-07-15,0.0,12.807813859879635,23.874544827512562,4.455168018190257,0.49851979321835876,0.0,0.8226967191428285,0.0,0.0
2024-07-16,0.0,12.817240678563213,23.877519216102648,4.460323369548074,0.5700431064799609,3.0756565558433753,0.8240765901382291,0.0,0.0
2024-07-17,0.0,12.80620171060001,23.87153670874259,4.479106480175466,0.49805983621989186,3.0756580890333702,0.8307459666159991,0.0,0.0
2024-07-18,0.0,12.803211990109975,23.88594869469455,4.465285538966533,0.0,0.0,0.8349622391019456,0.0,0.0
2024-07-19,0.0,12.803058671110485,23.870607595605684,4.481776530551566,0.5656735149945253,0.0,0.7804703668985752,0.0,0.0
2024-07-22,0.0,15.578957418077998,23.90326454249683,4.447793374314838,0.5609206260103674,3.075642757133421,0.766594997444824,0.0,0.0
2024-07-23,0.0,15.586585038302575,23.907335928528266,4.430897620571153,0.5596940740144557,3.075588328888603,0.7700446749333256,0.0,0.0
2024-07-24,0.0,15.589498099292864,23.884825633023294,4.450571514585578,0.5549411850302978,0.0,0.7699680154335811,0.0,0.0
2024-07-25,0.0,15.592411160283154,23.863820930093304,4.490879079551227,0.48633093275898603,0.0,0.7688181229374139,0.0,0.0
2024-07-26,0.0,15.592027862784432,23.868190521578743,4.483131870507049,0.48065812977789435,0.0,0.7688947824371584,0.0,0.0
2024-07-29,0.0,15.591261267786988,23.854154167175526,4.505524110382413,0.4801981727794275,0.0,0.7633752984555556,0.0,0.0
2024-07-30,0.0,0.0,23.859290353658405,4.501467289655935,0.4721489253062568,3.075582196128623,0.7615354704616881,0.0,0.0
2024-07-31,0.0,15.593101095780856,23.860976862652787,4.498318117406431,0.5292602526158963,3.075588328888603,0.7652917859491677,0.0,0.0
2024-08-01,0.0,15.700654373922362,23.843881794209764,4.743775702828284,0.46793265282031027,3.0755814295336257,0.7600789399665429,0.0,0.0
2024-08-02,0.0,15.693525040446128,23.84197757223611,4.814283277718272,0.4678559933205658,3.077658135381704,0.7603089184657763,0.0,0.0
2024-08-05,0.0,15.715526316872793,23.849183565212094,4.81681304120984,0.04775886834081253,3.0768148808845144,0.7614588109619436,0.0,0.0
2024-08-06,0.0,15.887013617801202,23.856696196187052,4.795198895256883,0.466936079323632,0.0,0.7570892194765081,0.0,0.0
2024-08-07,0.0,15.959303526060248,23.849643522210563,4.75633252888643,0.5143116501657221,0.0,0.7540228394867288,0.0,0.0
2024-08-08,0.0,16.026840545335137,23.855699622690373,4.859378228442964,0.45474721886425934,0.0,0.7557860079808518,0.0,0.0
2024-08-09,0.0,16.053288072746984,23.851943307202895,4.842743116998411,0.4479245233870004,0.0,0.7629153414570887,0.0,0.0
2024-08-12,0.0,16.366222883033924,23.83967778724378,4.823808220561523,0.0,3.076891540384259,0.7409140650304222,0.0,0.0
2024-08-13,0.0,16.40290368706666,23.839831106243267,4.957438760731113,0.0,3.0768148808845144,0.7435971475214792,0.0,0.0
2024-08-14,0.0,0.0,23.840291063241732,4.927081598832298,0.0,0.0,0.7438271260207127,0.0,0.0
2024-08-15,0.0,16.40528013155874,23.846960439719503,4.680519350019127,0.0,3.0770448593837476,0.7444404020186685,0.0,0.0
2024-08-16,0.0,16.40834651154852,23.84297414573279,4.602173341280266,0.0,3.078194751879915,0.7445937210181575,0.0,0.0
2024-08-19,0.0,16.408576490047754,23.841517615237645,4.6040131692741335,0.0,3.0768148808845144,0.744670380517902,0.0,0.0
2024-08-20,0.0,16.421148648005847,23.84657714222078,4.589601183322171,0.0,3.0771215188834926,0.7419106385271005,0.0,0.0
2024-08-21,0.0,16.421915243003294,23.848186991715416,4.393184213076858,0.0,3.0772748378829813,0.7405307675316999,0.0,0.0
2024-08-22,0.0,16.42076535050713,23.847420396717972,4.407827710718049,0.0,3.0768148808845144,0.7478134200074257,0.0,0.0
2024-08-23,0.0,0.0,23.84757371571746,4.4010050152407905,0.44355493190156486,3.0798046013745495,0.750726480997716,0.0,0.0
2024-08-26,0.0,0.0,23.846117185222315,4.408290734096506,0.4420984014064197,3.076811814504525,0.7562459649793187,0.0,0.0
2024-08-27,0.0,16.422451859501503,23.84036772274148,4.410972283397568,0.441025168409997,3.0771966451932418,0.0,0.0,0.0
2024-08-28,0.0,16.425518239491286,23.727294960618366,4.472911626001115,0.44041189241204104,3.0782714113796597,0.7678215494407356,0.0,0.0
2024-08-29,0.0,16.35058357849105,23.722069849115783,4.45130591259313,0.0,3.0768148808845144,0.7673615924422686,0.0,0.0
2024-08-30,0.0,16.327432409568218,23.719028766760918,4.42285833883295,0.0,0.0,0.7678982089404801,0.0,0.0
2024-09-02,0.0,16.76784123560027,23.290195525190285,4.424035828749025,0.438802042917407,3.088313805846187,0.7432905095225012,0.0,0.0
2024-09-03,0.0,16.807550856467913,23.296573595569026,4.4191909483651735,0.0,3.0820277268671394,0.713546623621642,0.0,0.0
2024-09-04,0.0,16.834611659877712,23.302169739050374,4.417965929559257,0.4768251547906702,3.0768133476945194,0.7363144950457533,0.0,0.0
2024-09-05,0.0,16.839747846360595,23.304377532643013,5.0800970267022745,0.4269198204570122,3.0768148808845144,0.7349346240503527,0.0,0.0
2024-09-09,0.0,17.29094343060169,23.261193703246953,5.085487722724307,0.0,3.0769681998840035,0.7941924173528375,0.0,0.0
2024-09-10,0.0,17.50759544239956,23.25805066375743,5.087557529217408,0.4714589898085565,3.0768095147195322,0.5813856460621545,0.0,0.0
2024-09-11,0.0,17.63094057748843,22.763903528404494,5.473150213362169,0.0,0.0,0.5566246276446867,0.0,0.0
2024-09-12,0.0,17.477774896998955,22.751408029946145,5.367968013547757,0.5000529832132484,3.0909202288374993,0.6943817486855215,0.0,0.0
2024-09-13,0.0,17.08701766235641,22.743742079971696,5.6288418243682266,0.5096354206813087,3.0768133476945194,0.5459689571802036,0.0,0.0
2024-09-16,0.0,17.268216188712447,22.903945102537715,5.562864825913137,0.5124718221718546,3.076801848769558,0.5507218461643615,0.0,4.5644790986609065
2024-09-17,0.0,17.273122396696092,22.893399821752862,5.703875376123127,0.5151549046629115,3.0806478558717387,0.44140539952872954,0.0,0.0
2024-09-19,0.0,16.98842204676004,22.92919060899357,5.636426515272945,0.0,3.076812581099522,0.6302177473993897,0.0,0.0
2024-09-20,0.0,17.01525287167061,22.883808185144837,5.523366018669792,0.0,3.0768148808845144,0.6419466508602956,0.0,0.0
2024-09-23,0.0,17.08087340345189,22.75795551781932,5.548641422330546,0.46402301833334164,0.0,0.6188721414372063,0.0,0.0
2024-09-24,0.0,18.59091836217868,22.4776262925587,4.192313325896391,0.5192945176491135,3.0814144508691834,0.8243962602521635,0.0,4.564939055659374
2024-09-25,0.0,18.574934856481956,22.373746537644948,4.413598637858813,0.5102486966792645,3.077581475881959,0.8716185120947647,0.0,0.0
2024-09-26,0.0,18.66839121921545,22.37290941590774,4.3536838726435185,0.49491679673036804,3.0773905937275954,0.9183808069388991,0.0,0.0
2024-09-27,0.0,18.656437703420295,22.372219480410035,4.340333620763017,0.4932302877359895,0.0,0.9549473883170172,0.0,0.0
2024-09-30,0.0,18.68315623056652,22.391818246940385,4.417951621405328,0.5879770524298443,0.0,0.9268714021416125,2.597324505303465,0.0
2024-10-02,0.0,19.062893006905483,22.39089857959908,4.672965412085347,0.6168699347357305,3.0983309164347874,0.3159823706821456,2.585828663537197,0.0
2024-10-03,0.0,19.233497429832504,22.4454655085163,4.396726465557542,0.6931256851186397,0.0,0.32418273780874984,2.5800807426540633,0.0
2024-10-04,0.0,19.326141652237403,22.45550521032551,4.335515706488873,0.0,3.087601464119604,0.28020424554771606,2.5743328217709296,0.0
2024-10-07,0.0,19.337407577168346,22.452504795624513,4.348108251559643,0.0,0.0,0.27582356344531694,2.5741029049356037,0.0
2024-10-08,0.0,19.388646843088956,22.44775318102779,4.333962235071525,0.0,0.0,0.2735243950920634,2.5678185114367107,0.0
2024-10-09,0.0,19.41841570853743,22.459708856464704,4.257936401523941,0.0,3.0914334113750264,0.288392350443103,2.562070590553577,0.0
2024-10-10,0.0,19.440027891058016,22.47480672865107,4.208912001116967,0.7640167093439574,3.0886744093511225,0.26064905231384355,2.5616107568829265,0.0
2024-10-14,0.0,19.49604712798504,22.44247658965707,4.279456617310394,0.7669289892580785,3.0882145756804715,0.26356133222796474,2.555862835999793,0.0
2024-10-15,0.0,19.538888298300662,22.449899071490822,4.244290837347381,0.7804940825422745,3.087601464119604,0.23620122882424752,2.551187860348177,0.0
2024-10-16,0.0,19.53796863095936,22.44576056845497,4.225050630177905,0.786701837096059,0.0,0.24792698742584063,2.556935781231311,0.0
2024-10-17,0.0,19.548774722219655,22.44882919181711,4.200216546404962,0.7238579021071289,3.0898239935277494,0.2510691841752871,0.0,0.0
2024-10-18,0.0,19.55383289259681,22.446683301354074,4.62703415950295,0.784479307687914,3.087601464119604,0.2506093505046364,0.0,0.0
2024-10-21,0.0,23.731555908612442,14.865774973051257,5.044906474927879,0.7825633340602026,4.043289109621994,1.863629228202215,2.5623005073889025,0.0
2024-10-22,0.0,23.717262745349714,11.654984834953778,9.232020060887649,0.8088504922324016,3.5065099380824,1.869722024338337,0.0,4.529227537755544
2024-10-23,0.0,23.806853672181497,15.32571210627786,5.502210294000558,0.8175106930296566,3.506810362747225,1.889733219295605,2.5724934870883267,0.0
2024-10-24,0.0,23.791257646851925,15.187473842649041,5.680177420384149,0.751907756016822,3.4476918468800166,1.9290022483797242,0.0,0.0
2024-10-25,0.0,23.83394553927733,15.245409819593226,5.589557232519563,0.8841865752740093,3.4606032099624375,1.9100724289379367,2.5678185114367107,0.0
2024-10-28,0.0,23.940243756142753,15.244566791197034,5.293041153894964,0.9020434494842784,3.381895013336058,1.9152838772053113,2.5755590448926644,0.0
2024-10-29,0.0,23.98527526750958,15.240259682481938,5.210509440297124,0.9090942324342561,3.3539984373165814,1.9217215485944215,2.57479265544158,0.0
2024-10-30,0.0,23.986041656960662,15.242405572944975,5.271226644559294,0.9274109403151759,3.2992353126998863,1.9208785201982284,2.572416848143218,0.0
2024-10-31,0.0,23.991263068290902,15.274919645407238,5.066894188279495,0.9334654169787437,3.4578717979587728,1.9064703985178395,2.5747160164964717,0.0
2024-11-01,0.0,24.00728060781857,15.24144681974167,5.233976285289332,0.9356879463868888,3.308704820757487,1.9179662402841073,0.0,0.0
2024-11-04,0.0,24.012875250811486,15.27016803081051,5.1891608957477136,0.9235023541146451,3.2900815570961326,1.9331407514155807,2.577015184849725,0.0
2024-11-05,0.0,24.02552067675438,15.235426064213947,5.2225624471943295,0.9238089098950788,3.2800027694249203,1.9365128650003525,2.5793143532029785,0.0
2024-11-06,0.0,24.116647448046134,15.231235446695418,5.170803569225886,0.9641209950221242,3.1333924674324525,1.9329108345802555,0.0,0.0
2024-11-07,0.0,24.114654835473313,15.226023998428042,5.18398546778454,1.0006011328937472,3.1064155587542777,1.9250170232340849,2.5655193430834577,0.0
2024-11-08,0.0,24.119636366905365,15.237673118084526,5.162449924209065,1.0395337170088406,0.0,1.8983466703363439,2.5649828704676985,0.0
2024-11-11,0.0,24.124694537282522,15.240355481163324,5.135779571311324,1.04351894215448,0.0,1.9112220131145636,2.5519542497992616,4.53689143226639
2024-11-12,0.0,24.14301124516344,15.237979673864963,5.148491673136463,1.0383841328322139,0.0,1.9011823113053563,2.5473559130927543,4.5445553267772345
2024-11-13,0.0,24.163167287726964,15.241121870614407,5.130395685417454,1.0317165446077785,0.0,1.8976569198303679,0.0,0.0
2024-11-14,0.0,24.177958604132897,15.251621406094266,5.125227154959341,1.027041568956163,0.0,1.897733558775476,0.0,0.0
2024-11-15,0.0,24.19842120247685,15.260204967946411,5.0967749465878285,1.0354718529180926,3.106587996380772,1.8881536906369196,0.0,0.0
2024-11-18,0.0,24.5171625751829,15.253345782359206,5.338423671630385,1.025662067944211,3.1064155587542777,1.8887668021977875,0.0,0.0
2024-11-19,0.0,24.508425735440536,15.247291305695637,5.371991529587886,1.0629085952669182,0.0,1.8800299624554238,2.5410715195938613,0.0
2024-11-20,0.0,24.526435887541023,15.254801922316267,5.335488400032731,1.095939980608661,3.1074348567242205,1.8780373498826042,2.5456698563003686,0.0
2024-11-21,0.0,24.540537453440976,15.237848621268826,5.340022360025347,1.1283582543895359,3.1074386886714755,1.8512903580397546,2.5448268279041755,0.0
2024-11-22,0.0,24.53149405791818,15.260856398979836,5.358004155716143,1.1450655444231783,0.0,1.8532063316674656,2.5443669942335245,0.0
