date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB WING LUNG BANK LTD
2024-09-27,633289439.0,66455000.0,207443798.0,47874571.0,25415500.0,39769479.0,16036500.0,77579500.0,41805500.0
2024-09-30,637347939.0,71052000.0,202113661.0,47244071.0,23073500.0,39708479.0,16016500.0,77458500.0,41806000.0
2024-10-02,633035557.0,76040500.0,203419729.0,46723071.0,21829500.0,38676361.0,16500500.0,77108000.0,0.0
2024-10-03,629940893.0,79754500.0,209629824.0,45977551.0,21831000.0,38992812.0,16495000.0,0.0,41803500.0
2024-10-04,631080893.0,0.0,202329276.0,45814538.0,19981500.0,39420316.0,16480500.0,0.0,41803000.0
2024-10-07,630251393.0,0.0,204296470.0,45537537.0,20059000.0,39820317.0,16473423.0,77098500.0,41801500.0
2024-10-08,629679193.0,0.0,205449241.0,45638275.0,19994500.0,38613198.0,16479423.0,0.0,0.0
2024-10-09,631184233.0,0.0,205586372.0,46458735.0,18966500.0,39636203.0,16506423.0,0.0,41800000.0
2024-10-10,630652733.0,95651500.0,206915742.0,45582733.0,18975500.0,39290705.0,15664923.0,0.0,41790500.0
2024-10-14,628985233.0,99035500.0,204399331.0,46042733.0,18962000.0,38886705.0,23875923.0,0.0,41830500.0
2024-10-15,628983373.0,101275500.0,206337025.0,45398241.0,18917000.0,38900697.0,0.0,0.0,41800500.0
2024-10-16,622778373.0,109061000.0,204301266.0,45338741.0,18913500.0,39470197.0,0.0,77148500.0,0.0
2024-10-17,621964259.0,112643500.0,203738669.0,45202648.0,18911500.0,38866197.0,23860423.0,0.0,41788500.0
2024-10-18,626046725.0,114628500.0,199405888.0,44824535.0,18900000.0,39074306.0,23851423.0,77128500.0,41787000.0
2024-10-21,625050725.0,115238000.0,199987762.0,44837037.0,18878000.0,39047306.0,23857423.0,0.0,0.0
2024-10-22,625491725.0,115582000.0,200271162.0,44832426.0,18893000.0,38915806.0,0.0,0.0,41789000.0
2024-10-23,624953379.0,116501000.0,200013614.0,44996426.0,18922000.0,38948306.0,23898423.0,77078500.0,41789500.0
2024-10-24,625124262.0,118000500.0,199294387.0,44956926.0,18865500.0,38940306.0,23868923.0,0.0,41784500.0
2024-10-25,626378262.0,119006000.0,196554485.0,45066926.0,18597500.0,38583682.0,23808923.0,0.0,41754500.0
2024-10-28,626594567.0,120182500.0,197004495.0,44993926.0,18653500.0,0.0,23768923.0,0.0,41754000.0
2024-10-29,626255167.0,120758000.0,196724972.0,44410426.0,18679500.0,38653682.0,23794923.0,0.0,41754500.0
