date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-08-29,37.72862473956166,25.972217673915466,16.469354715021804,8.67408909089765,1.5662962577715045,2.8451915985181397,3.2907267534781646,1.8526368231219,1.110938634736797,0.4899237129769106
2024-08-30,37.74649640872568,25.972034958592882,16.477166997708125,8.670802066069767,1.567039234612308,2.8352887868606906,3.2922877185606736,1.8410129197781395,1.1077147994844359,0.49015610960730294
2024-09-02,37.74645850444778,25.975567229388297,16.484248515461328,8.669650431622882,1.5677127130179964,2.8177452105733076,3.2945031872870527,1.8418041459444523,1.1119432945193228,0.4903667677375816
2024-09-03,37.681402487457596,25.9810598368209,16.500049228286898,8.6561756656483,1.5692154189707825,2.8307125721004347,3.335221288852578,1.8686097166678621,1.080456949530387,0.4970968356642621
2024-09-04,37.57024439947892,25.973056381724895,16.495220760087843,8.626106485771462,1.7252112840298022,2.8301345387062504,3.334245291162679,1.8680628987481975,1.082644052685872,0.49507390760407155
2024-09-05,37.53881136829452,25.947574322630135,16.48142008359949,8.548731191289729,1.838822482192823,2.8227643416963923,3.3314557049385596,1.8664999895819319,1.129260810257675,0.49465970551874994
2024-09-09,37.50090566820195,25.9341215527687,16.47751305920441,8.555456739172097,1.8708942976391856,2.775834201636412,3.330665962389416,1.8648072270892804,1.1952588485772866,0.4945424433212619
2024-09-10,37.46404528520889,25.906025963786888,16.466807092154838,8.513662933124749,1.9309034612905192,2.8215110667278647,3.328501922226416,1.8573481794073456,1.2169729727880492,0.4942211232844463
2024-09-11,37.483716121534705,25.919628157375605,16.47545313837469,8.49438043729361,1.9194158935004308,2.8067406986853625,3.330249582310206,1.8583233968927784,1.2176119554707365,0.4944806185618751
2024-09-12,37.42775589830464,25.928599101378758,16.489904042211275,8.515594613217434,1.9573853231438205,2.844237179070766,3.3331706016024594,1.8599533643650068,1.1484855406730226,0.49491433603282275
2024-09-13,37.451335856077066,25.944647763071316,16.502499651837162,8.469507044234192,1.9789155337765711,2.812600506869895,3.331960024188209,1.8563652952755887,1.1568759544315843,0.49529237023841716
2024-09-16,37.47165062135817,25.868660367691927,16.521946996306568,8.479487921340704,1.9373691854097101,2.859793409694509,3.373496622805682,1.838494229671574,1.153224598976733,0.4958760467444198
2024-09-17,37.421803573117806,25.868185911860202,16.524847331634223,8.478468670797852,1.961533163039296,2.8753420935666543,3.374088821257538,1.8463402986163526,1.1534270411008896,0.49596309500918145
2024-09-19,37.43097452988151,25.87452542497559,16.52889707392174,8.505630405777884,1.9494719168716157,2.852217031469168,3.366713267694415,1.846792781004504,1.1486929277801639,0.496084640623407
2024-09-20,37.39251854469194,25.84794235095662,16.511915549153606,8.547008150789985,1.9299283577431654,2.790400064052633,3.3632543602738605,1.9827152235435341,1.136236612915242,0.49808078587941645
2024-09-23,37.37733165389755,25.840706533901887,16.511294935472666,8.590537013452801,1.9185800775472137,2.805329507652719,3.363127949642565,1.9826407015906167,1.1186538629978295,0.4917977638441537
2024-09-24,37.40111829163105,25.865695977247977,16.52734243455554,8.422061258729272,1.9994516744941884,2.793007101490872,3.3784357566800245,1.9845676506860557,1.1360441072849266,0.4922757472000983
2024-09-25,37.34581468437519,25.87739035262297,16.535616478219715,8.450242454758921,2.0104903011515503,2.893527111945902,3.272222400578644,1.9855611800124617,1.1366128423120685,0.49252219402258507
2024-09-26,37.19934276810836,25.77821122952047,16.47463755207973,8.295322429037427,2.0293278045284695,3.077868840332228,3.4814192554329333,2.0032405365849435,1.1574228930470256,0.5032066913284114
2024-09-27,37.172691233062004,25.916368944773243,16.575922819325335,7.180625850788619,2.083310229778078,3.5888036084126544,3.394655134005796,2.176550172966028,1.4047716253921487,0.5063003814960922
2024-09-30,31.459256286310627,21.910351942173314,14.028681583975052,6.158071407476131,1.772745875422547,3.1724972302921435,2.9964744736750326,1.8420771899641974,1.205930457888201,0.42849661616262663
2024-10-02,36.77410232429974,25.712265259716972,16.46615694715405,7.251522157889788,2.139482908261454,3.8836445101539647,3.503366403938884,2.346053908779586,1.420457922834148,0.5029476569714112
2024-10-03,36.49873408751984,25.529591667800783,16.389598860162973,7.1785081983132955,1.7813202505329009,4.368261475049446,3.518989225692498,2.7862092965956755,1.4481776964873023,0.500609241845286
2024-10-04,36.44473552243622,25.49182155462572,16.36535103779678,7.611031669289065,1.4657547341635868,4.658188314407847,3.343658301114539,2.743964364402417,1.3532737420759715,0.5222207596878535
2024-10-07,36.36639319577565,25.43702382917163,16.33017175446439,7.803709850553751,1.3039969669295226,4.5403718178410015,3.7255533854476046,2.678563494904777,1.327812792031565,0.48640291288011206
2024-10-08,36.51660864700831,25.542094298820484,16.3976253538796,7.729312996311936,1.5868477041542137,4.216115592837031,3.553560390806139,2.578890674978728,1.369380289673539,0.5095640515300125
2024-10-09,36.49690039223575,25.52830906189632,16.388775447217586,7.611231009364622,1.5984269079645306,4.108137221478019,3.637448399152309,2.6135621750343696,1.5079203492092728,0.5092890364472162
2024-10-10,36.17547559358125,25.161906956841417,16.428040587345283,7.742901832955093,1.9388231175891546,4.164101816151195,3.764335476647259,2.632289322699675,1.4753833617401577,0.5167419344495218
2024-10-14,36.12700867246314,25.168368699556954,16.438839724078093,7.716807646249841,1.8727400513656611,4.241680875652714,3.755957947106736,2.6340196844044086,1.4900742064264343,0.5545024926960163
2024-10-15,36.01173460070749,25.097192432638415,16.471306020621377,7.748295885146705,1.9664261333743722,4.09512966617248,3.797096173669523,2.757955271121947,1.4142780317306733,0.6405857848170162
2024-10-16,36.198554056267746,25.26096805551668,16.578792083470287,7.729921185662201,2.0547372642786814,3.36500085894373,3.809294895162288,2.789790536672136,1.4423768504656966,0.7705642135605522
2024-10-17,36.02322064089199,25.212811081387144,16.575251521544658,7.716950967058017,2.0706487269790954,3.3293681115369558,3.7959042511331718,2.8080604480414415,1.5703555647194778,0.8974286867080492
