date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD
2024-10-28,78.60362645810436,9.97581940048195,2.715322947633878,2.069361359248238,2.1344860900794806,1.6851629358268727,0.8560927529648947,0.8222136055147815,0.6003403876911215,0.5375740624544264
2024-10-29,78.58854788871008,9.972121265166816,2.7216425318203936,2.0722359198502205,2.1345227479787567,1.6854344933698135,0.8553337051879949,0.8230968203562352,0.6002252241216542,0.5468394034380386
2024-10-30,78.58824977675768,9.969475573269735,2.7087633542619725,2.073041837998393,2.1405305583131358,1.68491822005232,0.8639003637345065,0.8233599491666297,0.6002002332135925,0.5475601332320346
2024-10-31,78.53581446481465,9.982587632466812,2.7143860435255274,2.081466296581798,2.1780356603833173,1.6854286203066307,0.8606491491663513,0.8122599640535996,0.5997997702112196,0.5495723984900936
2024-11-01,78.53488083981061,9.97325584700631,2.719851923628941,2.083373334220586,2.17890135977428,1.6854085841191513,0.8554379666552545,0.8129933010277288,0.5997926398584409,0.5561042038986975
2024-11-04,78.54235046143654,9.95678701177206,2.7270954133601153,2.0872868068328625,2.1800002762116377,1.6857174996983124,0.8581943585138752,0.8058183248819918,0.5998496874279521,0.5569001598646559
2024-11-05,78.54184145968645,9.952596977880383,2.7268981704036785,2.0891815149681947,2.18293360159317,1.6825666260678267,0.8644206779032607,0.8050609041075522,0.5998389901820789,0.5546610772073952
2024-11-06,78.55433260371565,9.942140488200517,2.7261427812740466,2.0907028441864215,2.1864020793750965,1.6837260205850306,0.8568292000665408,0.8050403057277984,0.5999343874261648,0.554749289442734
2024-11-07,78.55512844394099,9.921879737703541,2.7236848293080556,2.102943946177013,2.1883896134311196,1.683768565599702,0.8630936248919727,0.8046147353462927,0.5999495467911701,0.5565469568101385
2024-11-08,78.56259144637346,9.90856920874825,2.7246507585784703,2.10326452682281,2.2046226904955177,1.68197378075279,0.8563263060275272,0.8051264673682701,0.5999985970447742,0.5528762177881394
2024-11-11,78.58675131644644,9.888455305243436,2.7242269270968693,2.090027299638133,2.2168401781630545,1.6689155424083408,0.8635554527344568,0.8060961864813155,0.600167212705375,0.5549645790825899
2024-11-12,78.60509025039335,9.742651355693441,2.722893147614744,2.0933130977093786,2.2100406480462036,1.6636313731439276,0.9967049082175548,0.8099917210776766,0.6002993165428474,0.5553841815608893
2024-11-13,78.58728732567221,9.723198209506204,2.7146298452668955,2.09741664912307,2.20846584431971,1.6645676031222518,1.0157415112608943,0.8103907650365222,0.6001542732268473,0.5781479734653951
2024-11-14,78.59723233759735,9.697842956392726,2.711496749429763,2.1013226031657832,2.2241378882925793,1.6675117652038842,1.006089651170428,0.8111157694509643,0.6002506634332219,0.5829996158633098
2024-11-15,78.60015453574071,9.689726612610224,2.69751400355878,2.1022930347469195,2.2233282747484324,1.668317350346878,1.0166413920344288,0.8118895143024574,0.6002729803942912,0.5898623015168856
2024-11-18,78.4931642145098,9.82089764303382,2.6934941613153995,2.105926221056851,2.21654706801202,1.6672030178401944,1.0038028811667883,0.8107690320745358,0.5994445484530175,0.588751212537569
2024-11-19,78.50272428729687,9.782584678116248,2.7181975482388316,2.1061827122833034,2.210875814124477,1.668148727058247,1.0117809150457928,0.8111648405754568,0.599517557785389,0.5888229194753852
2024-11-20,78.52122184001618,9.770573012744197,2.7059333554992144,2.1060249588032076,2.2178706968919424,1.6684944390792007,1.0156073227797358,0.804944815588007,0.599641803557446,0.5896877550408776
2024-11-21,78.48477164862939,9.775458444285501,2.7353448228915966,2.1100162196055847,2.2160148283821504,1.6691416731548219,1.010461185479064,0.8044162039491518,0.5993407660283204,0.5950342075944175
2024-11-22,78.49908782822125,9.764265442461001,2.7365708058123004,2.1133593814310148,2.214772823590935,1.6697336869341237,1.0029170940233552,0.8047068816001244,0.5994466877296815,0.5951393681962135
2024-11-25,78.47066214680112,9.749001387147066,2.7647395248482507,2.1127425618407902,2.2173853812808635,1.6722466931262285,1.0133172089312357,0.8050093217999581,0.5992296192127702,0.5956661550117202
2024-11-26,78.47744850354651,9.745206954330383,2.7621657449413384,2.1181981342488228,2.2189863003369807,1.6726312971900095,1.0053531210929403,0.8044576581239936,0.5992610348035203,0.5962912513855061
2024-11-27,78.48365612754817,9.742841323929841,2.7579246573892564,2.116728415675383,2.219157625493679,1.674690657689827,1.0063216133327608,0.8058560745678298,0.5993073029984504,0.5935162013747965
2024-11-28,78.48435532126794,9.743225080144546,2.7425221877018995,2.1200138262502377,2.220662192349106,1.6757449349484583,1.0141851538514068,0.8058632537632723,0.5993126420960808,0.594115407627052
2024-11-29,78.48202472398145,9.741302526483086,2.737689539474692,2.1202478228769404,2.2262383102054804,1.6794070555460756,1.0099977297981602,0.805987798886691,0.599294845473917,0.5978096472735044
2024-12-02,78.48319000532264,9.740110865552287,2.7366908456257484,2.1205762587466954,2.2268652747592657,1.6794319909591584,1.0083794736883358,0.8059997659905798,0.599303743652879,0.5994517757024146
2024-12-03,78.4744512386328,9.737987119323133,2.724806172761623,2.121082446421063,2.237900355032633,1.677908844861115,1.0205894537786289,0.805910021372572,0.5992370137506952,0.6001273340657496
2024-12-04,78.47956836821717,9.735969177109503,2.7151488328356432,2.1219350097396408,2.243509985937776,1.6793322537493798,1.0151491471438057,0.8062488370356734,0.5992681525223518,0.6038702357090444
2024-12-05,78.46174293004175,9.731982311853677,2.71165510142437,2.123667300351308,2.267023750959524,1.67956589674405,1.0139512335881207,0.808379496854932,0.5990867034929342,0.6029452746893266
2024-12-06,78.46948144464184,9.71853358664899,2.711968045634126,2.1207114135521405,2.271044670841619,1.6803179887627209,1.0155899223989038,0.8085327195822124,0.5990902593717061,0.6047299485657436
2024-12-09,78.49045128831209,9.701236515136417,2.709278102326084,2.1227627858226055,2.275363181353355,1.6821032079500138,1.0047265050720542,0.8136481087920885,0.5992503576526187,0.6011799475826755
2024-12-10,78.48998517002327,9.683957152627007,2.705253502086939,2.138338833985467,2.309941635157963,1.666504564457439,1.0050174652164643,0.8042900843560279,0.5992467989834214,0.5974647931059999
2024-12-11,78.50681203639225,9.482059781996167,2.7031349821939084,2.3233548189157416,2.3144243276877607,1.6666975756506144,1.0013625776008352,0.8034151482630157,0.5993695983905506,0.5993691529091582
2024-12-12,78.5115119395827,9.480970405279916,2.7009156568532116,2.3231925096621775,2.3138159934734914,1.668130723427995,1.0012721287862942,0.8030159217085155,0.5994043466014296,0.5977703746242657
2024-12-13,78.5115119395827,9.472654270523833,2.7003216472277773,2.3231925096621775,2.3150040127243603,1.6691702402725055,1.003648167288032,0.8024219120830811,0.5994043466014296,0.6026709540341
2024-12-16,78.5149425022037,9.39290116409966,2.690964705717794,2.321220056572224,2.3152584405971908,1.6718785068868462,1.0870774781350487,0.8045893635299965,0.5994702234517645,0.6016975588057729
2024-12-17,78.53605459437568,9.394238525585695,2.691688286390315,2.3225870089351894,2.2961226944392807,1.6726245858462097,1.0794961761598107,0.8033204221965,0.5996314165980439,0.6042362894732726
2024-12-18,78.5367546332913,9.384814422886333,2.6771756842797987,2.32201347159642,2.3034226005263667,1.6732337348999666,1.0892884735089254,0.8015448628271767,0.599636761472176,0.6121153547115449
2024-12-19,78.54052026666935,9.379452540906204,2.676853283038074,2.3231603813960398,2.2996659487474256,1.6811848388255037,1.0866644385455506,0.8006903775755467,0.5996643781731912,0.6121435461231192
2024-12-20,78.52343707769894,9.381736475676004,2.6765933733715723,2.328263367659363,2.3025415025696376,1.687800135826179,1.0870649185324115,0.8008056319217336,0.5996394339449738,0.61211808279918
2024-12-23,78.52308711447489,9.377237863542454,2.6756900844084495,2.330481390863108,2.3078794001404135,1.6898724534590732,1.0834946340106648,0.8005049429172326,0.599636761472176,0.6121153547115449
2024-12-27,78.52185744765224,9.377818707801136,2.6736690089237887,2.3353788091613765,2.304748800133339,1.6909342839675976,1.0829561566949273,0.8006560036331436,0.5997499169989169,0.6122308650335246
2024-12-30,78.53177599668362,9.358941357502419,2.672966487955385,2.337605692613745,2.313956333682374,1.691147875636841,1.0817554900239403,0.8007571391142366,0.5998256748726055,0.6112679519148342
2025-01-02,78.53394985254532,9.354430878088147,2.672526951498199,2.3337285643578642,2.318548912718895,1.6922862024060015,1.0821154193875309,0.8012493972149938,0.5998604407731797,0.6113033810098706
2025-01-03,78.52972590606014,9.360060277986829,2.664454210146817,2.334727241951328,2.3196964737277987,1.6925528076676768,1.086108669017586,0.8015321873857886,0.5998497449266795,0.6112924811293587
