date,KARL-THOMSON SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,LUK FOOK SECURITIES (HK) LTD,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-12-20,12.635070540104445,3.919067702924,3.1185202337276356,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8525131365949759,0.5955272069819311,0.6067165072364304,27.817840261723102
2024-12-27,12.635070540104445,3.9060003648400796,3.0871586223262266,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8525131365949759,0.5955272069819311,0.6067165072364304,27.773411312237773
2024-12-30,12.635070540104445,3.919067702924,3.0375027376073285,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.757730506537065
2025-01-02,12.635070540104445,3.9373619762414886,3.0113680614394878,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.749890103686713
2025-01-03,12.635070540104445,3.9373619762414886,2.9800064500380783,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.718528492285305
2025-01-08,12.635070540104445,3.9373619762414886,2.940804435786317,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.679326478033545
2025-01-09,12.635070540104445,3.9373619762414886,2.9251236300856123,2.650709530323281,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.663645672332837
2025-01-10,12.635070540104445,3.9373619762414886,2.9251236300856123,2.632415257005792,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.64535139901535
2025-01-14,12.635070540104445,3.9373619762414886,2.9094428243849073,2.632415257005792,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8734208775292487,0.5955272069819311,0.6067165072364304,27.62967059331465
2025-01-15,12.634025153057731,3.9373619762414886,2.9094428243849073,2.632415257005792,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8551266042117599,0.5955272069819311,0.6067165072364304,27.610330932950443
2025-01-20,12.634025153057731,3.9373619762414886,2.9094428243849073,2.632415257005792,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.5955272069819311,0.6067165072364304,27.594650127249736
2025-01-22,12.634025153057731,3.9373619762414886,2.9094428243849073,2.632415257005792,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.5981406745987151,0.6067165072364304,27.597263594866522
2025-01-27,12.634025153057731,3.9373619762414886,2.9094428243849073,2.606280580837951,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.6085945450658515,0.6067165072364304,27.581582789165815
2025-02-04,12.634025153057731,3.9373619762414886,2.9094428243849073,2.6010536456043827,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.6085945450658515,0.6067165072364304,27.57635585393225
2025-02-06,12.634025153057731,3.9373619762414886,2.9094428243849073,2.584719472999482,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.6085945450658515,0.6067165072364304,27.560021681327353
2025-02-11,12.634025153057731,3.9373619762414886,2.9094428243849073,2.571652134915561,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.6085945450658515,0.6067165072364304,27.546954343243428
2025-02-12,12.634025153057731,3.9373619762414886,2.9094428243849073,2.570084054345491,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8394457985110553,0.6085945450658515,0.6067165072364304,27.54538626267336
2025-02-13,12.634025153057731,3.9373619762414886,2.9094428243849073,2.570084054345491,1.319017106190939,1.2862180876002982,0.8344802100391654,0.8159245899599982,0.6085945450658515,0.6067165072364304,27.5218650541223
2025-02-14,12.634025153057731,3.9373619762414886,2.9094428243849073,2.570084054345491,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,27.474822637020186
2025-02-18,12.634025153057731,3.9373619762414886,2.9094428243849073,2.5544032486447863,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,27.459141831319485
2025-02-19,12.634025153057731,3.9556562495589773,2.883308148217066,2.5334955077105135,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,27.43039368753486
2025-02-21,12.634025153057731,3.4590974023699967,2.8676273425163616,2.5334955077105135,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.91815403464517
2025-02-26,12.634025153057731,3.4460300642860764,2.8676273425163616,2.5334955077105135,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.905086696561252
2025-02-27,12.634025153057731,3.4355761938189397,2.8676273425163616,2.5334955077105135,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.894632826094117
2025-03-07,12.634025153057731,3.4355761938189397,2.8676273425163616,2.525655104860161,1.319017106190939,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.88679242324376
2025-03-10,12.634025153057731,3.4355761938189397,2.8676273425163616,2.5099742991594565,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.868498149926275
2025-03-11,12.634025153057731,3.4355761938189397,2.8676273425163616,2.496906961075536,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.85543081184235
2025-03-13,12.634025153057731,3.4355761938189397,2.8676273425163616,2.473385752524479,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.831909603291297
2025-03-14,12.634025153057731,3.4355761938189397,2.8676273425163616,2.447251076356638,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.805774927123455
2025-03-19,12.634025153057731,3.4355761938189397,2.8676273425163616,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.80316145950667
2025-03-20,12.634025153057731,3.4264290571601954,2.8676273425163616,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.794014322847925
2025-03-26,12.634025153057731,3.4264290571601954,2.8414926663485205,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.767879646680086
2025-03-27,12.634025153057731,3.4264290571601954,2.8388791987317363,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.6067165072364304,26.765266179063303
2025-03-31,12.634025153057731,3.4264290571601954,2.8388791987317363,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.5988761043860782,26.75742577621295
2025-04-01,12.634025153057731,3.4264290571601954,2.833652263498168,2.444637608739854,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.5988761043860782,26.75219884097938
2025-04-02,12.634025153057731,3.4264290571601954,2.831038795881384,2.4315702706559335,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6085945450658515,0.5988761043860782,26.736518035278678
2025-04-03,12.634025153057731,3.4264290571601954,2.831038795881384,2.4315702706559335,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.741091603608048
2025-04-08,12.634025153057731,3.4264290571601954,2.831038795881384,2.423729867805581,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.733251200757696
2025-04-09,12.634025153057731,3.4264290571601954,2.7918367816296223,2.423729867805581,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.694049186505936
2025-04-10,12.686294505393414,3.4264290571601954,2.7918367816296223,2.423729867805581,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.746318538841617
2025-04-11,12.701975311094118,3.4264290571601954,2.7918367816296223,2.423729867805581,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.76199934454232
2025-04-14,12.701975311094118,3.4264290571601954,2.7918367816296223,2.421116400188797,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.75938587692554
2025-04-16,12.701975311094118,3.4264290571601954,2.7918367816296223,2.420463033284601,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5988761043860782,26.758732510021343
2025-04-22,12.701975311094118,3.4264290571601954,2.7918367816296223,2.420463033284601,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5897289677273339,26.7495853733626
2025-04-24,12.701975311094118,3.4264290571601954,2.7918367816296223,2.420463033284601,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5910357015357258,26.750892107170987
2025-04-25,12.7542446634298,3.4264290571601954,2.7918367816296223,2.420463033284601,1.3164036385741549,1.2862180876002982,0.8344802100391654,0.7688821728578843,0.6131681133952237,0.5910357015357258,26.80316145950667
