date,UOB KAY HIAN (HONG KONG) LTD,CGS INTERNATIONAL SECURITIES HK LTD,SINOMAX SECURITIES LTD,UPBEST SECURITIES CO LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,USMART SECURITIES LTD
2024-12-27,40.98365398524519,19.266599161001015,0.0,28.591060321134094,7.964704180529438,2.2971213655431795,0.0,0.3978012440329814,0.4961666425575004,0.0028930999566035005
2025-01-03,40.98068995443697,19.265205756852534,0.0,28.588992550806392,7.964128155058943,2.2940623417950388,0.0,0.4050047009474217,0.4990236493816446,0.0028928907210530124
2025-01-06,40.98068995443697,19.265205756852534,0.0,28.588992550806392,7.964128155058943,2.301294568597671,0.0,0.3977724741447892,0.4990236493816446,0.0028928907210530124
2025-01-07,40.97417059555144,19.262140977063027,0.0,28.58444450872068,7.962861192259855,2.3081595464668965,0.0,0.40638648656466025,0.4989442628640847,0.002892430509357013
2025-01-09,40.962914769030576,19.256849562640063,0.0,28.576592207041134,7.960673751174727,2.3060796645702304,0.0,0.40627484999638547,0.5277235596038459,0.0028916359430347723
2025-01-10,41.040988939492514,19.256849562640063,0.0,28.504301308465262,7.960673751174727,2.300296392684161,0.0,0.40627484999638547,0.5277235596038459,0.0028916359430347723
2025-01-13,41.02894356005788,19.274963820549928,0.0,28.53111432706223,7.968162083936324,2.2590448625180897,0.0,0.40665701881331406,0.5282199710564399,0.0028943560057887122
2025-01-14,41.02894356005788,19.274963820549928,0.0,28.53111432706223,7.968162083936324,2.222865412445731,0.0,0.40665701881331406,0.5643994211287988,0.0028943560057887122
2025-01-15,40.99927693420101,19.261026753434564,0.0,28.510484454085322,7.962400578452638,2.2212581344902387,0.0,0.4063629790310918,0.6362979031091829,0.0028922631959508315
2025-01-20,41.00046277549604,19.26158384913519,0.0,28.511309076184414,7.9626308786949735,2.218430034129693,0.0,0.40637473245791633,0.6363163070515416,0.00289234685023428
2025-01-21,40.99216332668229,19.257684855845696,0.0,28.505537723027096,7.96101905670744,2.1659292675168444,0.0,0.406292472745149,0.7084815361036407,0.002891761371851595
2025-01-23,40.99157063747958,19.257406416725704,0.0,28.505125572921937,7.96090395153478,2.167343810997209,0.0,0.40628659832569436,0.7084712924540578,0.002891719561036971
2025-02-03,40.99097796541553,19.25712798565728,0.0,28.504713434734835,7.960788849690591,2.1687583135735355,0.0,0.406280724076109,0.7084610491006883,0.0028916777514313807
2025-02-05,40.99038531048941,19.256849562640063,0.0,28.504301308465262,7.960673751174727,2.1701727752475963,0.0,0.40627484999638547,0.7084508060435192,0.0028916359430347723
2025-02-07,40.96077439861302,19.24293866936358,0.0,28.483710178429533,7.954923065809434,2.2408437477425416,0.0,0.40598136242144045,0.7079390305569602,0.0028895470634977966
2025-02-18,40.83353791499993,19.234046240270334,0.0,28.47054746053981,7.951246985428971,2.3640013285774115,0.0,0.4029055410342686,0.7408263173855907,0.0028882117636865137
2025-02-19,40.84828522723989,19.2409927479703,0.0,28.480829793996126,7.954118632804599,2.3229609083817286,0.0,0.4030510531333969,0.746872381612782,0.002889254861171304
2025-02-20,40.876039031442,19.254065775207806,0.0,28.50018070112035,7.9595229490422845,2.258041199855439,0.0,0.4018792916516082,0.7473798337549692,0.0028912179255511385
2025-02-24,40.844031922276194,19.256014341892204,0.0,28.503065001156603,7.960328475595651,2.265498496414527,0.018794818413139024,0.4019199629886653,0.7474554707379135,0.0028915105250983115
2025-02-25,40.801238461761045,19.26994415347666,0.0,28.52368413437889,7.966086981683499,2.267137359298591,0.018808414595329725,0.4022107121155126,0.747996180445036,0.0028936022454353425
2025-02-26,40.74487194344652,19.293950631591148,0.0,28.5592189129679,7.976011125275234,2.216363425657666,0.018831846100359255,0.40271178583845174,0.7851431220303626,0.002897207092362962
2025-02-27,40.45309314866486,19.25573595107635,0.0,28.50265292255201,7.961659124752418,2.561841287281875,0.01879454668999118,0.4091428240975003,0.772022148650407,0.06505804623458486
2025-02-28,11.1624,5.319999999999999,0.0,7.846400000000001,2.194,0.7552,0.0052,0.1152,0.21359999999999998,0.0204
2025-03-03,40.37852150887702,19.244403929909858,0.0,28.38332537512118,7.89454645425475,2.8172071016191342,0.018810319630738957,0.416720927204063,0.7726700525242002,0.07379433085905282
2025-03-04,40.37852150887702,19.20823023831228,0.0,28.38332537512118,7.89454645425475,2.8403582642415826,0.018810319630738957,0.416720927204063,0.7726700525242002,0.0868168598341798
2025-03-05,40.32367603496857,19.18214001878477,0.0,28.34477277653349,7.883823423163067,2.9665486597789177,0.010114876092767865,0.41615490210244926,0.7860703706379597,0.08669893793801026
2025-03-06,40.17886717456111,19.118049454901566,0.0,28.250068407333266,7.8574823221049295,3.2864323055431544,0.010081080691850167,0.41332430836585676,0.7992856834252632,0.08640926307300142
2025-03-07,40.167297752566334,19.112544451963085,0.0,28.241933858358408,7.855219776264451,3.311401298645205,0.010078177865441929,0.41608477187324533,0.7990555307600387,0.08638438170378795
2025-03-10,40.16556291390728,19.111718974949614,0.0,28.240714080046068,7.854880506766484,3.315577310682407,0.010077742585660812,0.4160668010365678,0.7990210192916786,0.08638065073423554
2025-03-11,40.103971659802426,19.116672906886322,0.0,28.248034330808448,7.8569165634630345,3.374038766164569,0.004320152069352841,0.4104144465885199,0.7992281328302757,0.08640304138705683
2025-03-12,40.08896182414925,19.10951805147694,0.0,28.237461852939482,7.853975931364081,3.410203259054528,0.004318535152876144,0.4102608395232337,0.7989290032820867,0.08637070305752288
2025-03-13,40.09011602798491,19.110068234819913,0.0,28.238274839489826,7.854202055681917,3.408861889269571,0.004318659488094895,0.4088330982063167,0.7989520052975556,0.08637318976189791
2025-03-14,40.10454918563961,19.116948200630752,0.0,28.248441122679687,7.857029708673551,3.3769674975878803,0.004320214282628418,0.4061001425670713,0.7992396422862573,0.08640428565256837
2025-03-17,40.08009103873468,19.122455741058182,0.0,28.256579421212603,7.859293297417208,3.385142824217456,0.004321458924532923,0.40621713890609473,0.7994699010385906,0.08642917849065845
2025-03-18,40.031675185371824,19.113094809588944,0.0,28.24274710244043,7.855445972212224,3.4612338924483477,0.004319343459794111,0.4060182852206465,0.7990785400619106,0.08638686919588222
2025-03-19,39.933093971247715,19.14175714841891,0.0,28.026993121944887,7.867226139493303,3.518334270594512,0.1917780565528976,0.4340240227249787,0.8002768525327681,0.08651641649002897
