date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,WATON SECURITIES INTERNATIONAL LIMITED,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SKY SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,QUAM SECURITIES LTD
2024-10-07,63.800029856417005,7.366662329277282,8.811531452168673,3.815174464772443,4.82025033743443,4.043408683122936,3.2085222769840325,1.4032177868956253,1.384902695299598,1.3463001176279714
2024-10-08,63.76589187971069,7.427493162410348,8.806816597706408,3.8131330497871825,4.817671128708223,4.041245145084643,3.1955406732596128,1.402466956273277,1.3841616646753325,1.3455797423842806
2024-10-09,63.7656018594974,7.454379895112422,8.69784572032533,3.867652595539059,4.82596155739509,4.0481994708960976,3.2010396791817435,1.4048803738719557,1.3865435818435066,1.3478952663373904
2024-10-10,63.87844365659555,7.454379895112422,8.58500392322718,3.867652595539059,4.82596155739509,4.0481994708960976,3.2010396791817435,1.4048803738719557,1.3865435818435066,1.3478952663373904
2024-10-15,63.874839780740444,7.453959336028934,8.584519576919039,3.867434391415616,4.831331059210449,4.047971080730422,3.200859083836104,1.4048011137308363,1.3864653562223015,1.3478192211658506
2024-10-16,63.50402494801982,8.20155830892335,8.419698673394048,3.7973059768754722,4.7556069017634695,4.024471253187816,3.1822770250816825,1.3966457728832977,1.3784164605866283,1.339994679284417
2024-10-17,63.49133792968995,8.229049522006319,8.416327675690841,3.7953678116353404,4.746873869332895,4.024200391382232,3.182062846063707,1.3965517734552975,1.3783236880587924,1.3399044926846206
2024-10-18,63.424579740878364,8.32860370728287,8.414911788945982,3.7947293133278324,4.762898392603805,4.023523396353953,3.136665939722068,1.3963168302329398,1.3780918113644376,1.3396790792877482
2024-10-22,63.50470566496178,8.339125449344023,8.28798039587473,3.799523293739197,4.780145051167231,4.028606418291524,3.1406285715280333,1.398080833664933,1.3798327906552503,1.3413715307733032
2024-10-23,63.49757516353043,8.34941741102369,8.28704979623716,3.799096671711731,4.779608321947365,4.02815407411433,3.140275932203276,1.3979238528982134,1.3796778588342808,1.3412209174995309
