date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DEUTSCHE BANK AG,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-06-21,36.942141466823344,22.72376634558631,12.337927778142896,6.992003822821492,5.7009320195506215,5.855760003217803,3.6987904445427926,4.654958010689842,1.0937201086249033
2024-06-24,36.84594831367413,22.96604534272393,12.353449390909056,7.000800046770022,5.7073196594656395,5.8129749813206795,3.692070403064715,4.528648899530469,1.092742962541356
2024-06-25,37.5552170123466,22.281573547319407,12.376763108102647,7.018727181702284,5.63282660534173,5.767704887466044,3.6797849937944673,4.591811607742757,1.0955910561840598
2024-06-26,37.58897046143263,22.306337670041216,12.39357859865486,7.040853644597698,5.653070136662504,5.619569745980683,3.696588145109446,4.6074931352803326,1.0935384622406286
2024-06-27,37.81389550041809,22.04321937402512,12.393636822236155,7.047182042207951,5.656244354376245,5.656581154023216,3.6966055112477783,4.599091641909139,1.0935435995562994
2024-06-28,37.85112994358617,22.02491170371673,12.392530521464684,7.0504872093948485,5.667542129884671,5.643880132453523,3.6589004099363156,4.599074532793676,1.1115434167693745
2024-07-02,37.837840210668986,22.035246608805647,12.401225293483881,7.055827627862092,5.667581571974409,5.622643257157908,3.6626486407478653,4.599939116898335,1.1170476724008818
2024-07-03,38.00376675068555,21.880197140490193,12.398586558062187,7.050390140626398,5.6624394760371555,5.591532155020005,3.659901228224193,4.5954406384757425,1.157745912378572
2024-07-04,38.14985089654074,21.731763512859146,12.405812681692579,7.052530016924662,5.662982741083085,5.595184846581388,3.645492834617508,4.597961801772054,1.158420667928832
2024-07-05,38.27825098030784,21.72758299431496,12.422337076225919,7.0619239027947796,5.670525766554301,5.606068967871487,3.6515316936078177,4.486097041241948,1.095681577080946
2024-07-08,38.282300824967045,21.71754138726446,12.419300989382535,7.059015113272831,5.669534131455829,5.617315527203138,3.6545819622235345,4.48499627769507,1.0954137865355518
2024-07-09,38.259505749009584,21.721202226987455,12.425119340400999,7.0603499248547585,5.6686401534393545,5.6250751391275475,3.6570830209464003,4.487097465409454,1.0959269798244475
2024-07-10,38.307445135238446,21.71200070782686,12.417600784689968,6.996944894832293,5.663238914815707,5.618123388864265,3.654870085868711,4.524034335247839,1.1057417526159166
2024-07-11,38.03445075225872,21.712123204827698,12.427784906555104,6.997758143196369,5.663897147780533,5.606159925973598,3.658054736903328,4.522588838885596,1.3771823436190562
2024-07-12,38.11706249462798,21.692508086749555,12.427615227766214,7.011855916390841,5.663819817571195,5.639753080951725,3.6552449816016597,4.406697419979047,1.3854429743617835
