date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-07-15,0.2204767424502064,2.058573992052588,0.49357131133249094,2.382573728702691,0.0,0.0,0.0,0.0,0.6078598153169846
2024-07-16,0.2205901185037123,2.0591181971094166,0.48547626111217124,2.3838435405019567,0.0,0.0,0.0,0.0,0.6089255502199399
2024-07-17,0.0,2.0560116932433554,0.49146251673728164,2.38198417322446,1.5706528897226162,0.0,0.0,0.0,0.6089709006413422
2024-07-18,0.22083954582142523,2.060365333697981,0.4902607305701193,2.381530669010437,1.56861212075951,0.0,0.0,0.0,0.6083586699524105
2024-07-19,0.22070349455721813,2.070841281041924,0.4816895009250749,2.3803062076325734,1.5620363096561694,0.0,0.0,0.0,0.6083359947417094
2024-07-22,5.713684853595291,2.070863956252625,0.48130402234315495,2.3794672248366298,0.0,0.0,0.0,0.0,0.6079278409490881
2024-07-23,5.715181417501569,2.0735623063260653,0.48291396230293837,2.3781067121945596,0.0,0.7603279320716899,0.0,0.0,0.6070208325210411
2024-07-24,5.7151360670801665,2.074968169389538,0.48479600479113594,2.3756577894388324,0.0,0.0,0.0,0.0,0.0
2024-07-25,0.0,2.077915946780691,0.48488670563394065,2.3742065759539575,0.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,2.078822955208738,0.4719845107449718,2.3741158751111526,0.0,0.0,0.0,0.0,0.0
2024-07-29,5.71713148562187,1.0577582173347972,0.4751363650324351,2.373027464997496,0.0,0.0,0.0,0.0,1.6274053140739466
2024-07-30,0.0,0.0,0.476020698249781,2.373775746950635,0.0,0.0,0.0,0.0,0.0
2024-07-31,5.71636052845803,0.0,0.4828912870922372,2.3733449179473123,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,1.058891977869856,0.47277814311951283,2.373662370897129,0.0,0.0,0.0,0.0,0.0
2024-08-02,5.716587280565042,1.0579396190204067,0.47150833132024705,2.3741541962172374,0.0,0.0,0.0,0.0,1.6276164202855745
2024-08-05,0.0,0.0,0.45837938432426634,2.3754920336486065,0.0,0.0,0.0,0.0,1.6275710698641723
2024-08-06,0.0,1.0587105761842466,0.4613725121368215,2.374925153381078,0.0,0.0,0.0,0.0,1.6275030442320686
2024-08-07,5.717358237728882,1.056692482431842,0.4895124486169805,2.371773299093614,0.0,0.0,0.0,0.0,1.6273896681785627
2024-08-08,0.0,1.0564657303248302,0.49119041420886755,2.371659923040108,0.0,0.0,0.0,0.0,0.0
2024-08-09,5.718514673474641,1.0568738841174512,0.49200672179410987,2.370548837715751,0.0,0.0,0.0,0.0,0.0
2024-08-12,6.224103846478755,1.0560802517429102,0.49833310557973787,2.370231384765934,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.0,1.056420379903428,0.4966097895664485,2.3713197948795903,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.49713131941257555,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,1.0566471320104398,0.497199345044679,2.3713651453009925,0.0,0.0,0.0,0.0,1.6277751467604826
2024-08-16,0.0,0.0,0.497063293780472,2.3710930427725785,0.0,0.0,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.4970179433590697,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.4971086442018744,0.0,0.0,0.0,0.0,0.0,1.627510073547386
