date,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,TIGER BROKERS (HK) GLOBAL LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BNP PARIBAS,UOB KAY HIAN (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIB SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-04-15,14.81120174750799,15.145759752645786,13.103090074225179,8.091653988269762,0.001889329469940584,10.233957886831933,2.119797273914569,6.151830187480564,0.0,0.19946861803286914
2024-04-16,14.81130305203721,15.165767397166602,13.105875948778712,8.091603336005154,0.001889329469940584,10.128499871914604,2.221152455398513,6.151830187480564,0.0,0.19916470444521112
2024-04-17,14.81130305203721,15.169465012483109,13.109522911830606,8.09053963844835,0.001889329469940584,10.124194429422783,2.227129422622454,6.151323664834467,0.0,0.19541643686409577
2024-04-18,14.81130305203721,15.182178730900137,13.11073856618124,8.088513547863963,0.001889329469940584,10.081443918092225,2.245414890146544,6.150817142188371,0.0,0.19349165080892844
2024-04-19,14.81130305203721,15.227259246402738,13.117829883226593,8.088513547863963,0.001889329469940584,9.903553164783075,2.41646758773339,6.150817142188371,0.0,0.18756533584959736
2024-04-22,14.81130305203721,15.229184032457907,13.12015988739864,8.088513547863963,0.001889329469940584,9.900665985700323,2.4178351988778504,6.1503106195422745,0.0,0.18756533584959736
2024-04-23,14.81130305203721,15.253446467205936,13.124262720832022,8.088532694419985,0.001889329469940584,9.78987033644296,2.5246608249396387,6.149804096896178,0.0,0.18756533584959736
2024-04-24,14.819711327962414,15.27416324343129,13.136419264338342,7.821238060157013,0.001889329469940584,9.739218071833292,2.550898698007446,6.149297574250081,0.0,0.18756533584959736
2024-04-25,14.819711327962414,15.26995910546869,13.136419264338342,7.821187407892402,0.001889329469940584,9.714246505380725,2.5818472316839527,6.148791051603984,0.0,0.18756533584959736
2024-04-26,14.822497202515947,15.27411259116668,13.136368612073731,7.821035451098574,0.001889329469940584,9.71070084685805,2.591268552901351,6.148284528957888,0.0,0.18756533584959736
2024-04-29,21.268084649311124,21.91680587167304,18.84825630808776,11.214497490577156,0.0027108797263744695,13.931237368535998,3.72829541778241,8.821059018406993,0.0,0.2690529958991497
2024-04-30,14.82361155233736,15.278975208569209,13.136672525661389,7.814906527080804,0.001889329469940584,9.659035536956189,2.6632454209116876,6.147271483665694,0.0,0.18513402714833332
2024-05-02,14.823864813660409,15.278975208569209,13.136672525661389,7.81997175354177,0.001889329469940584,9.657212055430241,2.6631947686470783,6.141497125500192,0.108649107587736,0.18437424317918832
2024-05-03,14.82345959554353,15.328310514299027,13.149031678226148,7.8198704490125515,0.001889329469940584,9.628846787248827,2.6742369623319857,6.10826923991625,0.14501743357747698,0.1827027184470693
2024-05-06,14.824776554423384,15.347963592967576,13.150551246164438,7.818908055984967,0.001889329469940584,9.616234373361019,2.6900911211548113,6.090287685979819,0.17034356588231053,0.17632053310625126
2024-05-07,14.8280182993584,15.378912126644082,13.153590382041019,7.817743053898946,0.001889329469940584,9.59789825357232,2.706350498094514,6.061973070063015,0.1745983561095226,0.1687226934148012
2024-05-08,14.828423517475278,15.38220452384371,13.15333712071797,7.813032393290246,0.001889329469940584,9.595568249400275,2.706350498094514,6.05807284568807,0.18128445503799864,0.1687226934148012
2024-05-09,14.830905478441153,15.432147656748842,13.159060826618862,7.812981741025636,0.001889329469940584,9.493807849799454,2.727725753759794,6.015221029828291,0.1920227351352481,0.16046637428342544
2024-05-10,14.84514139871423,15.434528313185497,13.159060826618862,7.800164084161631,0.001889329469940584,9.493048065830308,2.728688146787378,6.01258711206859,0.1920227351352481,0.16046637428342544
2024-05-13,14.842203567366868,15.443037893639922,13.162809094199979,7.800670606807728,0.001889329469940584,9.486108705578784,2.731676630399348,6.0053438382294075,0.1920227351352481,0.1656329052736115
2024-05-14,14.841089217545456,15.454282696383267,13.162809094199979,7.800670606807728,0.001889329469940584,9.48225913346845,2.731676630399348,5.995973169276619,0.20316623334937484,0.16517703489212449
2024-05-16,14.842456828689915,15.504631047405276,13.16250518061232,7.800467997749289,0.001889329469940584,9.336329959128,2.731676630399348,5.940356982735204,0.39265635525413956,0.16056767881264478
2024-05-17,14.843773787569766,15.512228887096727,13.161492135320128,7.799708213780143,0.001889329469940584,9.331011471343983,2.731676630399348,5.929416093579516,0.4276064178348099,0.16056767881264478
2024-05-20,14.844381614745084,15.518357811114496,13.160783003615592,7.7991510388694385,8.143495264138876,9.315056007991938,2.731220760017861,5.919589554245241,0.45303385466886276,0.15985854710810946
2024-05-21,14.847116837034005,15.542924159450184,13.160783003615592,7.7989484298109994,8.143495264138876,9.279042247854466,2.7298531488733997,5.8966440783770615,0.5218702822734004,0.15985854710810946
2024-05-22,14.847522055150883,15.546013947591375,13.160783003615592,7.79879647301717,8.143495264138876,9.274635500833424,2.7298531488733997,5.8918321132391425,0.5259731157067835,0.15975724257889012
2024-05-23,14.84944684120605,15.56207071547264,13.172534329005034,7.7965677733743455,8.143495264138876,9.264859613763758,2.7298531488733997,5.880334049172749,0.5321020397245532,0.15925071993279344
2024-05-24,14.84944684120605,15.565565721730707,13.175573464881612,7.796517121109734,8.143495264138876,9.26136460750569,2.7298531488733997,5.877092304237729,0.5321020397245532,0.15925071993279344
2024-05-27,14.849801407058319,15.566730723816727,13.175573464881612,7.796517121109734,8.143495264138876,9.260959389388814,2.7298531488733997,5.87552208403483,0.5321020397245532,0.1582376746406001
2024-05-28,14.851219670467389,15.594336208028997,13.186362397243473,7.796061250728248,8.143495264138876,9.247853419834652,2.7298531488733997,5.851512910609848,0.5361542208933265,0.16082094013569312
2024-05-29,14.852739238405679,15.599654695813012,13.187780660652543,7.794845596377615,8.143495264138876,9.245320806604166,2.7298531488733997,5.847106163588807,0.5423844494403156,0.1582376746406001
2024-05-30,14.852739238405679,15.600515784311375,13.187780660652543,7.7939845078792525,8.143495264138876,9.245320806604166,2.7298531488733997,5.845282682062859,0.5436507560555572,0.1582376746406001
2024-05-31,14.852739238405679,15.602491222631155,13.18838848782786,7.79129993785494,8.143495264138876,9.245422111133387,2.7298531488733997,5.842344850715498,0.5492225051626207,0.1582376746406001
2024-06-03,14.852739238405679,15.607708405885948,13.18838848782786,7.79129993785494,8.143495264138876,9.24501689301651,2.7298531488733997,5.83145461382442,0.5685716702435135,0.1582376746406001
2024-06-04,14.852789890670287,15.619712992598439,13.18838848782786,7.78669058177546,8.143495264138876,9.247093635865506,2.7298531488733997,5.815600455001594,0.5918210596993507,0.1582376746406001
2024-06-05,14.852941847464118,15.620877994684463,13.18838848782786,7.786487972717021,8.143495264138876,9.247397549453163,2.7298531488733997,5.813067841771111,0.5918210596993507,0.15889615408052576
2024-06-06,14.852941847464118,15.62295473753346,13.18833783556325,7.785474927424827,8.143495264138876,9.247346897188553,2.739426426884627,5.80861044248546,0.5918210596993507,0.15889615408052576
2024-06-07,14.86302164812144,15.629438227403497,13.188287183298641,7.785373622895609,8.143495264138876,9.24927168324372,2.7409459948229173,5.799796948443378,0.5918210596993507,0.15889615408052576
2024-06-11,14.882021119013189,15.635858885966677,13.188875064121532,7.784555609535716,8.143858268419157,9.25008921477118,2.7410681751761765,5.789772612010664,0.5918474407029447,0.16027090913934586
2024-06-12,14.885337620967634,15.640618811676141,13.189387433963992,7.788072065871556,8.144675146387206,9.249851883477854,2.7413431208011394,5.785743337115214,0.5919068065610946,0.16023632567209367
2024-06-13,14.886221105934116,15.645845690746613,13.191859425223804,7.790633259099046,8.145075393887945,9.25030644182819,2.741477836515769,5.779492251453768,0.5989272630105412,0.16019353794952895
2024-06-14,14.897503267103984,14.984299853892399,13.194178928400271,7.778169890250341,8.146507529240491,9.253301025178931,2.741959866102732,5.7674860029670345,0.6085587195663483,0.16022170451863393
2024-06-17,14.913935391161909,14.993712639806342,13.198138004539409,7.777361281344673,8.148951989312721,9.256128278497293,2.742782624982937,5.761816422317527,0.6087413251167939,0.16026978101742737
2024-06-18,14.951801018351787,15.019042749773693,13.204944872454169,7.763014543745138,8.153154766993625,9.253396649063655,2.757433122616502,5.740293984502689,0.609055280145367,0.16035243928556625
2024-06-19,14.973085752775518,15.055729913275867,13.214750853901315,7.72784370971225,8.156765920483199,9.25698776796776,2.7920886689879074,5.699762594382267,0.6161235040101238,0.16027125734255446
2024-06-20,15.1305085140731,15.211731483189702,13.318438511866946,7.578133915045686,8.213135997328584,9.32111455455955,2.990540932313304,5.589625675983834,0.7172394036501331,0.16137886582127994
2024-06-21,19.343967493406254,19.498374231565084,17.029093347083542,9.60409018183368,10.496810775722304,11.909861100896883,3.9026329446726864,7.092250528168425,0.9166688952254244,0.2062505014257205
2024-06-24,19.333366583418787,19.552333272548836,17.0301738783727,9.389259089702962,10.489996121954318,11.89997591326227,4.229011555605248,6.953693201043927,0.9160737829313844,0.20611660115956149
2024-06-25,19.337096867904908,19.501660630091965,17.031562960309156,9.390938471727527,10.490851748222765,11.891223887222797,4.280123132446937,6.954260385482924,0.9161485033396092,0.2061334132514121
2024-06-26,19.333953327080856,19.498556134495914,17.028851682884785,9.356626611166474,10.48918169541706,11.889852846129873,4.329025963482132,6.953153327414895,0.9160026604266442,0.20479575150137008
2024-06-27,19.33309561813684,19.49769112330503,17.02809623478022,9.351318565172368,10.488716365600474,11.891152083463922,4.336336453571451,6.952844865834527,0.9159620239535291,0.20478666618163302
2024-06-28,19.330518580769382,19.495223719026136,17.025941354120484,9.276815295705052,10.487389033893507,11.889125425933672,4.422675660849505,6.951964993491491,0.9158461102998089,0.20449982591096158
2024-07-02,19.330140302269225,19.49484221741469,17.025608173842247,9.266392659222209,10.487183806404254,11.888110008760117,4.435569869263047,6.951828950638844,0.9158281881270781,0.2044958240582899
2024-07-03,19.325373291330504,19.492731511691748,17.023503920520355,9.230103817061238,10.486048359467528,11.893997398807768,4.4769627099484905,6.951076276419305,0.915729031448796,0.2044736833042718
2024-07-04,19.323624252634527,19.490506864953545,17.021430648446593,9.13879226934303,10.48485161835069,11.895248589579552,4.575253131703249,6.950217755597694,0.9156245220524775,0.20445034733864081
2024-07-05,19.322943769513234,19.48982050504644,17.0208312372748,9.125753886552273,10.484482393382214,11.897046943616028,4.589112835688149,6.949973003070417,0.9155922782547017,0.20444314760174426
