date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,BNP PARIBAS,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD
2024-09-02,23.27163598159301,10.292168799292803,8.42271414839055,0.0,3.2637396728226657,2.130028085701823,1.3367017586765653,1.088027234970296,1.0190603639221043
2024-09-03,23.26581016031012,10.272339535960594,8.420564984126319,3.32457820767319,3.3111065597456566,2.1318437686800378,0.0,1.0918797942057574,1.0214094854071418
2024-09-04,23.256225744651168,10.226919647906831,8.419061546375895,3.3253299265484024,3.3352209495435825,2.129892400444847,1.3381112315675876,1.0937590913937871,1.0239465366109823
2024-09-05,23.251245607102888,10.259250465958113,8.422302347394222,3.325517856267205,3.3864671287045347,2.1269583946924646,0.0,1.072992857466056,1.0235706771733764
2024-09-09,23.287046218534858,10.104182325714726,8.423007083839734,3.3253299265484024,3.3565085944761326,2.1266201211986195,1.3075256698323998,1.0790066084677519,1.0208257757005397
2024-09-10,23.26881703581097,9.940215995180594,8.420779411935474,3.3288066263462577,3.353215595978407,2.128733390886559,1.3068679158165892,1.076939381560919,1.02148352971635
2024-09-11,23.460505348990026,9.864449357081813,8.436177010603728,3.3265514697206218,3.207511194921668,2.12922313573376,1.3025455322841204,1.0870875863762808,1.0339808560167494
2024-09-12,23.455995035738752,9.698215513543037,8.419819185037248,3.327397153455235,3.577798892224594,2.1022082386558285,1.3048946537691577,1.0982224222153585,1.0345446451731586
2024-09-13,23.405066081943144,9.694362860342714,8.422740035709316,3.3263635400018186,3.5981577415043895,2.12575024151271,1.3092170373016268,1.100947403138002,1.0311619102347045
2024-09-16,23.350660428349673,9.812972024366735,8.423395863445508,3.3267393994394245,3.653947544459271,2.116446827765797,1.3181436989447692,1.1151360969076283,1.0302222616406895
2024-09-17,23.255004201478947,9.829051666966956,8.42133573088556,3.326081645423614,3.7489394397740288,2.102595326894133,1.3175799097883603,1.1132567997195983,1.0260878078270235
2024-09-19,0.0,9.807169647316263,8.423633876434373,3.327491118314637,3.760027763007703,2.1656963946117562,0.0,1.1177671129708702,1.0252421240924101
2024-09-20,0.0,9.792109476458116,8.423351981856166,0.0,3.7533910249881743,2.1700547666853764,1.3199290312733976,1.1186597791351844,1.0232688620449786
2024-09-23,23.26195760107466,9.735074545151305,8.41927578625533,3.3277730128928416,3.8924204913100384,2.179177626954949,1.3218083284614277,1.118002025119374,1.0243964403577965
2024-09-24,23.209055385231615,9.74027207040181,8.429727215671981,3.3268333642988264,3.9163071572712047,2.2255023026398884,1.3203988555704051,1.1201632168856084,1.020919740559941
2024-09-25,23.31034950366643,9.73687961010041,8.419658458145243,3.33209539642531,3.795940286587221,2.2143881390698787,1.3167342260537467,1.1442182208923921,1.0285308941714626
2024-09-26,23.00987614647864,9.838443407681705,8.42186324960624,3.3420556715218694,3.9294132349132362,2.2432864208072236,1.3124118425212776,1.1578431255056096,1.0426256230816875
2024-09-27,22.83089996326857,10.102192995676337,8.426160779433397,3.3507944034462085,3.6198187558057717,2.2081323815727942,1.3295275416612609,1.1631051576320934,1.0584117194611393
2024-09-30,22.731345468293043,10.193311432106134,8.425815503941807,3.3670229037468404,3.6698157940624485,2.218397566368855,1.3603350498804567,1.153820169171901,1.0556248078702364
2024-10-02,22.26450302559751,10.572812482853946,8.441680114184269,3.317980489762725,3.9470634116533794,2.216189436376769,1.2831073405031714,1.0954766077080393,1.0414382091890075
2024-10-03,22.18257776698803,10.667638479993325,8.497690543870975,3.303699940096852,4.0748570911572575,2.1600776805531234,1.2896369339359224,1.1291533381536452,1.02969433610852
2024-10-04,0.0,10.777336964977327,8.505811901861057,3.3027604302504137,4.151258360698123,2.0510139753968675,1.2914220026441565,1.137749853248562,1.0272516105077787
2024-10-07,0.0,10.778764550188992,8.50937264417906,3.302102773357906,4.157061243264653,2.04943559885485,1.2904824927977174,1.1441150324581861,1.0285669242927933
2024-10-08,0.0,10.767755420783912,8.511011525155187,3.3023846263118375,4.1421391493001405,2.0440243979433004,1.2924554634752394,1.1220271559684054,1.0137226687190573
2024-10-09,0.0,10.592045470773352,8.292802565388007,3.3134708424998176,4.124106854964483,2.046088829904373,1.2895429829512786,1.1363077056342783,1.0299761890624517
2024-10-10,22.278031967386234,10.608023479854278,8.48765559222567,3.3068003225901013,3.94867138275556,2.057386435807802,1.2943344831681174,1.1355560977571268,1.0245270319531057
