date,GET NICE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,GLOBAL MASTERMIND SECURITIES LTD
2024-09-26,31.461386006374404,23.616249951305573,14.300771996150589,9.73879953030043,1.3819621243316031,5.7031951718695595,0.8848719673735841,4.677518814128089,5.02050836777265,3.2147360703935166
2024-09-27,31.286359469590185,23.484867613605324,14.221213689491124,9.772150737045777,1.36988877222026,5.6714670560346585,1.3531259216859934,4.6514967590726,4.992578187190988,3.196851794063088
2024-09-30,31.283972975747286,23.48307621016589,14.22012890879168,9.771405326650921,1.3697842784032808,5.678662347110291,1.353022706523363,4.651141947309136,4.992197358059509,3.1966079412386454
2024-10-02,31.286124590396163,23.48469130332601,14.221106925161042,9.758621938973034,1.3698784879182133,5.696593560529982,1.3531157632293598,4.651461838428961,4.981577798017158,3.196827794020081
2024-10-03,31.287856358521033,23.48599124188836,14.221894100306443,9.7588858234317,1.369954314244784,5.691649903014118,1.3531906616956513,4.651719308903536,4.981853541266125,3.1970047467282505
2024-10-04,31.294852885946707,23.491243131949474,14.225074371622492,9.761066331270685,1.3483287279491303,5.692922658302542,1.353065148139415,4.652759517006907,4.982967573321654,3.1977196544909994
2024-10-07,31.290846174575588,23.48823552455405,14.223253121097768,9.78157556691305,1.3656993998735374,5.665878838006906,1.3528919138527842,4.652163819544074,4.982145394342591,3.1973102472396544
2024-10-08,31.289660224511167,23.487345300164524,14.222714047534172,9.710572048746176,1.4007329084805387,5.630445502493383,1.4361681538391542,4.651987498521923,4.973185249285973,3.1971890664229856
2024-10-09,31.38085202637396,23.48994920589767,14.224290837340595,9.711800364157051,1.3307098806274689,5.604480029491737,1.4363273734717585,4.652503237391647,4.971543525018891,3.1975435202292206
2024-10-10,31.380867992734053,23.489961157421078,14.22429807456122,9.711804428224355,1.3175521161787223,5.617591320439342,1.4363281042651745,4.65250560455306,4.971546054505791,3.19754514711721
