date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CITIBANK N.A.,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-08-06,0.0,39.35384012566928,6.935100573624184,16.04169677805072,10.451567425444887,6.016818411184978,6.075208788839134,15.125767897186815,0.0
2024-08-07,0.0,36.339125474296274,9.85336034163803,16.117820552733374,10.45720840099999,6.020065840416919,6.078487732836237,15.133931657079177,0.0
2024-08-08,0.0,34.945923013117195,11.210236698021237,16.12870188868353,10.464268189098497,6.0241300598091945,6.082591393555967,15.14414875771438,0.0
2024-08-12,0.0,34.2978153810726,11.858344330065824,16.12870188868353,10.464268189098497,6.0241300598091945,6.082591393555967,15.14414875771438,0.0
2024-08-20,0.0,34.29790221205771,11.85837435156161,16.12848955365997,10.464294681243995,6.024145310959791,6.0826067927117675,15.144187097805158,0.0
2024-08-22,0.0,34.29327183966699,11.856773417228753,16.13981258805249,10.462881953990859,6.023332024014337,6.081785613201068,15.142142563845502,0.0
2024-08-28,0.0,34.293242903770974,11.856763412748448,16.139798969639497,10.462873125645004,6.02332694166145,6.081864859290459,15.14212978724417,0.0
2024-08-30,0.0,34.29440037770112,11.857163605129923,16.1369684996037,10.463226271100257,6.023530242467014,6.08207013588215,15.142640868115837,0.0
2024-09-03,0.0,34.30442772130043,11.855963109021639,16.131959805551404,10.462166906243969,6.022920381217306,6.081454347674144,15.14110772899111,0.0
2024-09-09,0.0,34.31658823978629,11.860165909305213,16.13767839666222,10.43886698920151,6.025055436062987,6.075169954354397,15.146475074627386,0.0
2024-09-13,0.0,34.24260057359213,12.05019822188663,16.10288504383769,10.41636045676753,6.012065223070662,6.062071692851396,15.11381878799396,0.0
2024-09-16,0.0,34.26493370639789,12.048574652271297,16.08724205498899,10.414957020406689,6.011255194368906,6.061254926585377,15.111782444980843,0.0
2024-09-19,0.0,34.27840709152763,12.048574652271297,16.08724205498899,10.414957020406689,6.011255194368906,6.0477815414556355,15.111782444980843,0.0
2024-09-27,0.0,34.27898440897613,12.048777574547053,16.085828795055885,10.415132429269685,6.011356436019425,6.0478833982834415,15.112036957848376,0.0
2024-09-30,0.0,7.017538391448035,2.466606308711454,3.273756849383695,2.1321691098665343,1.2306351924299777,1.2574210060882354,3.093711828198533,0.0
2024-10-02,0.0,34.2793019418619,12.048889184712266,15.99166164320844,10.415228906662843,6.011412120380832,6.141329259593907,15.112176943579806,0.0
2024-10-03,0.0,34.2793019418619,12.048889184712266,15.984790037411178,10.415228906662843,6.018283726178096,6.141329259593907,15.112176943579806,0.0
2024-10-04,0.0,34.30715223574032,12.058678331097797,15.997439797967075,10.423690782180422,6.036657977586028,6.051926010619728,15.124454864808632,0.0
2024-10-07,0.0,34.297902308508114,12.05542705870093,15.993126552932457,10.393918240949734,6.088954559566751,6.050294284534501,15.120376994807504,0.0
2024-10-08,0.0,34.2888486878622,12.047509422452436,16.21165005275711,10.387091832940484,6.246621847371898,5.707831763553297,15.110446393062574,0.0
2024-10-09,0.0,34.295729044625254,12.040465388727958,16.2610608521822,10.192518188777399,6.107905593864904,6.000709434857514,15.101611496964773,0.0
2024-10-10,0.0,34.35785187441569,12.071753938439251,16.313441589213838,10.192006021770194,6.110278391452455,5.813813393835421,15.140854790873146,0.0
2024-10-14,0.0,34.26320677639999,12.038500045300031,16.19446152263837,10.500483222766704,6.093446492316967,5.810755452393841,15.099146488184095,0.0
2024-10-15,0.0,34.26551320850685,12.039310418456408,16.195551654868346,10.494458551451173,6.093856673439914,5.811146604133607,15.100162889143698,0.0
2024-10-16,0.0,34.26903111537065,12.040546447594473,16.197046084021807,10.495535976661333,6.094482305984451,5.801644906276615,15.101713164090668,0.0
2024-10-17,0.0,34.26029572105066,12.032749531372005,16.184034664006745,10.515650916917716,6.117447170611808,5.797888022028578,15.09193397401249,0.0
2024-10-18,0.0,34.24684003244974,12.032749531372005,16.184034664006745,10.515650916917716,6.130902859212727,5.797888022028578,15.09193397401249,0.0
