date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-05-29,3.354043434472389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,3.3256734329120388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,3.2944664311956537,0.0,8.232265202774586,0.0,0.0,0.610232527625289,0.0,0.0,0.0
2024-06-03,0.0,0.0,8.272692454998085,0.0,1.4454515794998368,0.6173250280153766,0.0,0.0,0.0
2024-06-04,3.230633927684866,0.0,8.237939203086656,0.0,0.0,0.630091528717534,0.0,0.0,0.0
2024-06-05,3.1909159255003763,0.0,0.0,0.2950480162276409,1.4326850787976793,0.6315100287955516,0.0,3.601217073066939,0.0
2024-06-06,3.2157396768656823,0.0,8.238648453125665,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,3.1909159255003763,0.0,0.0,0.3113607671248422,0.0,0.6329285288735691,0.0,0.0,0.0
2024-06-11,3.2185766770217175,0.0,0.0,0.33547526845113973,0.0,0.6414395293416741,0.0,0.0,0.0
2024-06-12,3.1909159255003763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-13,3.27957218037647,0.0,8.240066953203682,0.3617175198944636,0.0,0.6464042796147353,0.0,0.0,0.0
2024-06-14,0.0,0.0,8.242194703320708,0.2595855142772033,0.0,0.6485320297317616,0.0,0.0,0.0
2024-06-17,3.219995177099735,0.0,8.244322453437734,0.2312155127168532,0.0,0.6499505298097791,0.0,0.0,0.0
2024-06-18,3.1511979233158858,0.0,8.2414854532817,0.24540051349702824,0.0,0.6570430301998667,0.0,3.5622083209214574,0.0
2024-06-19,0.0,0.0,8.242194703320708,0.0,0.0,0.6598800303559017,0.0,3.5735563215455977,0.0
2024-06-20,0.0,0.0,8.250705703788814,0.26171326439422954,0.0,0.9234373448515539,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.3085237669688072,0.0,0.9241465948905627,0.0,3.591996822559825,0.0
2024-06-24,3.150488673276877,3.8278224605302356,8.24715945359377,0.0,0.0,0.9248558449295714,0.0,0.0,0.0
2024-06-25,3.203682426202534,0.0,0.0,0.0,0.0,0.0,0.0,3.5948338227158603,0.0
2024-06-26,0.0,0.0,8.147155198093536,0.0,0.0,0.9269835950465978,0.0,0.0,0.0
2024-06-27,3.2746074301034085,3.8285317105692442,8.106727945870038,0.0,0.0,0.0,0.0,3.602635573144956,0.0
2024-06-28,3.203682426202534,3.8271132104912264,8.108146445948055,0.23830801310694072,0.0,0.9284020951246151,0.0,0.0,0.0
2024-07-02,3.2029731761635247,3.829240960608253,0.0,0.0,0.0,0.9298205952026328,0.0,0.0,0.0
2024-07-03,3.171056924408131,3.8271132104912264,8.125877696923272,0.27518901513539584,0.0,0.9362038455537115,0.0,3.6317148247443156,0.0
2024-07-04,0.0,0.0,8.130842447196335,0.0,1.4348128289147055,0.9376223456317291,0.0,3.6444813254464727,0.0
