date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-05-30,2.484695034374819,3.4569058740691903,2.562656302236931,0.5255193576643427,1.2246437849841525,1.034513028065765,1.0287231916566588,2.243094686237559,0.5823454814062206,15.143096740695638
2024-06-03,2.498329165273682,3.4569058740691903,2.562656302236931,0.5255193576643427,1.2324880794739095,1.034513028065765,1.0287231916566588,2.224417794595281,0.5821587124897978,15.145711505525558
2024-06-04,2.5020645436021374,3.4569058740691903,2.562656302236931,0.5255193576643427,1.2321145416410637,1.034513028065765,1.0287231916566588,2.2057409029530035,0.581971943573375,15.130209685462468
2024-06-05,2.5029983881842512,3.4569058740691903,2.562656302236931,0.5255193576643427,1.2323013105574865,1.034513028065765,1.0287231916566588,2.1870640113107256,0.58029102332557,15.110972487070923
2024-06-06,2.4934731734466897,3.4569058740691903,2.562656302236931,0.5191692145059682,1.2323013105574865,1.034513028065765,1.0287231916566588,2.162970821092187,0.5806645611584155,15.071377476789294
2024-06-07,2.49216579103173,3.4569058740691903,2.559667999574167,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.143546853784218,0.5901897758959771,15.054755043227667
2024-06-11,2.501691005769292,3.4569058740691903,2.55182370508441,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.1261773445569,0.5903765448124,15.039253223164575
2024-06-12,2.5091617624262033,3.4569058740691903,2.55182370508441,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.1075004529146226,0.5911236204780911,15.0287941638449
2024-06-13,2.5091617624262033,3.4569058740691903,2.55182370508441,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.1075004529146226,0.5914971583109366,15.029167701677745
2024-06-14,2.5091617624262033,3.4569058740691903,2.5333335823585554,0.5184221388402771,1.2306203903096815,1.034513028065765,1.0287231916566588,2.1075004529146226,0.5793571787434562,14.99853759938441
