date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-09-11,42.95485750898765,30.87000359737675,4.34349926749789,5.054763369355105,4.4508173300751235,2.7932197651647677,5.078400401137706,2.240928563622599,1.7155143876183665,0.49799580916404745
2024-09-12,42.952504033985214,30.823112905359697,4.374873331507674,5.068938979958766,4.450608146948209,2.789039325937736,5.076558342195169,2.241819312831134,1.7155035204997295,0.507042100776671
2024-09-13,43.02245476971214,30.725543313024424,4.316204089743921,5.102182843521494,4.453005832538547,2.8196967860945366,5.07929324726515,2.241578361484248,1.714616853068918,0.5254239035466169
2024-09-16,43.03432742169974,30.716048549144006,4.280404639471112,5.102141266737092,4.457134499710089,2.828546971599797,5.079251857004015,2.2394776182954343,1.7146028809598381,0.5480642953788802
2024-09-17,43.04822969723838,30.73473712258659,4.266216356901813,5.103906566440811,4.467734012642658,2.8011760254829903,5.081009237156684,2.2204167964793067,1.7151961197197074,0.5613780653510535
2024-09-19,43.07388585875858,30.72139731156551,4.255538176852671,5.101420710122599,4.4746109729657215,2.798363238419152,5.078534532976533,2.219335343076753,1.7158092089469181,0.5611046463155575
2024-09-20,43.07752440096486,30.72143680463592,4.26477768766622,5.1014272681175115,4.471538711775381,2.7953793521794625,5.078541061550731,2.219338196083928,1.7085690301730356,0.5614674868529492
2024-09-23,43.3339619839947,30.71345681759424,4.013420004884552,5.1071616474771035,4.46856709012394,2.7903994481925585,5.066904177860342,2.2183996910462778,1.7081252241490108,0.5796039146772797
2024-09-24,43.36445465183068,30.67399271319356,4.0604455868495375,5.105984281358858,4.46401833148707,2.745695750369858,5.067083032987411,2.218477997669949,1.7022118927085284,0.5976357615445569
2024-09-25,43.393518186400954,30.619572267863816,4.0899324548769105,5.104154487787145,4.4661507700312075,2.7446776551724064,5.064369462020763,2.2172899379035247,1.7030190678051387,0.5973157101381362
2024-09-26,43.54574053158415,30.43463666021929,4.148979919904254,5.097227337702243,4.452353596181476,2.737672098201966,5.057944516722951,2.211947263556159,1.6988709040522,0.6146271718753132
2024-09-27,43.55084982680664,30.437736361752858,4.127449185693504,5.097702403396707,4.453908936930794,2.7290368974697983,5.058684910534043,2.211367458836447,1.7004749809113349,0.6327890376678748
2024-09-30,34.61361548227351,24.133136045921805,3.3318025110262197,4.042216520844498,3.5275304421091245,2.149217202908228,3.9842695470007823,1.7533766453354578,1.3480072562410264,0.5160627441315294
2024-10-02,43.71888808204144,30.400023047621012,4.521314828509213,5.094787046510232,4.456771164134938,2.7934021377701046,4.456229614720527,2.2003152707538076,1.6900854641424667,0.6681833437962635
2024-10-03,43.89331236007903,30.50170161462396,4.593538827414936,5.135764860627166,4.457243113010131,2.8161996927048136,4.037447613102752,2.20254814386281,1.6931902455898298,0.6690535289845706
2024-10-04,43.905318943770176,30.434085164507565,4.664802525487552,5.1782422586927614,4.446179239402288,2.8027377157164857,4.030694846507799,2.1865937593480886,1.683411032057629,0.6679345145096582
2024-10-07,43.91540739778959,30.43466573222833,4.696797668902217,5.1794141095387385,4.433043747119114,2.7706297842263283,4.0309748902666245,2.177812820689333,1.6736025935592374,0.6876512556804848
2024-10-08,43.96526360500045,30.452517554902876,4.65049387261162,5.184527212914614,4.418272202474218,2.727753358414568,4.034954257601154,2.178066032189905,1.674351569758924,0.7138003341316772
2024-10-09,44.24076293495947,29.83139421161071,4.795722413402773,5.231113129894055,4.4559513450160075,2.7482219629633224,4.0660396745627905,2.2083162605523796,1.6849754330299715,0.7375026340085159
2024-10-10,44.31110625067925,29.90532050759015,4.793041380675439,5.245839237717856,4.466978746120051,2.786366688568616,3.8073018040095863,2.212786114957015,1.6957518850628874,0.7755073846191397
2024-10-14,44.36865305742607,29.924075248112146,4.800797699358097,5.249961631785656,4.4778770332793805,2.7335707482275855,3.790538055129296,2.217040022712169,1.6981369603546042,0.7393495436149935
2024-10-15,44.41655119474758,29.858873257130945,4.81580581806195,5.214049061970762,4.500722374525744,2.7405072240324775,3.7904809495290577,2.220588948025516,1.7024058638759467,0.7400153081000133
2024-10-16,44.495642303427665,29.726220345781634,4.835618459689642,5.222624817967031,4.508582273930158,2.7422703635416696,3.7937880708240597,2.2242412398931117,1.7052058792040918,0.7458062457409359
2024-10-17,44.377198242570344,29.751773354446836,4.853677553785473,5.235635722409392,4.518638515808263,2.7565446676639094,3.8036391070676507,2.231851027668393,1.7093585146366763,0.7616832939430658
2024-10-18,44.454648447812346,29.66351780493438,4.850845854703572,5.242487229283054,4.524551739052221,2.768600658201838,3.804116812569754,2.2355063626976035,1.7115954314570074,0.7441296592882228
2024-10-21,44.396090995705734,29.685593121898346,4.876499078969196,5.247363341334544,4.528760089077215,2.7742091020406225,3.7958894363297953,2.237585639010466,1.7131874107495817,0.7448217848844969
2024-10-22,44.49074561647488,29.559291974096407,4.892788479182574,5.251330708284134,4.530528348631974,2.789184992363,3.797931492354842,2.2368857049335795,1.7056517967215707,0.7456608869570377
2024-10-23,44.52432662205729,29.523061973771565,4.877367576203791,5.25779517744508,4.538509734233015,2.777435768640418,3.8006095247201688,2.238923265440549,1.7160598435302488,0.7459105139578796
2024-10-24,44.63563986453632,29.597852237257733,4.644768545212765,5.271190608448552,4.550072621708035,2.7588558698931105,3.8102924433089194,2.2446274325128863,1.7204318969206984,0.7662684802009819
2024-10-25,44.63825900634241,29.574491244072586,4.654458670709495,5.270563461251869,4.551376809848096,2.7610191092890712,3.8098391084929606,2.244360374858086,1.720227206155104,0.775405008980316
2024-10-28,44.63511723887692,29.57213404084822,4.662591044312908,5.270159820332864,4.550566897634557,2.7601617700604266,3.8095473357118688,2.244188492726138,1.7200954642463888,0.7754378952497054
2024-10-29,44.67245283026735,29.516616190202527,4.661415308222917,5.269143697113071,4.55116555064693,2.7632274240590164,3.8088128286690686,2.2437557976818145,1.7197638179584074,0.7936465551788918
2024-10-30,44.73095913457924,29.456942017897653,4.654823183016002,5.263418351112175,4.543536162960782,2.78168727597524,3.8032759069837967,2.240862492147355,1.7135790544653906,0.8109164208623706
2024-10-31,34.80461302913673,22.879799450336876,3.6348617674621213,4.093871385133877,3.532617261943996,2.169707772947289,2.95694687640604,1.7430597149661404,1.3291645292470646,0.6486066412373439
2024-11-01,44.78855363534181,29.419084558627688,4.693894337790646,5.264535957825111,4.534496250012508,2.689077799319647,3.8025017622064783,2.2414970288021276,1.7092462854345463,0.8571123846394307
2024-11-04,44.796247298429165,29.36953546980865,4.696947971887047,5.266306934906694,4.546159652347475,2.7097054339138427,3.8037809145434545,2.2440943372799618,1.709821271724418,0.8574007151592902
2024-11-05,44.74940868914988,29.33572821096827,4.7354316075780885,5.267021461643663,4.553422672622674,2.7346167305158953,3.8052293223820643,2.2509417686721194,1.710472339330104,0.8577271971372394
2024-11-06,44.726689716348005,29.2837682127066,4.778866388022367,5.267133155028792,4.571867185751693,2.748320434656687,3.8053100167455307,2.249790892581113,1.7105086119079058,0.8577453862513077
2024-11-07,44.71948861859503,29.275315153490745,4.783816811841223,5.265579585519915,4.574113457980397,2.7567271597234804,3.8041876199046234,2.253275115240076,1.7100040881098706,0.8574923895946372
2024-11-08,44.718745581686484,29.27500118300972,4.769467884270841,5.265311472340524,4.565581997290902,2.786170953792403,3.8039911212716286,2.2476285976771164,1.7106531113297498,0.8574480973306393
2024-11-11,44.72296625825737,29.277610302933343,4.789090808216077,5.266112334996412,4.563510945059478,2.7870556491855014,3.804569714665079,2.220592165549697,1.7109133045208342,0.8575785166162071
2024-11-12,44.721038410288436,29.190653925120717,4.876558253719212,5.265852631281802,4.564042251790985,2.782136474129128,3.8043978715876143,2.2207684028466947,1.6985762642892268,0.875975514946181
2024-11-13,44.662900099541964,29.247817986452425,4.876768772114714,5.266962794149375,4.5649592455961185,2.771042376118746,3.805239093234832,2.221259455180596,1.6989518504322116,0.8840983271790193
2024-11-14,44.652153019911104,29.245931318837997,4.8687101818196545,5.26642382336982,4.569654729489116,2.768730642566709,3.804849701328979,2.2210321526559835,1.6987779958904121,0.9037364341302239
2024-11-15,44.645404836977264,29.241971816258218,4.869740765504503,5.265390125558371,4.569237705596592,2.7705059562965135,3.8045024730750194,2.2208294626217135,1.6995447784474735,0.9128720796643348
2024-11-18,43.44629093898916,30.403165864491026,4.7711320398657335,5.171495907838836,4.487757513301041,2.714582664648667,3.7366592981149243,2.178872908229157,1.668332547159423,1.4217103173620376
2024-11-19,43.768806667272415,30.36328031997415,4.784532063680434,5.169637767092803,4.487955139961449,2.707905497048612,3.7135955332519592,2.1778185152232865,1.6677331080920712,1.1587353884028182
2024-11-20,43.7670477104355,30.35735710283955,4.788488780011871,5.169707949649163,4.488016068053268,2.711381490819146,3.7136459487045594,2.1778480810995764,1.6677557490928765,1.1587511192944908
2024-11-21,43.76515770984174,30.34548517058954,4.7847425182689935,5.169474015204906,4.489623020768295,2.718860965770059,3.713477902519042,2.1822746311035695,1.6722053812839817,1.158698684649872
