date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-12-11,38.010501750291716,14.862893815635939,12.820886814469079,12.966744457409568,10.13710618436406,11.201866977829638
2024-12-12,38.01604668125456,14.86506199854121,12.822757111597374,12.954048140043763,10.13858497447119,11.203501094091903
2024-12-13,38.030634573304155,14.86506199854121,12.822757111597374,12.939460247994164,10.13858497447119,11.203501094091903
2024-12-16,38.047285464098074,14.871570344424986,12.828371278458844,12.90134267367192,10.14302393461763,11.208406304728546
2024-12-17,38.18500657606313,14.891129621511034,12.845243314335816,12.830629840713137,10.156364167762677,11.091626479614204
2025-01-03,38.181552404619204,14.88086537055986,12.848998684402865,12.834380938459288,10.159333430784972,11.094869171173805
2025-01-07,38.23744693309911,14.902649685258382,12.867808519982432,13.219148001756697,10.17420582637974,10.598741033523643
2025-01-09,38.332844144408575,14.939829762254183,12.899911945993543,13.25212797182272,10.1995890813032,10.375697094217786
2025-01-15,38.02359882005899,15.014749262536872,12.964601769911505,13.31858407079646,10.250737463126844,10.427728613569322
2025-02-03,38.16951147733961,14.979399646851089,12.934078869923486,13.287227781047676,10.226603884638022,10.403178340200117
2025-02-05,38.19761448976587,14.990428508319836,12.943601825946105,13.223383890443232,10.23413341186865,10.41083787365631
2025-02-25,38.13734158561745,15.001473622163278,12.953138815207781,13.247863247863249,10.241674034777484,10.418508694370763
2025-03-05,37.98048492016558,15.050266114725014,12.980484920165583,13.261383796570078,10.274985215848611,10.452395032525134
2025-03-07,38.135968146291106,15.012535024332694,12.947942781300693,13.228137442855036,10.249225777908864,10.426190827311606
2025-03-18,38.152847447624666,15.01917969902626,12.953673650044262,13.233992328120388,10.253762171732074,10.386544703452346
2025-03-21,38.48314606741573,15.050266114725014,12.980484920165583,12.803075103489059,10.274985215848611,10.408042578356003
2025-03-27,38.4513078173489,15.043593911629968,12.97473030885178,12.85650953155017,10.270430028077435,10.403428402541746
2025-04-01,39.071364586443714,15.198566736339206,13.108390564347566,11.734846222753061,10.376231710958495,10.510600179157956
2025-04-02,39.03057419835944,15.18269947800149,13.094705443698732,11.826994780014914,10.365398956002982,10.499627143922446
2025-04-09,39.06810035842294,15.20310633213859,13.112305854241338,11.723416965352449,10.379330943847073,10.51373954599761
2025-04-11,39.26371149511645,15.296769346356124,13.193087903831705,11.224643125469571,10.443275732531932,10.578512396694215
2025-04-14,39.245453179016984,15.301367803998197,13.19705396061927,11.228017435743274,10.446415151059671,10.581692469562604
2025-04-15,39.62829736211031,15.257793764988008,13.159472422062349,11.016187050359711,10.416666666666668,10.521582733812949
2025-04-16,40.13483146067416,15.250936329588017,13.153558052434459,11.026217228464418,10.411985018726591,10.02247191011236
2025-04-17,40.72080155525647,15.223568117242412,13.12995364139375,10.901749663526244,10.393300433677284,9.630626588903842
2025-04-22,40.878529807261316,15.209920812789482,13.11818317645301,10.787389810249515,10.383983266098909,9.621993127147768
2025-04-23,40.87242306543173,15.207648640573648,13.11622348371676,10.80071706005378,10.382432028682402,9.62055572154168
2025-04-24,40.70928326627924,15.124422589777978,13.082998062881837,11.130978989718372,10.356131724035166,9.596185367307406
2025-04-29,40.76224504987346,15.11091260979604,13.071311597439333,11.121036176864672,10.346881048086944,9.587613517939557
2025-04-30,1.1008,0.406,0.3512,0.2988,0.27799999999999997,0.258
2025-05-02,40.88816278033566,15.075003713055102,13.040249517302838,11.094608643992277,10.322293182830833,9.57968216248329
