date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,GEO SECURITIES LTD,GRANSING SECURITIES CO LTD,TIGER BROKERS (HK) GLOBAL LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,BOCI SECURITIES LTD
2024-10-16,21.76202769609416,12.32644366754186,12.729193026903898,11.270781508275633,0.008120159588094835,19.017413755318106,7.738512087454379,6.081999531483032,4.031009622722038,5.034498944618798
2024-10-17,21.732014943924618,12.324328038583126,12.735397834674025,11.276275417632661,0.008124117736046587,19.026683737821102,7.742284202452397,6.084964184298893,4.032974526528246,5.036952996348884
2024-10-18,21.742613316953193,12.370978824572216,12.741608694424833,11.281774685581695,0.0081280797446554,19.035962761982947,7.754188076401252,5.982266692066374,4.034941346841833,5.047537521431003
2024-10-21,21.746148405520778,12.372990197592333,12.735550926150577,11.283608967051528,0.008129401273091879,19.03905778158118,7.763578215802745,5.96698053444944,4.03559737998827,5.048358190590057
2024-10-22,21.816800966478596,12.366958039726388,12.696840258496508,11.278107911162865,0.008125437976342121,19.029775740593248,7.759793267406725,5.964071474635117,4.033629920215756,5.045896983308458
2024-10-23,22.010994467370036,12.345691456263557,12.577974049427384,11.273527793619783,0.00812213817984134,19.022047617188424,7.6916648563097505,5.977893700363228,4.0482361115965215,5.043847809681473
2024-10-24,21.98917791389999,12.198119898362837,13.010770560438218,11.325038569385228,0.00815924968975881,19.10896277341513,7.327006221403411,6.005207771662484,4.066733230369586,4.9608238113733565
2024-10-25,22.079882699134583,12.185983509386345,13.022838796081468,11.32134362260761,0.00815658762435707,19.10272821624425,7.25936298567779,6.011405079151159,4.049093228483336,4.959205275609097
2024-10-28,22.134302977225172,12.171870066277114,12.983858206954006,11.315805720953422,0.00815259778166673,19.093384004663484,7.190591243430056,6.089990542905047,4.055265188556665,4.956779451253372
2024-10-29,22.089841064001405,12.195134803866887,12.983114837097743,11.322267133247397,0.008157252977843947,19.104286474110523,7.1702253675248295,6.093467974449427,4.057580776239136,4.975924316484807
2024-10-30,22.42734498086147,12.137001483824706,12.947206200743578,11.290952061456554,0.008134691686928352,19.051447930786203,7.052777692566882,6.07661469013548,4.046358338911901,4.962161929026296
2024-10-31,22.475967358522464,12.128122215677774,12.921476716738974,11.282691751764622,0.00812874045516183,19.03751014598901,7.031360493714985,6.0721691200058885,4.0840417794824075,4.958531677648717
2024-11-01,22.394806214113757,12.137001483824706,12.93907150905665,11.290952061456554,0.008134691686928352,19.051447930786203,7.052777692566882,6.07661469013548,4.087031797346543,4.962161929026296
2024-11-04,22.51828437013706,12.159752125767202,12.930725859985545,11.312116795421728,0.00814994005433842,19.08715960726058,6.992648566622366,5.94130629961271,4.09469288210071,4.95516355303776
2024-11-05,22.693538323975446,12.1732886729059,12.81328960963523,11.30198464071687,0.008142640231064027,19.070063421151954,6.986385318252935,5.9115568077524845,4.091025304891189,4.950725260486929
2024-11-06,22.36009422566573,12.209077758893653,12.908126333617718,11.335212120242526,0.008166579337350523,19.126128808074924,6.949759016085295,6.10043476500084,4.070386473322247,4.932613919759716
2024-11-07,22.535571311644148,12.253656610313262,12.722118668945523,11.308522408012319,0.008147350438049221,19.081094725911278,6.990426675846233,6.17569163204131,4.011918302704197,4.912852314143681
2024-11-08,22.583403019786196,12.297531098172577,12.643641905932041,11.303917559128468,0.008144032823579587,18.894156150704646,6.971292096984127,6.2709052741562825,4.116157069693595,4.910851792618491
2024-11-11,22.58319007393302,12.292260582126142,12.592437223185593,11.29159503696651,0.008135154925768379,18.873559427782638,7.1019902501957946,6.158312278806663,4.168616087062233,4.929903885015638
2024-11-12,22.482283582034032,12.413322636585143,12.598900782385911,11.29812078633716,0.008139856474306312,18.88446702039064,7.057255563223571,6.129311925152652,4.187304967512652,4.940892879903931
2024-11-13,22.447065776473192,12.416354656930388,12.626403665217476,11.300880412674934,0.008141844677719693,18.889079652309686,7.067121180260694,6.10638350828977,4.196469583790284,4.942099719375854
2024-11-14,22.43161854163404,12.412312292179417,12.638571303192958,11.297201210373021,0.00813919395560016,18.882929976992372,7.07295954741654,6.12881304856692,4.186964154639834,4.940490731049297
