date,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-09-27,106692696.0,95185332.0,40021200.0,18838200.0,22091329.0,45864452.0,9657200.0,0.0,21894800.0
2024-09-30,106951342.0,94972932.0,40020000.0,18505400.0,22086129.0,46267637.0,9642000.0,0.0,21902800.0
2024-10-02,107184321.0,94934932.0,40017200.0,18583000.0,22040274.0,46407892.0,9613600.0,0.0,0.0
2024-10-03,106706671.0,94839957.0,40023600.0,19199000.0,22048118.0,47504448.0,9538000.0,20176800.0,21560800.0
2024-10-04,107576122.0,94876519.0,40016800.0,0.0,22039895.0,46717561.0,9386400.0,20175600.0,21509600.0
2024-10-07,107323612.0,94829719.0,40008400.0,0.0,22047895.0,46926071.0,9338000.0,0.0,0.0
2024-10-08,107592559.0,94798919.0,40005600.0,0.0,22046695.0,46874871.0,9276000.0,0.0,21458800.0
2024-10-09,107701267.0,94788119.0,40009600.0,0.0,22040295.0,46981466.0,10153600.0,0.0,20291600.0
2024-10-10,107236395.0,94968519.0,40022000.0,19239000.0,22037495.0,46946481.0,10208400.0,0.0,20281600.0
2024-10-14,107572807.0,95106919.0,40024800.0,19448600.0,22108792.0,46104188.0,10240000.0,0.0,0.0
2024-10-15,107193156.0,95128119.0,40039600.0,19101000.0,22078192.0,46405993.0,10386800.0,0.0,0.0
2024-10-16,107479961.0,95092919.0,40041600.0,19013000.0,22093392.0,46222988.0,10375600.0,0.0,0.0
2024-10-17,107475741.0,95111719.0,40020400.0,18926200.0,22076871.0,46338229.0,10428400.0,0.0,0.0
2024-10-18,107499741.0,95134119.0,40021200.0,18868600.0,22073671.0,46352272.0,10484800.0,0.0,20283600.0
2024-10-21,107390936.0,95132519.0,40023200.0,18847000.0,22065053.0,46450495.0,10496800.0,0.0,0.0
2024-10-22,107642913.0,95152119.0,40024000.0,18786200.0,22045053.0,46327843.0,10562000.0,0.0,0.0
2024-10-23,107451206.0,95115319.0,40023600.0,18863800.0,0.0,46319095.0,10623200.0,0.0,0.0
