date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SINOMAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,PHILLIP SECURITIES (HONG KONG) LTD
2024-06-07,43.72377126254695,21.914272442499687,12.823465711346211,1.348200648213511,0.3118840019299642,3.266498290461798,1.7603083316362185,2.306504717880195,12.357309053240426,0.1877855402450461
2024-06-11,43.80597500756219,21.952339703237243,12.845224397581875,1.3504882571600725,0.3033897551829562,3.110565304023258,1.7578054097611502,2.3104183644393332,12.375689628797272,0.1881041722546573
2024-06-12,43.82877876641256,21.96208618723497,12.849745516763392,1.3509635869927696,0.29579550362807766,3.1116601261942143,1.7648626730553614,2.2702273341834855,12.3777099264666,0.18817037906856585
2024-06-13,43.82475522610417,21.973425444809802,12.849842851609433,1.3509738203341672,0.29491401217648955,3.1116836965411068,1.7578061851623936,2.270244530806388,12.3781824280258,0.18817180443024728
2024-06-14,43.82910796507256,21.982335614733824,12.851952135427553,1.3511955808063254,0.29395227662060797,3.1121944750886747,1.74862461459643,2.2739001604476883,12.368534484636315,0.18820269257002412
2024-06-17,35.07253642623993,17.59113877815168,10.284170392101489,1.0812307297473844,0.23602980886738528,2.49038729197726,1.3970822633601612,1.8272917549715546,9.89410486250708,0.15060035535823535
2024-06-18,43.8291590000083,21.984690913261385,12.850819412614994,1.3508239774379593,0.28395206330105344,3.111920177951407,1.7538995497316956,2.285922311849269,12.360626488752683,0.1881861050912495
2024-06-19,43.82802233676179,21.985262178437925,12.851411654710294,1.3508862314310388,0.28194494389994484,3.1120635937187147,1.759472813813583,2.2816715924056115,12.36106987699626,0.18819477782484
2024-06-20,43.83654350167392,21.988934611079166,12.853521453635825,1.3511080046024353,0.31210986385409095,3.1125744970033202,1.75237407476079,2.2822987385115363,12.322309581371112,0.1882256735077979
2024-06-21,35.19434132865133,17.62153681126715,10.300020492166173,1.08269474515082,0.24949844790815462,2.4942255099639996,1.4041940633435626,1.8288430527761825,9.866244342517703,0.1508324626270957
