date,ZHONGTAI INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-10-16,53.9362181303691,8.948317397108891,2.239818423078016,0.5596029222197725,0.661976650917556,0.44055127749049444,0.2947380025185953,0.0,0.180440713592975,67.26166351729539
2024-10-17,53.9362181303691,8.948317397108891,2.239818423078016,0.5596029222197725,0.661976650917556,0.44055127749049444,0.29406168799988097,0.0,0.180440713592975,67.26098720277668
2024-10-18,53.922691839994805,8.948317397108891,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44055127749049444,0.29338537348116667,0.0,0.180440713592975,67.24664933497994
2024-10-21,53.90916554962052,8.948182134205148,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44055127749049444,0.29338537348116667,0.0,0.180440713592975,67.23298778170191
2024-10-22,53.8753498236848,8.948182134205148,2.239818423078016,0.5596029222197725,0.6618413880138131,0.4402807516830086,0.29338537348116667,0.0,0.180440713592975,67.1989015299587
2024-10-23,53.86182353331051,8.948182134205148,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29338537348116667,0.0,0.180440713592975,67.18510471377694
2024-10-24,53.85506038812338,8.948182134205148,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29338537348116667,0.0,0.180440713592975,67.1783415685898
2024-10-25,53.84829724293624,8.948182134205148,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29338537348116667,0.0,0.180440713592975,67.17157842340265
2024-10-28,53.84153409774909,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29338537348116667,0.0,0.180440713592975,67.16468001531176
2024-10-29,53.83477095256195,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29338537348116667,0.0,0.180440713592975,67.15791687012462
2024-10-30,53.817863089594084,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.29703747188222385,0.0,0.1831459716678322,67.14736636363267
2024-10-31,53.817863089594084,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.2966316831709953,0.0,0.1817933426304036,67.14560794588402
2024-11-01,53.81001784117701,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.2966316831709953,0.0,0.1817933426304036,67.13776269746693
2024-11-07,53.809341526658294,8.948046871301404,2.239818423078016,0.5596029222197725,0.6618413880138131,0.44001022587552296,0.2966316831709953,0.0,0.1817933426304036,67.13708638294821
2024-11-08,53.803119433086124,8.948046871301404,2.239818423078016,0.5623081802946297,0.6618413880138131,0.44001022587552296,0.2966316831709953,0.0,0.1817933426304036,67.1335695474509
2024-11-13,53.803119433086124,8.948046871301404,2.239818423078016,0.5623081802946297,0.6618413880138131,0.44001022587552296,0.2966316831709953,0.004463675823514373,0.1817933426304036,67.13803322327442
2024-11-14,53.79919680887757,8.948046871301404,2.239818423078016,0.5623081802946297,0.6618413880138131,0.44001022587552296,0.29839010091965246,0.004463675823514373,0.1817933426304036,67.13586901681452
2024-11-15,53.79879102016635,8.948046871301404,2.239818423078016,0.5623081802946297,0.6618413880138131,0.44001022587552296,0.29866062672713817,0.004463675823514373,0.1817933426304036,67.13573375391078
2024-11-18,53.79879102016635,8.948046871301404,2.239818423078016,0.5623081802946297,0.6665755896448131,0.44001022587552296,0.29866062672713817,0.004463675823514373,0.1817933426304036,67.1404679555418
2024-11-29,53.79879102016635,8.948046871301404,2.239818423078016,0.5623081802946297,0.6665755896448131,0.44001022587552296,0.29852536382339534,0.004463675823514373,0.1817933426304036,67.14033269263805
2024-12-02,53.7977089169364,8.948046871301404,2.239818423078016,0.5623081802946297,0.6665755896448131,0.44001022587552296,0.29947220414959536,0.004463675823514373,0.1817933426304036,67.1401974297343
2024-12-09,53.7977089169364,8.948046871301404,2.239818423078016,0.5623081802946297,0.6665755896448131,0.44001022587552296,0.29839010091965246,0.004463675823514373,0.1817933426304036,67.13911532650437
2024-12-11,53.795950499187754,8.948046871301404,2.239818423078016,0.5623081802946297,0.6606240218801274,0.44001022587552296,0.30041904447579537,0.004463675823514373,0.1817933426304036,67.13343428454715
2024-12-12,53.795950499187754,8.948046871301404,2.239818423078016,0.5623081802946297,0.6606240218801274,0.44001022587552296,0.30014851866830966,0.004463675823514373,0.1817933426304036,67.13316375873968
2024-12-13,53.795950499187754,8.948046871301404,2.239818423078016,0.5623081802946297,0.6604887589763845,0.44001022587552296,0.3000132557645668,0.004463675823514373,0.1817933426304036,67.13289323293219
2024-12-17,53.790810508845524,8.945612139034033,2.239818423078016,0.5621729173908868,0.6604887589763845,0.44001022587552296,0.3000132557645668,0.004463675823514373,0.1817933426304036,67.12518324741885
