date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KGI ASIA LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD
2024-05-31,0.0,38.000262130921605,26.918777179600873,8.888842613155713,6.145937735406304,3.174520605739046,4.260659586928177,4.33313965093811,5.2865312621456795,2.9913292351644922
2024-06-03,0.0,37.96679658143335,26.889765501687137,8.891094424450984,6.140525215284011,3.2449369285312244,4.258233672338081,4.338077211575218,5.281875592325165,2.988694872374831
2024-06-04,0.0,37.93316372405995,26.86594522372446,8.863672591779755,6.135085635773519,3.381996103421568,4.238559962543777,4.318332772443463,5.277196646918758,2.9860473393347546
2024-06-05,0.0,37.898913018106235,26.841687358055243,8.824159771427057,6.129546129086433,3.4930654686987874,4.252208790314874,4.3046365467431915,5.272431747478036,2.983351170090148
2024-06-06,0.0,37.895100053820016,26.83766304796702,8.823271983272072,6.128929442785437,3.5295156767796736,4.243308660396656,4.287258821850818,5.27190129442929,2.983051018699016
2024-06-07,0.0,37.89048538660829,26.834394897638063,8.82696263114612,6.128183093793023,3.559000108555592,4.244645026820914,4.247027576729943,5.271259309845206,2.9980419688628444
2024-06-11,0.0,37.8816372123848,26.83581573475668,8.798043666226674,6.128507571018708,3.5978408523108665,4.2205135296202965,4.270020243334949,5.262801935473709,3.0048192548733135
2024-06-12,0.0,38.40255238723339,26.506243378114906,8.747826045989795,6.130351659589594,3.6301723854012766,4.125653311363181,4.196360637515949,5.264385530302887,2.996454664489017
2024-06-13,0.0,38.9872568448061,26.456988540991127,8.618173237522598,6.11896002373244,3.6358501501766693,4.099219493198094,3.9268767597982257,5.254603063276045,2.9020718864987023
2024-06-14,0.0,39.1292387009816,26.4013686486811,8.592669796405238,6.106096280867599,3.6363835728558778,4.091920670659599,3.9212591175159934,5.243556437313361,2.877506774719627
2024-06-17,31.422685818449956,26.833780960820825,18.10534952643529,5.892622162863977,4.187396830758516,2.4937341876036503,2.8061292943780227,2.689094184891619,3.595890172303276,1.9733168614948657
2024-06-18,31.303998864899036,26.948673586453666,18.03876567884769,5.967676128885968,4.171580570620124,2.5513515797157424,2.7935479720831644,2.706328437927039,3.582308098119032,1.9357690824485456
2024-06-19,31.3490235558689,27.0262339328307,18.06471092161597,5.8454224571408435,4.177580574864268,2.5317412365445944,2.7746469108185288,2.7542543839292613,3.5874605489535956,1.888925477433336
2024-06-20,31.35545676986856,27.029072527918927,18.068418027548432,5.848482985678166,4.178437866951565,2.52756773298729,2.775577307016036,2.739476932339363,3.588196740987955,1.8893131087037038
2024-06-21,31.345781637221563,26.975620812915064,18.062842782945207,5.841806313654932,4.1771485557826455,2.5410430671964757,2.799441992933257,2.7804951443282553,3.5870895563697442,1.8887301366528553
2024-06-24,31.279686885133334,26.955654314926242,18.0247560276183,6.009374088577796,4.168340748677196,2.561074364699804,2.7874169419639294,2.7494230805456867,3.579525929541405,1.884747618316308
2024-06-25,31.26144855438967,26.66153800259714,18.014246284882933,5.968438360617351,4.165910303081438,2.55742154378549,3.1759464784129428,2.7557382379837603,3.5774388057780424,1.8618734284712324
2024-06-26,31.422478552223094,26.593204219038302,18.10703897921949,5.918205403355254,4.187369210397018,2.612199177819489,3.3469649876874183,2.7388205630749174,3.270268605761273,1.8034503014237453
2024-06-27,31.41884125192372,26.813496372003716,18.104943003938914,5.934883551571651,4.186884502634159,2.623110542213625,3.3436836926086526,2.7759429498651804,2.9975047242712822,1.8007094089690996
2024-06-28,31.40151880499497,27.07619043313349,18.094961034463367,5.900157951885769,4.184576107998846,2.6316065048273014,3.3590130562371834,2.774773997053103,2.7765816674094896,1.8006204419964797
2024-07-02,31.46733193053105,26.83404755326535,18.132885503962026,5.971033970295627,4.193346385462852,2.6463604192503696,3.3935872471925816,2.7709887968562463,2.7824009884102727,1.8080172047736285
2024-07-03,31.455138276315065,26.850810661528087,18.125858974472287,5.997692295185548,4.191721455330706,2.651491523193551,3.3634811885078344,2.7778823640860666,2.78132280244847,1.804600458932386
2024-07-04,31.47611265430184,26.841535393662426,18.13794535012659,5.983753125844789,4.194516507428301,2.6324219542925555,3.3630060209023838,2.781727825048135,2.783177396608869,1.805803771784114
2024-07-05,31.464026174556704,26.833945443431872,18.13098057936533,5.981455430708489,4.192905859399287,2.656406641062247,3.3649749473376804,2.788085873849118,2.7821086872164265,1.8051103630728456
