date,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,TOTAL_CCASS_PCT
2024-08-29,64.72015541239894,13.408347056629594,6.566332267851098,3.2358974639721247,3.6441950165623043,0.9583914471929346,0.6425158395454108,0.9547873201634728,0.43772065697567825,0.49399207329672906,95.06233455458828
2024-08-30,64.72015541239894,13.375033750106871,6.56807946924215,3.2997242450284547,3.6529310235175636,0.8615309118364507,0.6386719964850968,0.9547873201634728,0.4443600222616753,0.49399207329672906,95.0092662243374
2024-09-02,64.72656181749946,13.34416652553162,6.570001390772308,3.2923905419096537,3.6624823911219804,0.81626360283643,0.6538144085408795,0.9477985145992653,0.418967362045055,0.49399207329672906,94.92643862815338
2024-09-03,64.72737717814861,13.275792711095125,6.570001390772308,3.3236072067631137,3.7035998638580674,0.8300984093711496,0.6441465608437258,0.93964490810769,0.40999839490432205,0.49422503348220265,94.91849165734632
2024-09-04,64.72761013833409,13.26041733885387,6.570001390772308,3.4553869596808817,3.707793147196592,0.7671484904529422,0.6575417715084568,0.93964490810769,0.4136092777791626,0.49445799366767623,94.99361141635366
2024-09-05,64.72877493926146,13.259019577741027,6.566332267851098,3.4582466624376624,3.6990571402413326,0.7928521525171697,0.6592889728995087,0.93964490810769,0.4147740787065305,0.49457447376041297,95.01256517352388
2024-09-09,64.73133750130167,13.374218389457711,6.566332267851098,3.1896866662209358,3.6727326392828186,0.7799892558762459,0.6644140969799275,0.9373153062529542,0.4165212800975824,0.49457447376041297,94.82712187708135
2024-09-10,64.6789214595701,13.395184806150334,6.571457391931518,3.1990108976445164,3.6691799964543463,0.7756559634662519,0.674081944677081,0.9373153062529542,0.4787216496190285,0.4949239140386234,94.87445332980477
2024-09-11,64.67915441975558,13.436185798793684,6.578446197495724,3.1797448573456655,3.6378468515081495,0.7495644226932108,0.6778093076446584,0.9373153062529542,0.4866422959251303,0.49504039413136014,94.85774985154613
2024-09-12,64.68264882253769,13.459481817341043,6.575650675270042,3.1771523599216227,3.6561342260678256,0.6951154539031198,0.6670931391128737,0.9373153062529542,0.48932133805807654,0.495156874224097,94.83507001268934
2024-09-13,64.68229938225947,13.522846987789858,6.575650675270042,3.0890436728130104,3.680129125171604,0.6638824818366768,0.6654624178145585,0.9373153062529542,0.49491238250944247,0.49504039413136014,94.80658282584898
2024-09-16,64.68253234244496,13.544279324853429,6.581474679906882,3.1492283543296464,3.6662679941359264,0.6148709202556318,0.6705875418949774,0.9373153062529542,0.49141797972733875,0.49480743394588655,94.83278187774762
2024-09-17,64.68264882253769,13.606013774003925,6.581474679906882,3.2392329879077355,3.6243351607506815,0.6133146297365756,0.6729171437497131,0.9373153062529542,0.4804688510100804,0.49480743394588655,94.93252878980212
2024-09-19,64.68334770309411,13.606013774003925,6.5838042817616165,3.093258970889062,3.6243351607506815,0.6632665351062845,0.6747808252335018,0.9373153062529542,0.485128054719552,0.49504039413136014,94.84629100594304
2024-09-20,64.68672562578347,13.606013774003925,6.586716284080037,3.0812137644991506,3.6243351607506815,0.657708105080885,0.6859629141362338,0.9373153062529542,0.4565904319990383,0.49550631450230737,94.8180876810887
2024-09-23,64.68649266559801,13.607178574931295,6.5893953262129825,3.0481415717683937,3.7141413122507476,0.6020531014105972,0.6978438835953863,0.9373153062529542,0.4343427342863113,0.49818535663525354,94.81508983294192
2024-09-24,64.67589297715895,13.672407426863897,6.588696445656563,2.9682773456236915,3.7649266326839883,0.5959854204197523,0.6921363590512837,0.9373153062529542,0.42886816992768223,0.49783591635704316,94.82234199999581
2024-09-25,64.67624241743715,13.682890635210207,6.588696445656563,2.9587659306910834,3.784728248449242,0.6223994945695815,0.6930681997931779,0.9373153062529542,0.41089121481514956,0.49795239644977995,94.8529502893249
2024-09-26,64.67612593734444,13.685802637528626,6.588696445656563,2.9088076189162737,3.793231295219028,0.6501772011650805,0.7474644031012592,0.9373153062529542,0.40075744674704883,0.4972535158933592,94.88563180782462
2024-09-27,64.6785720192919,13.571419186461101,6.591026047511297,2.9560286485117686,3.7410482136729457,0.6419537066178631,0.8133921355902827,0.9373153062529542,0.4039024092509422,0.4990007172844111,94.83365839044546
2024-09-30,64.66868664797326,13.520236890834585,6.5907189724884505,2.909766959817871,3.836033720813487,0.6353851432836398,0.8521403035190025,0.9372716368580818,0.3924690742290716,0.49769624758227715,94.84040559739972
2024-10-02,64.66891959730515,13.564846687891457,6.5907189724884505,2.8202417361806886,3.8020231183575954,0.7333630499031047,0.8856850073111149,0.9372716368580818,0.37796797831893975,0.4966479755887736,94.87768576020336
2024-10-03,64.66868664797326,13.430085499393282,6.5907189724884505,2.9525519482833844,3.8186789955877063,0.7036998643536041,0.8931393859315842,0.9371551621921371,0.40467969583339836,0.498511570243891,94.8979077422807
2024-10-04,64.66787132531164,13.430085499393282,6.597707452445141,2.966057768173018,3.8186789955877063,0.7570970925826837,0.8800942233457627,0.9384363835175302,0.40665976515446056,0.4962985515909391,94.95898705710218
2024-10-07,64.6654253573268,13.430085499393282,6.600619319093762,2.965242445511404,3.8186789955877063,0.7099286965390018,0.9002443405542191,0.9384363835175302,0.38394720529521786,0.4975797729163323,94.91018801573526
2024-10-08,64.66519240799491,13.430085499393282,6.605278305731556,2.8017318152180675,3.8186789955877063,0.8144637774271631,0.9029232578709502,0.947055508797448,0.3939640265664736,0.4975797729163323,94.87695336750389
2024-10-09,64.66053342135713,13.430085499393282,6.604113559072107,2.768769484755679,3.8186789955877063,0.9264596430424208,0.8973324739055982,0.9389022821813096,0.39279927990702523,0.49606560225904944,94.9337402414613
2024-10-10,64.65948514936362,13.514995530867068,6.605860679061279,2.882852692859334,3.786182563789098,0.8347591385440526,0.9064174978492953,0.9386693328494199,0.39978775986371534,0.4968809249206633,95.02589126996754
