date,CHEER UNION SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,VALUABLE CAPITAL LTD,CMB WING LUNG BANK LTD
2024-06-18,55.50012928826051,11.270098147487651,10.880372517154994,6.661102858905702,4.305472267217888,1.8546165755208135,2.920380362477391,3.9839274907202875,2.623900492254764
2024-06-19,55.49238120602741,11.268524788139814,10.892653158307958,6.660172937239286,4.304871202795038,1.8543576622187672,2.919972663477576,3.983371315478812,2.6236950663153404
2024-06-20,55.62361922940634,11.31204312465146,10.658300624414126,6.6826714998227805,4.315052110070546,1.8587431693629575,2.926878322098578,3.99279188396887,2.62990003620434
2024-06-21,55.63863593833389,11.315097037024156,10.634181045120245,6.684475620700954,4.31621704472316,1.859244974271234,2.927668491462568,3.99386981802567,2.630610030338116
2024-06-24,55.69313954364552,11.312669582052969,10.48583553692936,6.745070626842938,4.320445210749834,1.8644442214484607,2.9305364353876997,3.997782212723285,2.6500766302199295
2024-06-25,55.636758406319984,11.361958364922836,10.471845654796958,6.778736366557064,4.31607139349459,1.865931256286356,2.9275696969607594,3.99373504444044,2.6473938162210073
2024-06-26,55.59923435825669,11.42174003139342,10.464782949295817,6.77416446775287,4.313160431838066,1.8646727844387985,2.925595206189476,3.991041481586451,2.6456082892484107
2024-06-27,55.61048625692352,11.40381400027529,10.466900760425318,6.775535389727307,4.314033307960784,1.8650501477147405,2.9261872737094725,3.991849168865677,2.6461436943978933
2024-06-28,55.602984485190845,11.425882881997262,10.46211632836082,6.774621380099238,4.3134513512957415,1.8647985552288648,2.9224200726581584,3.9879382116126147,2.6457867335564527
2024-07-02,55.60410962192096,11.420718037276806,10.465700562220814,6.774758465822567,4.313538634785898,1.8648362897743784,2.9224792083717364,3.9880189082838613,2.645840271542975
2024-07-03,55.60410962192096,11.4375806922304,10.469073093211533,6.72417050096179,4.313538634785898,1.898561599681563,2.9224792083717364,3.9846463772931426,2.645840271542975
2024-07-04,55.50751400334485,11.356774527090034,10.37614606614468,6.745819307678669,4.386845276393739,1.8952634130300172,2.917402269116203,3.9810909104081964,2.8331442267936118
2024-07-05,55.50657964104626,11.356583357621501,10.374288095896885,6.749072370326579,4.386771432286152,1.8952315099136408,2.9173531602569973,3.981023896395396,2.833096536256583
2024-07-08,55.495369746565885,11.35428982590112,10.378924816014507,6.734245611172507,4.385885496867622,1.894848756276515,2.9167639828783876,3.9802199041823814,2.859451860141079
2024-07-09,55.55258759551883,11.365996533022692,10.382550131800551,6.6451608036064425,4.390407512578675,1.8968024178237834,2.919771278113393,3.9843236631503283,2.862400064385306
2024-07-10,55.53013516672238,11.3782430127657,10.378353865206147,6.598690484860384,4.388633062164569,1.896035796086247,2.9185912078491407,3.9827133377411825,2.928604066604247
2024-07-11,55.53200550924164,11.378626249933003,10.378703424530212,6.5955445814690705,4.388780878246647,1.8960996575617652,2.9186895106034205,3.982847481806837,2.9287027066073987
2024-07-12,55.56007577373347,11.384377906936209,10.356990759705097,6.538221006911337,4.390999314964704,1.8936882359591498,2.9201648469573094,3.98486072770386,2.9706214271288633
2024-07-15,55.54510143548922,11.381309633124395,10.35419938333153,6.5364588506955705,4.389815869692953,1.8931778563784973,2.919377815342641,3.983786743344373,2.9967724126008197
2024-07-16,55.56571888798578,11.378793788080507,10.331034904661488,6.535514877091614,4.391445299072376,1.8938805736931241,2.920461441654805,3.985265461211739,2.9978847665485673
2024-07-17,55.57321060690713,11.380327948466268,10.33242779961941,6.536396036220755,4.39203738128597,1.8638000065768257,2.9208551965936302,3.9858027797106246,3.0151422446193834
2024-07-18,55.56762908443994,11.37918495968742,10.324582014128941,6.552591141867768,4.391596264872996,1.8636128149156377,2.920561839079728,3.9854024636676653,3.0148394173399025
2024-07-19,55.5507789415582,11.37573437351688,10.32145122224527,6.550604155940793,4.403741757235487,1.8630476991688443,2.9196762176289965,3.98419394349035,3.030771689215188
2024-07-22,55.5507882999116,11.375736289928215,10.321436114562376,6.550605259487312,4.4037424991111624,1.863048013026888,2.919676709491801,3.9841946146869684,3.0307721997936734
2024-07-23,55.55153697840062,11.374541867996944,10.321575220368635,6.550693544413555,4.403801849975141,1.8630731220129895,2.9197160590530613,3.984248311149168,3.030813046629885
2024-07-24,55.51225861986033,11.366499366240488,10.2974424309268,6.5325939605909324,4.491596010618395,1.861755814553042,2.917651639948908,3.9814312021690923,3.0387709550920063
2024-07-25,55.459973796219906,11.355793705372992,10.287743672943714,6.526441166025629,4.487365552137371,1.863366088406034,2.9149036180663255,3.977681247953261,3.126731152874761
