date,WEALTH LINK SECURITIES LTD,VALUABLE CAPITAL LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD
2024-05-16,0.0,21.406090886436562,20.8944662706165,15.772682383561559,12.583565866669948,12.830302452290928,3.021754044849451,5.782619530339063,3.5478382860113893,4.160680279224595
2024-05-17,0.0,21.404773843839504,20.8931807065092,15.811088927377154,12.58525270486029,12.819668802662868,3.0264902495823884,5.751500478368809,3.5476199998154203,4.160424286984369
2024-05-20,0.0,21.394243334573506,20.882901885782985,15.835288402111782,12.579061136512484,12.8133619085981,3.038530485236284,5.7523606878972275,3.5458746767602536,4.158377482527373
2024-05-21,0.0,21.39293388544078,20.878022988081735,15.830359146508288,12.592107568729077,12.802990479528065,3.043968779492098,5.754705670782879,3.5475055256856,4.157405955751478
2024-05-22,0.0,21.393986159743978,20.879049934979697,15.797935951156377,12.592726948534047,12.836822090302904,3.0490372998281496,5.745151145310391,3.5476800201670544,4.157610449977405
2024-05-23,0.0,21.391618688118434,20.8767394465125,15.802335553718041,12.590103867281039,12.835401559699863,3.0523885785951634,5.7445153833621765,3.5497465564568933,4.157150366255891
2024-05-24,0.0,21.459223524006433,20.802817979937206,15.779462439696761,12.540623324910024,12.841412052990275,3.171452638027414,5.724174898537407,3.5384026341986368,4.142430507695842
2024-05-27,0.0,21.487656536101067,20.830381268728356,15.816318706428293,12.412473201387547,12.86210714537653,3.162159592446395,5.737893468039492,3.5430909419923142,4.147919139500004
2024-05-28,0.0,21.49715095781208,20.839585270283127,15.811033479697697,12.415502962574294,12.839560722800622,3.1623294333520504,5.740428783150608,3.5446564733245576,4.149751917004962
2024-05-29,0.0,21.51448618937219,20.85519952096544,15.822880041761989,12.392869754801861,12.800049131749859,3.16961201271284,5.744729852144141,3.5473123397460506,4.152861156745636
2024-05-30,0.0,21.53372216949694,20.85955520337114,15.83232745779162,12.391772398775135,12.75849465734197,3.1739596482660546,5.745929659353721,3.550510309072537,4.153728496530881
2024-05-31,0.0,21.531605956654865,20.857505243858622,15.82954311634149,12.390554605228811,12.737585951679725,3.181018306671294,5.76501985449252,3.553846673566346,4.153320291506331
2024-06-03,0.0,21.531870460513183,20.857761466762895,15.82728068424366,12.390706816332171,12.740199315142114,3.179828939084502,5.76509067456966,3.5538903306051624,4.153371312746649
2024-06-04,0.0,21.543266174722937,20.85571185977454,15.824497078124471,12.388260908284124,12.735262416051738,3.1819731181309825,5.764524162666937,3.5535411043246214,4.1529631779196485
2024-06-05,0.0,21.545118681649413,20.857505243858622,15.822172539071738,12.388097746138893,12.724073226685176,3.1908457430309656,5.76501985449252,3.553846673566346,4.153320291506331
2024-06-06,0.0,21.546442095952383,20.85878642133422,15.814544884965864,12.391315698144036,12.724854806065128,3.19104174152869,5.765373972278785,3.554064969487007,4.1535754102438895
2024-06-07,0.0,21.54697150719768,20.85929893639566,15.814933459462946,12.389163091117384,12.72516746470265,3.1911201476699294,5.7655156315745835,3.5541522953644296,4.153677466514738
2024-06-11,0.0,21.52898610765874,20.84188754169697,15.836102902139856,12.387414342837328,12.745233426317196,3.1982765763526393,5.760703117567812,3.551185620951136,4.150210364478324
2024-06-12,0.0,21.541525629183177,20.8421433810329,15.838752343805144,12.375291153535732,12.741707302851847,3.1983158359904134,5.760773831626563,3.5512292126349125,4.1502613093393155
2024-06-13,0.0,21.542015504827237,20.835493598966753,15.826336117902953,12.413065286550927,12.735187736031389,3.183796934007847,5.762617229562864,3.5525504428416723,4.148937149308357
2024-06-14,0.0,21.536729817846112,20.830381268728356,15.845762675475319,12.411246369343921,12.73206294875216,3.18301573718804,5.761203276868389,3.5516787662976967,4.147919139500004
2024-06-17,0.0,21.54269431672837,20.83140353406313,15.850220993966758,12.415536136577646,12.708149938502025,3.167222346615464,5.76148601189472,3.55185306738399,4.171433654267898
2024-06-18,0.0,21.646804166066243,20.82297284453288,15.789844830282163,12.416643416247904,12.703006815694188,3.1352806453294253,5.756701486085007,3.5590003648527255,4.169745430909464
2024-06-19,0.0,21.70952011695942,20.816080081650917,15.788296088786177,12.39169146741779,12.698801901510112,3.134242813401294,5.735180082570411,3.5578222743948973,4.1683651733089775
2024-06-20,0.0,21.75460630102158,20.80409244765741,15.779203871896586,12.38455529858633,12.691488872892128,3.132437855140831,5.731877287834465,3.55577338377418,4.165964681196489
2024-06-21,0.0,21.779909765396162,20.830636825655827,15.747809311156027,12.400357012504639,12.6352982311932,3.135207751219946,5.739190710313797,3.56031026963032,4.171280122930079
2024-06-24,0.0,21.81787453715796,20.86929801650099,15.751225283082643,12.408622305529523,12.573939496366402,3.109069399419239,5.724030912471,3.5669181249711928,4.179021924501052
2024-06-25,0.0,21.797531774939678,20.875712726881524,15.752378317734028,12.41243641169871,12.577804416985568,3.1100250511011724,5.725790339188836,3.568014508122397,4.180306453348087
2024-06-26,0.0,21.799407943880702,20.877509552515008,15.745126910887256,12.41350478163704,12.578887020568263,3.1102927388589854,5.72628317251089,3.568321616196393,4.180666262945463
2024-06-28,0.0,21.800748262303753,20.87879318878406,15.746094986888501,12.415497698955075,12.57966042294958,3.1055652393117463,5.724175881606089,3.5685410114760194,4.180923307725179
2024-07-02,0.0,21.800748262303753,20.87879318878406,15.705515437137052,12.415497698955075,12.62023997270103,3.1055652393117463,5.724175881606089,3.5685410114760194,4.180923307725179
2024-07-03,0.0,21.81847798359411,20.873402976909436,15.696543330536525,12.418439258569448,12.616981845339629,3.1059928512375103,5.722698089258108,3.5676197325514565,4.179843932003774
2024-07-04,0.0,21.831888405026568,20.872120003319083,15.686973518013714,12.417675965223378,12.616206348669753,3.105801942893319,5.722346346395567,3.5674004505348953,4.179587019923722
2024-07-05,0.0,21.848437245420254,20.878536448902672,15.684417951926122,12.423952706960845,12.620084785622721,3.1067567193681964,5.724105493235287,3.5684971302618274,4.145211518302074
2024-07-08,0.0,21.88110015708625,20.878022988081735,15.656980193606499,12.419958253791128,12.619774422915533,3.1066803156480653,5.7239647216868175,3.568409371070923,4.145109576113053
2024-07-09,0.0,21.879216910984947,20.876226074073163,15.666698429580084,12.422577898545157,12.61868827364467,3.1002652715575407,5.723472075788361,3.5681022478921207,4.144752817933956
2024-07-10,0.0,21.881557723327443,20.866733236039632,15.678009063676166,12.419387049696597,12.61295030340272,3.1111452492510945,5.720869498425378,3.566479760350257,4.1428681158307095
2024-07-11,0.0,21.94477473906725,20.86724614169793,15.658730378195024,12.386509231350644,12.604657307806935,3.111221721403399,5.717323108026313,3.5665674246544197,4.142969947798087
2024-07-12,0.0,21.94396566291527,20.86647679266558,15.658153060566118,12.387281514321968,12.60665050586981,3.1111070145846584,5.7171123175381515,3.566435929814212,4.142817201724228
2024-07-15,0.0,21.94369598412206,20.86622035559461,15.657960630816357,12.38835822454629,12.606495577341981,3.111068780857986,5.717042057496091,3.566392100355472,4.142766288869158
2024-07-16,0.0,21.954488308542587,20.876482757136753,15.664431964539856,12.39322150601095,12.581957008880403,3.1039920325338204,5.7198538068319795,3.568146119395186,4.137426496128463
2024-07-17,0.0,21.95799810004581,20.87982021145445,15.660787466451051,12.395202769383069,12.574130494264782,3.1044882574837596,5.720768220960369,3.5687165471253204,4.138087932831393
2024-07-18,0.0,21.968404452519067,20.878022988081735,15.65329127971497,12.41135078804423,12.56812962843415,3.098072849901168,5.716586893903763,3.568409371070923,4.137731748329998
2024-07-19,0.0,21.952418554490066,20.867502603982636,15.639258533228048,12.470234711779833,12.561796579027416,3.092824683604588,5.7137063199196225,3.5666112584226166,4.135646755545177
2024-07-22,0.0,21.939708281738266,20.868272028661764,15.63368986421919,12.492817659186791,12.562259756461033,3.0867934036152906,5.7139169951851425,3.566742766192146,4.135799244740376
2024-07-23,0.0,21.88317456804468,20.876482757136753,15.649677397540291,12.533389892506833,12.553677422131235,3.0818601820344704,5.716165165082088,3.568146119395186,4.137426496128463
2024-07-24,0.0,21.827713973832697,20.883415586611935,15.659794289931275,12.55969128115247,12.584905370293498,3.058284519471734,5.718063434958412,3.569331057915533,4.13880048583245
2024-07-25,0.0,21.784458871396808,20.886755258132077,15.701663473396419,12.561699824395763,12.584457641244546,3.052622838391822,5.7189778664854245,3.5699018646032914,4.139462361953851
2024-07-26,0.0,21.75157500792505,20.902440300505663,15.71099258584447,12.541587287908678,12.5729797272551,3.0524530729197124,5.752818394738381,3.572582705228072,4.142570917674867
2024-07-29,0.0,21.445103228245536,20.874942753429416,15.636228396143196,12.691065231890875,12.526932782536798,3.0545847971550377,6.06613861507867,3.5678829065582285,4.137121288962247
2024-07-30,0.0,21.438251970681787,20.871863427526545,15.696614883449348,12.641251402142013,12.544753299835584,3.045529279798399,6.068931606201693,3.567356597366278,4.125447532998356
2024-07-31,0.0,21.409904833266285,20.856224223756982,15.702050430077477,12.55193634669066,12.530440149982036,3.0383338605019667,6.224070212720221,3.5646835913388757,4.122356351665495
2024-08-01,0.0,21.308592248681723,20.88213138192384,15.617015388872662,12.626562331852353,12.510338678186542,3.0408781342721416,6.319123095607791,3.5691115654834196,4.126247175119529
2024-08-02,0.0,21.26190571382001,20.88701220018514,15.678483449635408,12.559394019541209,12.51326274222765,3.066192232107984,6.323060410445351,3.578556952137262,4.132132279899987
2024-08-07,0.0,21.31608566274534,20.942660232195994,15.691885474644998,12.396737538352426,12.493562959650935,3.0706609722629086,6.334972787122836,3.579456975901571,4.173977397122989
2024-08-08,0.0,21.325818224447552,20.952222294206024,15.674369961776602,12.387589581270227,12.499267307733836,3.0720629837697095,6.337865227813307,3.581091294998874,4.169713123983872
2024-08-09,0.0,21.342673924252296,20.9687827077628,15.6077198810711,12.402320533759815,12.520261445980282,3.0473214754346367,6.353989459416902,3.5839217514534214,4.173008820868749
2024-08-12,0.0,21.363932482625113,20.96904167194114,15.600502644440809,12.406178698126197,12.494481099889775,3.046124111186926,6.347892937969106,3.583966012837811,4.187880340983121
2024-08-13,0.0,21.378982200402273,20.98381321081756,15.580595626878907,12.356832345153387,12.474857797867509,3.043326463963616,6.33629838811836,3.586490720171539,4.258803246626851
2024-08-14,0.0,21.337537327951726,20.973445041828924,15.606249170061053,12.34825627897066,12.518104249596226,3.0418227466578553,6.333167602889269,3.5847186236755717,4.256698958368718
2024-08-15,0.0,21.314023967056865,20.949120128317833,15.588149107790064,12.473357084470766,12.490013726306698,3.0358272027637687,6.325822421690649,3.5719243048165454,4.25176205678681
2024-08-16,0.0,21.324594091440957,20.968005853604318,15.563918827550225,12.461138056763907,12.465460338434655,3.0076905740298794,6.378452808402516,3.5751444105179635,4.25559503925558
2024-08-19,0.0,21.315725312404517,20.922229869236062,15.51760853530194,12.541857113317429,12.530129405991625,2.9868618815563286,6.357651866094272,3.5738644956005663,4.254071520497255
2024-08-20,0.0,21.27082287505813,20.878156345953073,15.49231143537325,12.658337003353834,12.533299661536851,2.9805699362186364,6.3750565901762535,3.5663360055188895,4.245110146811086
2024-08-21,0.0,21.285506920324583,20.892569318815703,15.472187722472025,12.598041783905892,12.539486376622216,2.9801620443849988,6.422603619956916,3.5687979807630077,4.240644232754662
2024-08-22,0.0,21.302576345001373,20.909323636184183,15.511737436732579,12.683402268219938,12.508828908854817,2.982551917068401,6.285874671132784,3.5716598965514055,4.244044920254519
2024-08-23,0.0,21.29138450252291,20.895918033949084,15.713858587602141,12.793633082326686,12.336827699297531,2.938719650337364,6.331162326193566,3.570602939952593,4.127893177818122
2024-08-26,0.0,21.3511952381982,20.940066657811908,15.595086225802564,12.683517481459058,12.395017035117363,2.9511062787457956,6.353187559267691,3.5781468634070857,4.152676660190336
2024-08-27,0.0,21.35964031333529,20.948349118551366,15.577769880876968,12.662577445421258,12.372726851351143,2.9584537181527435,6.390309472675865,3.575854024071814,4.154319175563556
2024-08-28,0.0,21.4563837597227,20.999482695065776,15.617033271690408,12.409742679515654,12.31619412254861,2.984260919935445,6.415820238084175,3.58458245437959,4.216499859057637
2024-08-29,0.0,21.453541117713172,20.9906397946514,15.663713800032822,12.335159135876246,12.265182079680955,2.9693803934196796,6.399494678957033,3.5818344516244895,4.3410545480442035
2024-08-30,0.0,21.454604006230124,20.99167974930871,15.71898794539042,12.228012646037895,12.268266929248453,2.933608301052495,6.388664393847907,3.5820119090748634,4.434164119809133
2024-09-02,0.0,21.422939079183763,20.96311849270379,15.743366307241788,12.19405851193771,12.273839084440624,2.9865146094308055,6.379971984031517,3.577138227572537,4.459053703457467
2024-09-03,0.0,21.403517446621777,20.950161780294017,15.79173452579986,12.187757851829648,12.25265539097677,2.984668728966244,6.376028703254458,3.5749272993043606,4.478548272952869
2024-09-04,0.0,21.383583689329985,20.940325385572947,15.806560222895605,12.217866861885655,12.249373723894866,2.983267385146677,6.369328378724837,3.5732488208093556,4.476445531740074
2024-09-05,0.0,21.38331948490006,20.940066657811908,15.784125062163506,12.24242686328353,12.247986829058851,2.9832305254476545,6.36924968261862,3.573204671606799,4.476390223109071
2024-09-09,0.0,21.375924410615863,20.93282487533001,15.753963965354867,12.264130552253324,12.249926664711058,3.013076839943802,6.3633416189344,3.5719689367155056,4.4748421361411745
2024-09-10,0.0,21.373906761792156,20.928430522068517,15.767944851091153,12.278844046270256,12.251059665414312,2.997625979013531,6.362005785325525,3.571219086017356,4.468963303007196
2024-09-11,0.0,21.369420755514813,20.924038013401606,15.760931630816904,12.28243994431944,12.25466139491529,3.0093428521162626,6.360670512452507,3.570469550080095,4.468025346383079
2024-09-12,0.0,21.368893113867635,20.923521368893113,15.6975793135164,12.290778675242825,12.254358809749414,3.0080339754135044,6.360513458374871,3.570381390066019,4.525939894876219
2024-09-13,0.0,21.324865283359912,20.910613542916543,15.689129207678002,12.238779268288921,12.252968084417287,3.0135811646550423,6.460229673749765,3.568178803759419,4.541654971175111
2024-09-16,0.0,21.329865514017825,20.915516640287795,15.692807977218525,12.221903413210416,12.252138848523554,3.0142877858097084,6.461744461207627,3.569015466350737,4.542719893373811
2024-09-17,0.0,21.325128394947484,20.91087154336125,15.689322784126839,12.219189068307653,12.25558691528247,3.0234889495519672,6.466478508305188,3.568222828853005,4.541711007264147
2024-09-19,0.0,21.333288075761175,20.91887271616405,15.69532602423543,12.134995109096463,12.260276297478022,3.0172400492484672,6.470187088631812,3.569588145807555,4.600226493577025
2024-09-20,0.0,21.337238550543034,20.922746449966205,15.727861091135795,12.0965028965066,12.250201382051843,3.0177987784365348,6.4763233347016005,3.570249158207592,4.601078358450794
2024-09-23,0.0,20.75669679663024,20.32408448381826,15.293429869137023,11.75758120849635,11.906881923520858,5.736385303772991,6.287418866453809,3.468093717677744,4.469427830492723
2024-09-24,0.0,20.75950201896357,20.322134855375058,15.297958253768881,11.740865201581595,11.903341557075066,5.738233204531352,6.285616645732597,3.467761033853238,4.484587229118641
2024-09-25,0.0,20.77135415573945,20.318480310028264,15.295207210015377,11.738753832643482,11.903598713610492,5.737201293582739,6.284486298393212,3.4671374236843135,4.483780762302674
2024-09-26,0.0,20.76637491122984,20.313609627030477,15.260377494179375,11.74552853080512,11.935504169575731,5.727435898204221,6.302157152403012,3.4663062922688304,4.4827059243033975
2024-09-27,0.0,20.79122330446789,20.34848644024553,15.26496675721511,11.757290150230373,11.917575903108164,5.74207200852456,6.215725413096006,3.472257657846948,4.490402365265417
2024-09-30,0.0,20.783974584185383,20.356674203728893,15.209851630978227,11.847300920962942,11.939787580963362,5.743181360935196,6.217025352755532,3.4099951654700456,4.49220920002042
2024-10-02,0.0,20.746300510098262,20.37747872586652,15.299941986467516,11.754804151724926,11.985655928652372,5.71658736146639,6.306341510335726,3.4134801807136563,4.399409644674628
2024-10-03,0.0,20.739503888562965,20.39562555470313,15.359297200535524,11.790544097958692,11.996329557591347,5.715661055703476,6.159122704093145,3.416519999398288,4.427395941453435
2024-10-04,0.0,20.739004732349958,20.395134674917944,15.44677535327158,11.790260324375062,12.023718911048066,5.703489544003634,6.066313069168124,3.4080140075152006,4.427289383350431
2024-10-07,0.0,21.297801391430347,20.98972991884871,15.920638311706407,12.19467640110596,12.306139446462131,2.9543899410793957,6.241930539945569,3.507370493874177,4.587323555547299
2024-10-08,0.0,21.264583417301985,21.018103124874045,15.970682796915742,12.293010811028674,12.207440294412184,2.9745055667341513,6.213163597806171,3.5121116385203743,4.546398752406671
2024-10-09,0.0,21.38979842026039,21.04002110457628,15.80236185037476,11.87504849397123,12.172995453205257,3.7088189196319115,5.944041836718859,3.515774118961531,4.551139802299778
2024-10-10,0.0,21.438920344372917,21.032188008997128,15.887070503373923,11.932676646242147,12.18707825952067,3.662762739471031,5.7953928488327,3.514465213681843,4.549445435507639
2024-10-14,0.0,21.414459094391354,21.02644744473703,15.874049743651774,11.964157772794522,12.193677053964946,3.68409462397608,5.7814045959685245,3.513505969052116,4.548203701463651
2024-10-15,0.0,21.433337160696496,21.037670563336135,15.894935777880532,11.997852538938249,12.21383995208555,3.705921965237198,5.650429337048979,3.5153813450181697,4.55063135975869
2024-10-16,0.0,22.314019206910814,20.76674478089724,15.723322458607116,11.911960667187428,12.08595628666391,3.658196633429828,5.577662393358759,3.470109819418279,4.492027753526628
2024-10-17,50.6313599565827,10.981411966894306,10.219950854024393,7.739134367509385,6.017819185021031,5.953899265825456,1.8003105543243934,2.73770219950854,1.7077472751119354,2.210664375197865
2024-10-18,50.61915025094576,11.00830457128216,10.217486322325882,7.777057679844458,6.030836938009616,5.923525599481529,1.794450556903646,2.71172135224344,1.7073354534356207,2.2101312755278903
2024-10-21,50.618845083753584,10.982917705359807,10.217424724262766,7.790273913554606,6.031403449013857,5.940973090939782,1.7932340006088978,2.7074849207377913,1.707325160438527,2.210117951330381
2024-10-22,49.909944450884055,10.829105477933417,10.074332979649823,7.728133294101212,5.927913950882574,5.860743805337352,3.1798822441961723,2.62736321513171,1.6834146210979646,2.1791659607857126
2024-10-23,49.91083449991529,10.82870415778727,10.074512636237454,7.727676674007959,5.928019663964952,5.857876137231649,3.1823166980232007,2.6274100691627065,1.6834446415992725,2.1792048220702447
2024-10-24,49.90697785002927,10.827867415202732,10.073734170631749,7.735995411303528,5.916862567946291,5.871688872113862,3.1850427515535884,2.619479967546266,1.6833145604926312,2.1790364331800793
2024-10-25,49.91053781337772,10.888083101752091,10.074452749996285,7.731791770073264,5.93273989092152,5.878052042620856,3.179325615609814,2.542390512847186,1.6834346346465352,2.1791918681547306
2024-10-28,49.87733122647982,10.877274792903627,10.067749993317076,7.726647637660798,5.997701074317079,5.862260491447343,3.187308979770048,2.543669192316717,1.6823146082767266,2.177742003510762
2024-10-29,49.84150587229647,10.869461980701708,10.060518637900278,7.705070328059099,5.996361164783435,5.856268977000543,3.185019633682673,2.628509353824784,1.6811062533947128,2.1761777983562913
2024-10-30,49.759685902659456,10.86643455070746,10.044003259500704,7.709015482628343,5.99185124824061,5.87154604044744,3.1845321875694497,2.707163493592118,1.6783465441884586,2.1874212904659607
2024-10-31,49.749366751099856,10.864181072153341,10.041920336547719,7.708601816054156,5.998903849857056,5.87032840065769,3.187426861603638,2.714304759365418,1.6779984890903437,2.1869676635707833
