date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,GF SECURITIES (HONG KONG) BROKERAGE LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-06-21,94.04321194068689,1.7262527895821032,1.5392600350671988,1.2433723645798394,0.9161175425514214,0.0,0.531785327532553
2024-06-24,94.04436982286317,1.7262740436130488,1.537284404641944,1.243387673273255,0.916128822006387,0.0,0.532555233602197
2024-06-25,94.04443929670043,1.7262753188715487,1.5372855402872438,1.2433885918068477,0.9161294987825175,0.0,0.5324817535514077
2024-06-26,94.04293405320713,1.7262476886925524,1.5372609350147348,1.2433686905495116,0.9161148355235584,0.0,0.5340737970125108
2024-07-02,94.04295721043438,1.7262481137655303,1.537261313551423,1.2433689967178763,0.9161150611086027,0.0,0.5340493044221813
2024-07-03,94.04295721043438,1.7262481137655303,1.537261313551423,1.243393620819078,0.9161150611086027,0.0,0.5340246803209796
2024-07-04,94.04302668218457,1.7262493889857198,1.5372624491626068,1.243394539343267,0.9161157378644018,0.0,0.533951202459428
2024-07-05,94.04300352492311,1.7262489639121141,1.537262070625359,1.2433942331683867,0.9161155122790244,0.0,0.5339756950920073
2024-07-08,94.04254038208869,1.7262404624839578,1.537254499919555,1.2433634857103817,0.9161110005948044,0.0,0.5344901692026091
2024-07-09,94.04256353912207,1.726240887553377,1.537254878453074,1.243363791876183,0.9161112261779599,0.0,0.534465676817335
2024-07-10,94.03633470819805,1.726126551424947,1.537153059655663,1.2432814387102848,0.9160505483133771,0.0,0.5410536936976716
2024-07-11,94.03654309440431,1.7261303765523799,1.5371564660144448,1.2432841938442778,0.916052578297841,0.0,0.5408332908867405
2024-07-12,94.03658940257557,1.7261312265830004,1.5371572229851134,1.2432848060979345,0.9160530294067215,0.0,0.5407843123516549
2024-07-15,93.24928267172552,1.7116794611409203,1.524287613020316,1.2328755972737606,0.90838351777886,0.8367461335953535,0.5367450054652586
2024-07-17,93.24932820777154,1.7116802969984461,1.5242883573695365,1.2328761993189272,0.9083839613661185,0.8367465422002172,0.5366964349752132
2024-07-19,93.2495558886687,1.71168447629832,1.5242920791265442,1.23287920955358,0.9083861793089096,0.8367485852305219,0.5364535818134379
2024-07-22,93.25144568302684,1.711719165274964,1.5243229704111607,1.232904195068549,0.9084045886520999,0.8367655427671074,0.5344378547992725
2024-07-24,93.25144568302684,1.711719165274964,1.5243229704111607,1.2328797782158276,0.9084045886520999,0.8367655427671074,0.5344622716519941
2024-07-25,93.25033001203552,1.7116986860705503,1.5243047332363153,1.2329138610219508,0.9083937203954148,0.8367555316081836,0.5356034556320666
2024-07-26,93.25055769782477,1.711702865460224,1.5240642888711664,1.232916871380901,0.9083959383858621,0.8367575746823862,0.5356047633946827
2024-07-29,93.25033001203552,1.7116986860705503,1.5240605676303602,1.232962694143142,0.9083937203954148,0.8367555316081836,0.5357987881168308
2024-07-30,93.25033001203552,1.7116986860705503,1.5240605676303602,1.2328894444613554,0.9083937203954148,0.8367555316081836,0.5358720377986173
2024-07-31,60.11839819498137,1.1035304988811752,0.9825603841428306,0.7948426406957572,0.5856405590575778,0.5394554875524995,0.3462002894074325
2024-08-09,93.24930543974298,1.711679879069581,1.5240438222716086,1.2328758982962704,0.9083837395724351,0.8367463378977356,0.5369648831493921
2024-08-13,93.2498063389397,1.7116890735517538,1.5228311876715914,1.2328825208286767,0.9083886190584897,0.83675083257538,0.5376514273743987
2024-08-15,93.24982910721288,1.7116894914851088,1.5228315594925939,1.2328828218545675,0.9083888408545558,0.8367510368800566,0.537627142220241
2024-08-21,93.24755233493092,1.7116476991598375,1.522794378291106,1.2352454716557064,0.9083666617840535,0.8367306069062336,0.5376628472721469
2024-08-27,93.24752956776955,1.7116472812468906,1.52279400648826,1.235245170060305,0.9083664399988178,0.8367304026115333,0.5376871318246448
2024-08-28,93.24755233493092,1.7116476991598375,1.522794378291106,1.2352454716557064,0.9083666617840535,0.8367306069062336,0.5376628472721469
2024-08-29,93.2475751021034,1.711648117072988,1.5227947500941337,1.2352457732512554,0.9083668835693973,0.8367308112010335,0.5376385627077903
2024-09-05,93.24755233493092,1.7116476991598375,1.522794378291106,1.2352454716557064,0.9083666617840535,0.8367306069062336,0.5376628472721469
2024-09-12,93.24673272412569,1.7116326544223206,1.52278099350303,1.2352346143140356,0.9083586775837987,0.8367232523598748,0.5385370836912513
2024-09-17,93.24903222426742,1.7116748639391204,1.5203769237871196,1.2352650756727095,0.9083810780566821,0.8367438862757364,0.5385259480012063
2024-09-24,93.25001125379848,1.7116928349592948,1.519806890902755,1.2352780448259426,0.9083906152269845,0.8367526713210612,0.5380676889654868
2024-09-25,93.24996571708537,1.7116919990895236,1.5198061487365135,1.2352774416034746,0.9083901716332274,0.8367522627102114,0.5381162591416845
2024-09-26,93.25003402217172,1.7116932528944866,1.5198072619861476,1.2352783464373978,0.9083908370240255,0.8367528756266358,0.5380434038595993
2024-09-27,93.2489866885105,1.712894838529961,1.5197901923376402,1.2352644724629078,0.9083806344722395,0.8367434776734666,0.5379396960132968
2024-10-02,93.2490094563834,1.7128952567540445,1.5197905634128785,1.2352647740677352,0.9083808562644067,0.8367436819745515,0.537915411142986
2024-10-03,93.25442852636436,1.7129947998947226,1.5198788844735265,1.235336560205676,0.9084336458807056,0.8367923084703737,0.5321352747106325
2024-10-04,93.2611007674901,1.7131173625926304,1.519987629962179,1.2354249470365364,0.9084986432049919,0.8368521799439594,0.5250184697696021
2024-10-07,93.26132850587955,1.712144768312222,1.5209681193040636,1.2354279638751262,0.9085008617078416,0.8368542234901551,0.5247755574310402
2024-10-08,93.25971158739978,1.7120662459645755,1.52069755934552,1.2354065446401956,0.9084851105722346,0.8368397145282894,0.5267932375494003
2024-10-09,93.25670563444689,1.7120110625364906,1.5238717504826333,1.2353667249379074,0.9084558282223935,0.8368127414574085,0.5267762579162766
2024-10-10,93.25902839925824,1.7118095155822823,1.5216631727720915,1.2353974944824488,0.9084784553269658,0.8368335841322201,0.5267893784457551
2024-10-15,93.25905117203503,1.7117855147422458,1.5216635443446498,1.2353977961522373,0.9084786771669039,0.8368337884773086,0.5267895070816323
2024-10-21,93.25927890041457,1.7117896947348203,1.5216672600802146,1.2354008128582266,0.9084808955722427,0.8368358319336833,0.5265466044062371
2024-10-22,93.26119186271241,1.711824807478415,1.5190123384638923,1.2354261537702043,0.9084995306048316,0.8368529973612401,0.5271923096090055
2024-10-23,93.26112354127899,1.7118235534270536,1.5190112256633987,1.2354252487197324,0.9084988650547892,0.83685238429813,0.5272651815579013
2024-10-24,93.26219392190328,1.711843200442811,1.5145842803259857,1.235439427996142,0.908509292117486,0.8368619890567209,0.530567888157589
2024-10-25,93.26467638855704,1.7111317367062409,1.5146245957508337,1.2354723131026761,0.908533474950073,0.8368842647709654,0.5286772261621815
2024-10-29,93.27084896558894,1.7112449852893654,1.5147248388155579,1.2355540809092962,0.9085936048200018,0.8369396526497545,0.5220938719270818
2024-10-30,93.27096285845042,1.7136892711951184,1.5120402725048359,1.2355555896421035,0.9085947143019752,0.8369406746352192,0.522216619270328
2024-10-31,60.11839819498137,1.1045694268700417,0.9748156482258236,0.7963852913458926,0.5856405590575778,0.5395184528851581,0.33623602551421017
2024-11-01,93.27932335403052,1.7138428805408181,1.5100509054725395,1.2356663406918365,0.9086761576779224,0.8371133917926328,0.5153269697937317
2024-11-04,93.27355969116154,1.7137369834114364,1.5099820231469936,1.2355899897498461,0.9086200112261512,0.8370616671531316,0.5214496341509078
2024-11-05,93.27761085668803,1.7138114164255904,1.5089526429512665,1.2356436553286867,0.9086594754653028,0.8370980233872106,0.5182239297539109
2024-11-06,93.28870438398891,1.7147507744390271,1.5091321030294844,1.2357906107073533,0.9087675425416966,0.8371975796439658,0.505657005649561
2024-11-07,93.28230160155559,1.71463308413334,1.509028525167806,1.2357057933817643,0.9087051701366364,0.8371401193759562,0.5124857062489068
2024-11-08,93.28034220678238,1.7145970682648919,1.508996828023181,1.2356798373812026,0.9086860827842644,0.8371225352474969,0.5145754415165822
2024-11-11,93.28571934758307,1.7146959061297027,1.5044184811344141,1.235751068085475,0.9087384639494184,0.8371707911354254,0.5135059419824882
2024-11-13,93.28382816383254,1.7146611440561776,1.5043879820204509,1.2357260156727798,0.9087200410715275,0.8371538191507776,0.5155228341957493
2024-11-14,93.28385094872257,1.7146615628679522,1.5043883494722954,1.235726317503032,0.9087202630294661,0.837154023628425,0.5154985347762628
2024-11-19,93.28339525303677,1.7146531866713346,1.5043810004695084,1.2357202809260042,0.9087158238912953,0.8371499340944591,0.5159845209106214
2024-11-20,93.28275728655629,1.714641460133554,1.5043707119862304,1.2357118298172474,0.9087096091707189,0.8371442088140313,0.5166648935219247
2024-11-25,93.2848079241548,1.7146791531472299,1.504403782611862,1.2357389945067663,0.9087295853607983,0.8371626117798088,0.5144779484387224
2024-11-28,93.28478513879729,1.7146787343268621,1.504403415152478,1.2357386926703213,0.9087293633983059,0.8371624072979662,0.5145022483567746
2024-11-29,93.28571934758307,1.7146959061297027,1.5044184811344141,1.235751068085475,0.9089827222184081,0.8371707911354254,0.5132616837134985
2024-12-03,93.28617506597593,1.7147042827437013,1.5044258305033977,1.235757104963302,0.9089871627710263,0.8371748808731703,0.5127756721694803
2024-12-05,93.28549149005634,1.7146917178533942,1.50514757949396,1.23574804966868,0.9089805019583687,0.8371687462815371,0.5127719146877163
2024-12-06,93.28526363364273,1.714687529597546,1.5051439030644964,1.2357450312666303,0.9089782817091753,0.8371667014376385,0.5130149192817858
2024-12-12,93.285286419234,1.71468794842221,1.5051442707066347,1.2357453331061716,0.9089785037336066,0.8371669059215788,0.5129906188757989
2024-12-18,93.28045612282942,1.71880016735984,1.5050663345900372,1.2356813464211474,0.9089314369799204,0.8371235575603212,0.5139410342593214
2024-12-19,93.28091178979989,1.7188085635501855,1.5050736867090722,1.235687382617785,0.9089358770314755,0.8371276468365881,0.5134550534550089
2024-12-20,93.28113962495455,1.7185685153986232,1.5050773627955256,1.2356904007382186,0.90893809707352,0.8371296914897033,0.5134563075498636
2024-12-23,93.2810029237282,1.7185659968785392,1.5050751571414989,1.2356885898641892,0.9089367650469918,0.8371284646966357,0.513602102643951
2024-12-27,93.28098014022942,1.7185655771259092,1.5050747895331227,1.2356882880523672,0.9089365430429501,0.837128260231474,0.513626401784754
2024-12-30,93.28052447259118,1.7185571821163745,1.5050674374033135,1.2356822518468837,0.9089321029848882,0.8371241709492143,0.514112382108143
2025-01-03,93.28029664044148,1.7185529846423637,1.5050637613653446,1.2356792337662565,0.9089298829721244,0.8371221263230663,0.5143553704893703
2025-01-08,93.28018272478397,1.7185508859130474,1.5052817427478575,1.2356777247314716,0.908928772969809,0.8371211040137377,0.5142570448401074
2025-01-10,93.27927140954017,1.7185340962630506,1.5052670366639038,1.235665652585877,0.9089198930488855,0.8371129256289973,0.515228986269104
2025-01-16,93.27300659923353,1.7228147259766933,1.5051659401147663,1.2355826629698676,0.9088588482891242,0.837056703559452,0.517514519856572
2025-01-21,93.27232321628956,1.7228021034373084,1.5051549122218228,1.2355736102315833,0.9088521893568346,0.8370505706996333,0.5182433977632572
2025-01-23,93.2674259315541,1.722711647317503,1.5099600911120756,1.2355087361556276,0.9088044698640609,0.8370066211673247,0.5185825028293017
2025-01-24,93.25929529690083,1.7225614690652633,1.509828459583498,1.2354010300616263,0.9087252443784003,0.8369336546951495,0.5272548453152378
2025-01-27,93.25995571572315,1.7225736674419845,1.5098391514842895,1.2354097785953868,0.908731679546646,0.8369395814688491,0.526550425739693
2025-02-06,93.25911311404414,1.7225581040262263,1.509825510120273,1.2353986166948077,0.908723469175613,0.8369320197378664,0.5274491662010666
2025-02-07,93.25924975111992,1.7225606278042715,1.5098277222166114,1.2354004267190377,0.9087248005770533,0.8369332459552299,0.5273034256078715
2025-02-10,93.25790617059673,1.7225358109746731,1.5098059702174653,1.235382628377789,0.9087117086323265,0.8369211883072057,0.5287365228938168
2025-02-12,93.25883984109373,1.722553056492322,1.5098210859470425,1.2353949966622593,0.9087208063844365,0.8369295673139189,0.5277406461062855
2025-02-13,93.25881706842016,1.7225770546486683,1.50982071726711,1.235394694993838,0.9087205844858762,0.8369293629459053,0.5277405172384432
2025-02-19,93.25886261377843,1.7225534771190174,1.5098214546271547,1.235395298330828,0.9087210282831052,0.8369297716820321,0.5277163561794285
2025-02-20,93.2607983326282,1.722589231138978,1.5098527930948091,1.2354209406976644,0.9087398900660428,0.8369471433364741,0.5256516690378248
2025-02-24,93.26195980250998,1.7226106842634032,1.5101646320685844,1.2354363266287265,0.9087512075116528,0.836957566675294,0.5241197803423645
