date,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CLSA LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-10-21,17.096717413933817,2.7478043500986287,1.4386953638911097,1.5339564903950842,0.8968591486368733,0.8873635742782363,0.574856603327958,0.4675488422054303,0.0061663709012166786,0.3049296039145318,25.954897761582885
2024-10-22,17.073255056081184,2.7478043500986287,1.3835406399094772,1.531149347119933,0.8981141682056851,0.8860732495178414,0.5753225759401406,0.4569557314884788,0.0061663709012166786,0.30536451168590223,25.863746000948485
2024-10-23,17.20684629750986,2.7478043500986287,1.2956673383150337,1.532191976372112,0.8975860659118783,0.8870051947422066,0.590854996346228,0.46416277455690325,0.0061663709012166786,0.3071911243256581,25.935476489079722
2024-10-24,17.17674679662592,2.7478043500986287,1.3153017622234258,1.5318847450964794,0.8975239362302538,0.887968204807384,0.6065893382175944,0.4616465224511171,0.0061663709012166786,0.3058398037503285,25.93747183040235
2024-10-25,17.13255299107646,2.7477577528374106,1.317956439259871,1.5317760181536368,0.897042431197665,0.8861706843910487,0.614868118294039,0.46045052607984843,0.0061663709012166786,0.29078888837682987,25.885530220568025
2024-10-28,17.207155982907913,2.7477577528374106,1.3377582560629797,1.5307819432476473,0.8971511581405076,0.8848814934973436,0.6101773273314006,0.4587419598351788,0.0061663709012166786,0.2875426125119576,25.968114857273555
2024-10-29,17.141495455944433,2.7477577528374106,1.349383853361585,1.5290423121621655,0.8935378822462805,0.9149904070280459,0.6101773273314006,0.4587419598351788,0.0061663709012166786,0.2875368810488278,25.938830202696543
2024-10-30,17.152174243492347,2.7477577528374106,1.3825671143956848,1.5172677744842862,0.8888781561244542,0.912147818769528,0.6102549894334311,0.4731094487108096,0.0061663709012166786,0.28963383546575155,25.97995750461492
2024-10-31,17.15504612589575,2.7476052555338635,1.3854980510614727,1.5173765014271288,0.8916273945363318,0.900932650147733,0.6102549894334311,0.47178919297629224,0.0061663709012166786,0.2891523304331629,25.975448862346383
2024-11-01,17.28063357321885,2.7476052555338635,1.307343540239322,1.521150879585808,0.8876666273327795,0.9012277661354486,0.6102549894334311,0.46292018092441634,0.0061663709012166786,0.289469036485243,26.01443821979038
2024-11-04,17.301132919957556,2.7476052555338635,1.279115571754956,1.5204735883940006,0.8883500538306474,0.8982289838573269,0.6102239245926189,0.46293571334482236,0.0061663709012166786,0.28967102008020373,26.003903402247214
2024-11-05,17.303176085602615,2.7476052555338635,1.274242725292738,1.517073075594496,0.8861444501329828,0.8994904338481869,0.610068600388558,0.46281145398157375,0.0061663709012166786,0.2896088903985794,25.996387341674808
2024-11-06,17.31722129228724,2.7476052555338635,1.2805325634037625,1.5160110463492296,0.8859775698081398,0.8993505799348505,0.610068600388558,0.46304444028766495,0.0061663709012166786,0.289500210052998,26.015477928947522
2024-11-07,17.309122299976995,2.7476052555338635,1.268517055755703,1.5139613415551811,0.8845175222899676,0.8940558574019826,0.6099909382865276,0.4631531672305076,0.0061663709012166786,0.2895468849763183,25.98663669390826
2024-11-08,17.299205082534012,2.7476052555338635,1.301253728638287,1.509115226388482,0.8833681231799171,0.8937296765734548,0.6098356140824667,0.4629978430264467,0.0061663709012166786,0.2894608353672686,26.002737756225418
2024-11-11,17.304385129207024,2.7476052555338635,1.299948446157041,1.505371617954627,0.8784132810703752,0.8945373624345714,0.6101773273314006,0.46327742659375626,0.0061663709012166786,0.28950744816090723,25.99938966534478
2024-11-12,17.321545890906382,2.7476052555338635,1.3022514225982313,1.5052939558525966,0.880479092984385,0.8936986117326425,0.6101773273314006,0.4583381169046205,0.0061663709012166786,0.290790270762246,26.016346315507587
2024-11-13,17.31777642099255,2.7476052555338635,1.3073294057367526,1.507793619333389,0.8845330547103738,0.9035616986905082,0.6101773273314006,0.4587108949943667,0.0061663709012166786,0.2907436735010277,26.03439772172545
2024-11-14,17.313961549813875,2.7476052555338635,1.3398020896021146,1.5092138261932195,0.884579651971592,0.8945373624345714,0.6101773273314006,0.4541132985541648,0.0061663709012166786,0.2825139448082256,26.04267067714424
2024-11-15,17.320835251607964,2.7476052555338635,1.332663389183477,1.5066950578353278,0.8835005836611404,0.893605417210206,0.609711354719218,0.45487438715406303,0.0061663709012166786,0.2813033479617752,26.036960415768252
2024-11-18,23.16495962425599,2.7476052555338635,1.3171147063332242,1.5051589014571658,0.8833268380064778,0.8906196200355438,0.6095560305151572,0.4528396400808656,0.0061663709012166786,0.2820028660471837,31.859349853166684
2024-11-19,23.47574985890846,2.7476052555338635,1.6129434457564786,1.2623896556972853,0.8277183654275221,0.8614641330666284,0.5902802967912028,0.4245762887428144,0.02169879130730403,0.29981466914786437,32.12424076037942
2024-11-20,23.64878113095922,2.7476052555338635,1.684939600406342,1.23193753780529,0.8078086448998524,0.8402561973089975,0.5902802967912028,0.42140767497997267,0.02169879130730403,0.30483915863050715,32.29955428862255
2024-11-21,23.689316150622666,2.7476052555338635,1.7890642870826299,1.202660059206505,0.7993293568083858,0.7802622234904851,0.5856205706693766,0.4188603580333743,0.02169879130730403,0.2885048770209555,32.322921929775546
2024-11-22,23.735068712221985,2.7476052555338635,1.7945789331560276,1.1883584122609754,0.7946385658457473,0.7732881667281519,0.5856205706693766,0.4155985497480959,0.02169879130730403,0.2778206841907427,32.33427664166227
2024-11-25,23.905305297998755,2.7476052555338635,1.7388306532609965,1.1602463156328389,0.7835636860450601,0.7473460734901088,0.5581281865506019,0.4085623633041384,0.02169879130730403,0.28247609229969595,32.353762715423365
2024-11-26,23.963913702254942,2.7476052555338635,1.798777890026507,1.1266198680472923,0.7786709736171427,0.7578810463574804,0.549771744372127,0.4075838208185549,0.02169879130730403,0.2801243285260103,32.43264742086123
2024-11-27,23.991034380020977,2.7476052555338635,1.7673610690355102,1.1170760189260331,0.7739025205524738,0.749148905994223,0.5640022683646169,0.4076770153409914,0.02169879130730403,0.29285137635287256,32.43235760142887
