date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-02-04,47.82303294678968,30.39350379066908,9.357303169165517,7.853681226530405,2.7943651713255937,1.1125353655529528,0.6655783299667671
2025-02-12,47.824173409708074,30.39422860174645,9.357526318067269,7.853868517709149,2.7944318101325027,1.1101771402468608,0.6655942023896947
2025-02-13,47.82424469044654,30.394273903586615,9.357540265227014,7.8538802237044205,2.7944359751634655,1.1100297474306742,0.6655951944412637
2025-02-19,47.82454278546163,30.394273903586615,9.357540265227014,7.8538802237044205,2.7944359751634655,1.1097316524155874,0.6655951944412637
2025-02-25,47.82516474972315,30.399121980884768,9.359032851582928,7.855132966853862,2.794881705226151,1.100964384680234,0.6657013610489005
2025-03-14,47.82656471067827,30.398306308278638,9.358781728977423,7.854922197056544,2.7948067126508476,1.100934843481989,0.6656834988762887
2025-03-18,47.74578296889493,30.346961869352256,9.342974223386955,7.841654794296395,2.790086127855316,1.099075302977994,0.8334647132361539
2025-03-21,47.74585402212569,30.347007030402107,9.342988127201329,7.841666463911448,2.7900902799420804,1.0877669438437088,0.8446271325736354
2025-03-24,47.746564566064734,30.34745864829344,9.343127167621116,7.842527251646252,2.790131801489414,1.085550862744855,0.8446397021401892
2025-03-26,47.74764818628985,30.348147391457918,9.343339212229072,7.842705239763788,2.7901579189004497,1.0833431799094317,0.8446588714494891
2025-03-27,47.747719245072204,30.348192556036324,9.343353117129789,7.842716911398011,2.790162071256258,1.0831959706236383,0.8446601284837765
2025-04-10,47.74764818628985,30.348147391457918,9.343339212229072,7.842705239763788,2.7901579189004497,1.0833431799094317,0.8446588714494891
2025-04-15,47.74899427805262,30.34805706270439,9.343311402551798,7.84268189659956,2.79014961422591,1.0821493884735807,0.8446563573921391
2025-04-23,47.750182246879874,30.349095875835435,9.343631223835656,7.842950351378063,2.7902451209679344,1.079209911147782,0.8446852699552551
2025-04-29,47.749471610768296,30.353853040413263,9.343492168413277,7.842833629650967,2.7864830017804256,1.0791938499413374,0.8446726990324332
2025-04-30,47.750253311654404,30.364023661729288,9.34364512960554,7.8429620237418565,2.782063833412529,1.0723655127882588,0.844686527068117
