date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2024-07-30,519922985.0,2209606000.0,294107060.0,59258787.0,135748400.0,0.0,0.0,0.0
2024-07-31,522756985.0,2205768000.0,297477060.0,74875664.0,138480400.0,0.0,0.0,0.0
2024-08-01,486914985.0,2237746000.0,297797060.0,55138001.0,143564400.0,0.0,0.0,0.0
2024-08-02,487092985.0,2213186000.0,298617060.0,60221671.0,144604400.0,0.0,0.0,0.0
2024-08-05,497291995.0,2222766000.0,298637060.0,50668442.0,145028400.0,0.0,0.0,0.0
2024-08-06,497063995.0,2211702000.0,298751060.0,58139386.0,146834400.0,0.0,0.0,0.0
2024-08-07,560162983.0,2196006000.0,298043060.0,98824499.0,143690400.0,0.0,0.0,0.0
2024-08-08,544496648.0,2181744000.0,297395060.0,117635708.0,139838400.0,0.0,0.0,0.0
2024-08-09,491757574.0,2163472000.0,296641060.0,115993060.0,138740400.0,0.0,15377688230.0,0.0
2024-08-12,649756163.0,2164056000.0,296571060.0,110433577.0,134064400.0,0.0,0.0,0.0
2024-08-13,654206222.0,2080586000.0,295043060.0,88305126.0,132322400.0,1832384262.0,0.0,0.0
2024-08-14,640132689.0,1991034000.0,294577060.0,147530981.0,124926400.0,0.0,0.0,0.0
2024-08-15,632525801.0,2016320000.0,294067060.0,153929424.0,123768400.0,0.0,0.0,0.0
2024-08-16,641075325.0,2010358000.0,294041060.0,163491218.0,121992400.0,0.0,0.0,0.0
2024-08-19,642174112.0,2054222000.0,294381060.0,163794521.0,122410400.0,0.0,0.0,0.0
2024-08-20,672562668.0,2034850000.0,294319060.0,150234900.0,134728400.0,0.0,0.0,0.0
2024-08-21,685721261.0,2046364000.0,293555060.0,133508138.0,153212400.0,0.0,0.0,0.0
2024-08-22,686041261.0,2004330000.0,293173060.0,160742715.0,146160400.0,0.0,15377678230.0,0.0
2024-08-23,704491538.0,2027074000.0,293101060.0,141112265.0,132396400.0,0.0,0.0,0.0
2024-08-26,700749539.0,2027988000.0,293131060.0,144018465.0,135444400.0,0.0,0.0,0.0
2024-08-27,684090242.0,2029358000.0,293081060.0,140050283.0,139604400.0,1524123493.0,0.0,0.0
2024-08-28,684351243.0,2007154000.0,293381060.0,144665816.0,137472400.0,0.0,0.0,0.0
2024-08-29,690224313.0,2017746000.0,293119060.0,140061816.0,132672400.0,1512123493.0,0.0,0.0
2024-08-30,687833313.0,2033328000.0,292921060.0,139963616.0,126982400.0,1492123493.0,0.0,0.0
2024-09-02,695896313.0,2031942000.0,292800060.0,142167146.0,126634400.0,1483123493.0,15377734230.0,0.0
2024-09-03,695955577.0,2044950000.0,292640060.0,137692446.0,123124400.0,1474123493.0,0.0,0.0
2024-09-04,693500866.0,2061684000.0,292280060.0,144196757.0,121866400.0,1460123493.0,0.0,0.0
2024-09-05,696306866.0,2061602000.0,291884060.0,145786757.0,121230400.0,0.0,0.0,0.0
2024-09-09,706174866.0,2077732000.0,291634060.0,134176246.0,119084400.0,0.0,0.0,0.0
2024-09-10,717898866.0,2059552000.0,291294060.0,137798757.0,117336400.0,0.0,15378334230.0,0.0
2024-09-11,737375629.0,2020082000.0,291078060.0,140790657.0,122880400.0,0.0,0.0,0.0
2024-09-12,746577629.0,2009108000.0,292368060.0,160777275.0,114292400.0,6978765659.0,10204257845.0,0.0
2024-09-13,772529135.0,1971396000.0,303200060.0,72057794.0,162968400.0,0.0,10204857845.0,0.0
2024-09-16,806333470.0,1979394000.0,302746060.0,88152301.0,166280400.0,6969989659.0,0.0,0.0
2024-09-17,808310683.0,2024942000.0,303062060.0,69741290.0,133678400.0,0.0,0.0,0.0
2024-09-23,788519198.0,2043044000.0,304702060.0,75007111.0,101210400.0,0.0,0.0,0.0
2024-09-24,786742254.0,2001734000.0,306320060.0,72513016.0,104346400.0,0.0,0.0,0.0
2024-09-25,768039407.0,1995232000.0,313128060.0,78297467.0,121752400.0,6959989659.0,0.0,0.0
2024-09-26,794717896.0,1978616000.0,313172060.0,57690829.0,122440400.0,0.0,0.0,0.0
2024-09-27,803287339.0,1930684000.0,310108441.0,52822829.0,125128400.0,0.0,0.0,0.0
2024-09-30,798728141.0,1892458000.0,309298441.0,54230829.0,118218400.0,0.0,0.0,0.0
2024-10-02,788052035.0,1795978000.0,307518441.0,110982069.0,109180400.0,0.0,0.0,0.0
2024-10-03,765762358.0,1758644000.0,306198441.0,146791791.0,97852400.0,0.0,0.0,0.0
2024-10-04,780361704.0,0.0,302754441.0,176797732.0,93750400.0,0.0,10204873845.0,0.0
2024-10-10,860233300.0,1801030000.0,290702441.0,121765940.0,76050400.0,0.0,0.0,0.0
2024-10-14,876360800.0,1812682000.0,293140441.0,104580165.0,75366400.0,0.0,0.0,0.0
2024-10-15,821523928.0,1870114000.0,294268441.0,98607696.0,79786400.0,0.0,0.0,0.0
2024-10-16,809565619.0,1834492000.0,295094441.0,114361812.0,83918421.0,0.0,10204823845.0,0.0
2024-10-17,828480615.0,1831852000.0,295620441.0,111268812.0,85264421.0,0.0,0.0,0.0
2024-10-18,842807877.0,1822288000.0,295920441.0,115184324.0,87568400.0,0.0,0.0,0.0
2024-10-21,837793694.0,1840560000.0,297290441.0,108154197.0,89964400.0,0.0,10203623845.0,0.0
2024-10-22,831919896.0,1807852000.0,297490441.0,124340001.0,94842400.0,0.0,0.0,0.0
2024-10-23,834105970.0,1802532000.0,297140441.0,117091104.0,97188400.0,0.0,0.0,0.0
2024-10-24,835502999.0,1788172000.0,297850441.0,128759268.0,97926400.0,0.0,0.0,0.0
2024-10-25,832148514.0,1789658000.0,297682441.0,128003268.0,97242400.0,0.0,0.0,0.0
2024-10-28,832053885.0,1821652000.0,298260441.0,111496281.0,97908400.0,0.0,0.0,0.0
2024-10-29,852208939.0,1818624000.0,298380441.0,96092596.0,96826400.0,0.0,0.0,0.0
2024-10-30,844835800.0,1813998000.0,298660441.0,104523175.0,96862400.0,0.0,0.0,0.0
2024-10-31,843435770.0,1839632000.0,299372441.0,87563905.0,97349400.0,0.0,0.0,0.0
2024-11-01,841168860.0,1860496000.0,299682441.0,79936161.0,96220400.0,0.0,0.0,0.0
2024-11-04,839976469.0,1864078000.0,299662441.0,79900161.0,99496400.0,0.0,0.0,0.0
2024-11-05,838754009.0,1865706000.0,300082441.0,85109088.0,97320400.0,0.0,10203701845.0,0.0
2024-11-06,828084129.0,1864430000.0,300144441.0,91479481.0,97068400.0,0.0,0.0,0.0
2024-11-07,826123129.0,1838282000.0,299694441.0,99498149.0,97102400.0,0.0,0.0,0.0
2024-11-08,825152129.0,1828074000.0,301458441.0,95129149.0,96484400.0,0.0,0.0,0.0
2024-11-11,880729867.0,1810594000.0,299312441.0,121416937.0,93970400.0,0.0,10203601845.0,0.0
2024-11-12,881961452.0,1858590000.0,299702441.0,99482924.0,93650400.0,0.0,0.0,0.0
2024-11-13,880300770.0,1859294000.0,300136441.0,94769838.0,94296400.0,0.0,10203487845.0,0.0
2024-11-14,888238969.0,1880436000.0,300540441.0,78737736.0,91632400.0,0.0,0.0,0.0
2024-11-15,880580608.0,1899516000.0,300590441.0,75377736.0,90368400.0,0.0,10203587845.0,0.0
2024-11-18,963341989.0,1913012000.0,301420441.0,72722665.0,90900400.0,0.0,0.0,0.0
2024-11-19,943415168.0,1919262000.0,302506441.0,78308280.0,92830400.0,0.0,0.0,0.0
2024-11-20,944103457.0,1924148000.0,302496441.0,78178280.0,90444400.0,0.0,0.0,0.0
2024-11-21,942732698.0,1932224000.0,302266441.0,75908280.0,89762400.0,0.0,0.0,0.0
2024-11-22,949843148.0,1928934000.0,301906441.0,71443580.0,88202400.0,0.0,0.0,0.0
2024-11-25,950491169.0,1927230000.0,301916441.0,71581846.0,88662400.0,0.0,0.0,0.0
2024-11-26,945672433.0,1933744000.0,302886441.0,69446599.0,89356400.0,0.0,0.0,0.0
2024-11-27,950107546.0,1914276000.0,303616441.0,74987749.0,87032400.0,0.0,0.0,0.0
2024-11-28,965092111.0,1910376000.0,303516441.0,72144577.0,86612400.0,0.0,0.0,0.0
2024-11-29,966644195.0,1902570000.0,303866441.0,70773210.0,86960400.0,0.0,0.0,0.0
2024-12-02,963828884.0,1910340000.0,303754441.0,67367037.0,87082400.0,0.0,0.0,0.0
