date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CLSA LTD,DBS BANK (HONG KONG) LTD,HANG SENG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD
2024-08-02,68.26956988282468,13.26967620467879,3.4121740858493563,4.500347748678311,1.9524225362687588,2.49170502009233,2.4891836150564273,2.0850467557136874,0.12112458624467545,1.4087495645929768
2024-08-05,68.29874962555338,13.241829870956392,3.4286222025455824,4.495626745777654,1.950834957642395,2.4893985015739886,2.4864168252264918,2.0831166721304055,0.11990221100807706,1.4055023875856392
2024-08-06,68.27541269955131,13.256519220326297,3.4179365054413857,4.498726547958953,1.9600114255021661,2.4897674079352767,2.487432425683516,2.083967540827394,0.12411633470437711,1.4061098920693305
2024-08-07,68.29855904351797,13.273153570783759,3.374251744431636,4.50424974380419,1.9565832405601773,2.4912295128567523,2.487968360884382,2.0843389871113596,0.1199725662938493,1.40969322975593
2024-08-08,68.32605351921889,13.196073472904313,3.386734447633239,4.456489711574362,2.0338124969616818,2.492960827838494,2.4909008834169013,2.086640474612826,0.12075378073480034,1.409580385104492
2024-08-09,68.29386019847999,13.181385929374118,3.375863069684964,4.454391970529737,2.078458710253902,2.490669589366599,2.4884263534155826,2.084722678360652,0.1224946458586543,1.4297268546758084
2024-08-12,71.29978838216627,12.01221928437343,3.0449497889561514,4.027804191345513,1.8273529983270544,2.249386424751657,2.247193256829562,1.8827655471029017,0.11029350917022654,1.2982466169772267
2024-08-13,71.23608425167404,12.02480474371808,3.0485414442064784,4.030038291118112,1.8594809043106342,2.251148195429399,2.2480327415647543,1.8842401719594626,0.11155152581752775,1.3060777302015112
2024-08-14,71.15533859185734,12.039866109183611,3.1172779474394985,4.031946466124917,1.8750892803115353,2.2544648285384246,2.249087476494461,1.885503645662502,0.10398081000575861,1.2874448443819502
2024-08-15,71.25004476000478,11.947809372272502,3.1234003334065297,4.0346957207982355,1.884131837586871,2.254124273844734,2.251172298578967,1.8871811868912687,0.08161528231804602,1.2858249342980614
2024-08-16,71.22292251795072,11.958396121906045,3.125405461394932,4.034134880144469,1.8678531226147062,2.2536237138948976,2.2506723941566924,1.8867621118068982,0.07967021740276418,1.3205594587278764
2024-08-19,71.1629299475619,11.96188743246854,3.123085513496216,4.0338200999854275,1.8491934298151511,2.25344786552786,2.250496776078658,1.8866148893427828,0.07999909484397534,1.3985249508794861
2024-08-20,71.24725992890775,11.90569953896161,3.121340154265918,4.031005308772874,1.8547693746847256,2.2515013447547654,2.2485528044468164,1.8849852376747263,0.08001369303893476,1.3748726144918841
2024-08-21,71.21275213636231,11.989088992454894,3.1254056829462606,4.034252104824566,1.8211492096861384,2.2487854592711813,2.245840475655676,1.8827114641965546,0.07974997573149413,1.360264498870918
2024-08-22,71.42521775312251,11.879788939360672,3.1280297529491796,4.024208352145515,1.722326302960903,2.2517727539102137,2.24899128064175,1.8852124648325432,0.07943735969970536,1.355015040377006
2024-08-23,71.40844827834113,11.876742529639166,3.1375025233495517,4.020623849154055,1.733504091778861,2.2497202227507374,2.246941284844931,1.883494059935964,0.07944858605745858,1.363574574148152
2024-08-26,71.41378024434329,11.874113236049064,3.134058166412689,4.043778943791346,1.6817713183512155,2.2540025221496878,2.2520562358897807,1.8870792548411908,0.07951602079078506,1.37984405738096
2024-08-27,71.2082231246085,11.978118850573248,3.113507593627183,4.043171679165649,1.8058274537866668,2.253664032826468,2.252220728124492,1.8867958673234055,0.07950407966658571,1.3789665902978043
2024-08-28,71.48450400271359,11.944643991794933,3.1132020934417537,3.927654329976186,1.755641199868643,2.254523321505389,2.252408958563245,1.8875152746106543,0.08255167907598322,1.297355148449626
2024-08-29,71.52280474848747,12.076577042114913,3.084278529247674,3.925563733779563,1.646182796811722,2.2515455737157057,2.248178461529437,1.8835156164733013,0.08060118438378316,1.2807523134564271
2024-08-30,71.47386802513942,12.015646499391694,3.0966929192414545,4.004907143951323,1.6900786664545988,2.248252533588688,2.2446396049246835,1.8765818269380625,0.07872811183787037,1.270604668532191
2024-09-02,71.60540567014866,12.004874921299528,3.0244289093135017,4.004585208221847,1.6343691721376599,2.2480718070965544,2.244375595207368,1.881749938795672,0.0778860467376888,1.2742527310415162
2024-09-03,71.48029196131696,12.029050166781603,3.030500662416622,4.024711206005371,1.6342490146311153,2.247791589590098,2.2446807810662865,1.881515382553314,0.07804346487149619,1.3491657707671263
2024-09-04,71.58358336123956,11.924387579256743,3.0331147110493677,4.023300043208349,1.6335403409097962,2.2468168600254583,2.2437074004688076,1.8806994845500504,0.0773414062154681,1.3535088130763961
2024-09-05,71.5944676164321,11.925933339889978,3.0215271135106008,4.02268786918257,1.6314360247941802,2.24656827187536,2.2434591563497746,1.8804914036805886,0.07741636690744894,1.3560128373774005
