date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,VICTORY SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,RIFA SECURITIES LTD,DBS BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-11-06,1412.8313876310062,78.94860444639528,57.23859501833903,59.186500028699015,41.947987215686744,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3623624584343
2024-11-07,1412.8313876310062,79.12000838041826,56.97720401895398,59.375044356124306,41.86228524867525,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.375217753486
2024-11-08,1412.8313876310062,79.12000838041826,56.97720401895398,59.186500028699015,41.86228524867525,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.186673426061
2024-11-11,1412.8313876310062,79.12000838041826,56.97720401895398,59.17535877298752,41.9222766255833,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.2355235472573
2024-11-12,1412.8313876310062,79.12000838041826,56.97720401895398,59.179643871338094,41.9222766255833,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.2398086456078
2024-11-13,1412.8313876310062,79.12000838041826,56.97720401895398,59.458175264125444,41.9222766255833,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.518340038395
2024-11-14,1412.8313876310062,79.67707116599297,56.97720401895398,58.632008302134665,41.9222766255833,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.2492358619793
2024-11-15,1412.8313876310062,79.80562411651022,56.97720401895398,58.60201261368064,42.093680559606284,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.5191970580654
2024-11-18,1412.8313876310062,80.59408221301594,56.97720401895398,58.60201261368064,42.093680559606284,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1737.3076551545712
2024-11-20,1412.8313876310062,80.6026524097171,56.97720401895398,58.25920474563466,42.13653154311203,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1737.016268466732
2024-11-22,1412.8313876310062,80.6026524097171,56.97720401895398,57.87354589408296,42.13653154311203,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.6306096151802
2024-11-27,1412.8313876310062,80.6026524097171,56.97720401895398,58.216353762128925,42.05082957610053,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.887715516215
2024-12-03,1412.8313876310062,80.6026524097171,56.97720401895398,58.13065179511743,42.05082957610053,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.8020135492031
2024-12-04,1412.8313876310062,80.6026524097171,56.97720401895398,58.13665093280823,42.05082957610053,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.8080126868942
2024-12-05,1412.8313876310062,80.60093837037687,56.97720401895398,58.13665093280823,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.7674471177427
2024-12-06,1412.8313876310062,80.60093837037687,56.97720401895398,58.12636669676685,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.7571628817013
2024-12-09,1412.8313876310062,80.44238981710757,56.97720401895398,57.612154894697895,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.0844025263632
2024-12-11,1412.8313876310062,80.43381970610838,56.97720401895398,57.612154894697895,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.075832415364
2024-12-12,1412.8313876310062,80.43381979181035,56.97720401895398,57.783558828720885,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.247236435089
2024-12-13,1412.8313876310062,80.43381987751232,56.97720401895398,57.783558828720885,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.2472365207907
2024-12-16,1412.8313876310062,80.43381996321428,56.97720401895398,57.783558828720885,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.2472366064928
2024-12-17,1412.8313876310062,80.43381953470444,56.97720401895398,57.612154894697895,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.0758322439601
2024-12-20,1412.8313876310062,80.43810463305502,56.97720401895398,57.612154894697895,42.011978046289315,26.666823855501093,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.0801173423106
2025-01-02,1412.8313876310062,80.43810463305502,56.97720401895398,57.612154894697895,42.011978046289315,26.919644658185,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3329381449944
2025-01-14,1412.8313876310062,80.43724761338491,56.97720401895398,57.612154894697895,42.011978046289315,26.919644658185,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.3320811253243
2025-01-15,1412.8313876310062,80.43467655437456,56.97720401895398,57.612154894697895,42.011978046289315,26.919644658185,0.0,25.213661559960126,19.548058784370973,14.780743918475721,1736.329510066314
2025-01-20,70.64156934726952,4.021733806293237,2.8488601366712234,2.880607744734895,2.100598748050925,1.3459820443649224,1.3956936417338728,1.260683048002318,0.9774029092228601,0.7390371145069176,88.2121685408507
2025-01-21,70.64156934726952,4.038874199695535,2.8488601366712234,2.8754656267142056,2.100598748050925,1.3459820443649224,1.3956936417338728,1.260683048002318,0.9774029092228601,0.7390371145069176,88.22416681623231
