date,CITIBANK N.A.,MIRAE ASSET SECURITIES (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,ABN AMRO CLEARING HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2024-07-10,79.80457121714122,6.727324711145495,0.3985939891353706,0.6222775357809583,11.549134697859028,0.7046872634924906,0.11268268891168705,0.0706369094670277,0.010090987066718243,0.0
2024-07-11,79.52537238071194,6.732306656568207,0.39888916940166624,0.8920306319952874,11.557687452663469,0.6984768156189514,0.11276613649751747,0.07237229655810822,0.01009845998485231,0.0
2024-07-12,78.37126541421833,8.276090374906895,0.3922866837705868,0.7117437722419928,11.366382520897128,0.6869155011172722,0.11089961102375238,0.0711743772241993,0.01324174459985103,0.0
2024-07-15,78.3729206322933,8.276090374906895,0.3922866837705868,0.7117437722419928,11.366382520897128,0.6836050649673094,0.11089961102375238,0.07282959529918066,0.01324174459985103,0.0
2024-07-16,78.30455726795677,8.27691238060554,0.3592179973182804,0.5462762171199655,11.571123508086544,0.6803621976857753,0.11091062590011423,0.13739674551805195,0.013243059808968862,0.0
2024-07-17,78.30585352933386,8.277049397430805,0.3592239438484969,0.5446298503509469,11.571315057608263,0.6803734604688121,0.11091246192557278,0.13739901999735135,0.013243279035889286,0.0
2024-07-18,78.1416061052527,8.277186418792525,0.3592298905755955,0.5446388663565481,11.737050341847798,0.6770738490572284,0.11091429801181982,0.1390567318357144,0.013243498270068038,0.0
2024-07-19,78.12805110129243,8.274172996409009,0.34586043124989657,0.5791921097486307,11.732777308907973,0.6768273511062569,0.11087391815188072,0.13900610633967136,0.013238676794254415,0.0
2024-07-22,78.45901802114878,8.274172996409009,0.34586043124989657,0.41370864982045047,11.567293848979794,0.6768273511062569,0.11087391815188072,0.13900610633967136,0.013238676794254415,0.0
2024-07-23,78.45901802114878,8.274172996409009,0.23333167849873404,0.526237402571613,11.567293848979794,0.6768273511062569,0.11087391815188072,0.13900610633967136,0.013238676794254415,0.0
2024-07-25,78.45382489699337,8.286863137689673,0.23331623450763656,0.5262025714427547,11.566528221336025,0.6701636523091689,0.11086657951781312,0.1389969056641239,0.013237800539440372,0.0
2024-07-26,78.46706269753281,8.273625337150232,0.23331623450763656,0.5262025714427547,11.566528221336025,0.6701636523091689,0.11086657951781312,0.1389969056641239,0.013237800539440372,0.0
2024-07-30,78.40914732017275,8.273625337150232,0.23331623450763656,0.5262025714427547,11.698906226730427,0.6701636523091689,0.044677576820611256,0.1389969056641239,0.00496417520229014,0.0
2024-07-31,78.4174209455099,8.273625337150232,0.23331623450763656,0.5262025714427547,11.698906226730427,0.6618900269720186,0.044677576820611256,0.1389969056641239,0.00496417520229014,0.0
2024-08-01,78.43039902024064,8.274994621253496,0.2333548483193486,0.5130496665177168,11.700842394452444,0.6586895718517783,0.04468497095476888,0.13901990963705874,0.004964996772752098,0.0
2024-08-02,78.44694900948315,8.274994621253496,0.23500984724359927,0.489879681578207,11.700842394452444,0.6570345729275275,0.04468497095476888,0.14563990533406151,0.004964996772752098,0.0
2024-08-05,78.6451954586078,8.275131574592036,0.2366687630333322,0.6222898944093211,11.361755651914866,0.6570454470226077,0.044685710502796995,0.15226242097249346,0.0049650789447552215,0.0
2024-08-06,78.64389388146897,8.274994621253496,0.23500984724359927,0.7646095030038231,11.21923770749549,0.6537245750790263,0.04964996772752097,0.15391489995531502,0.004964996772752098,0.0
2024-08-07,78.64548024934275,8.267332462507646,0.22321797648770647,0.8101985813257495,11.208849352667869,0.649812331553101,0.04960399477504588,0.14054465186263,0.004960399477504589,0.0
2024-08-08,69.57571348258871,8.267469162340024,0.2281821488805847,0.6068322365157578,20.485135090446114,0.6432091008300539,0.04960481497404015,0.1388934819273124,0.004960481497404015,0.0
2024-08-09,70.22821233669589,8.26856292376385,0.22821233669588228,0.603605093434761,19.81313047792294,0.639986770299322,0.0496113775425831,0.16371754589052423,0.0049611377542583095,0.0
2024-08-12,70.22821233669589,8.26856292376385,0.22821233669588228,0.5837605424177278,19.81313047792294,0.639986770299322,0.0496113775425831,0.16371754589052423,0.02480568877129155,0.0
2024-08-16,75.74549799408445,8.281378723680536,0.22856605277358277,0.7287613276838872,14.136313481322677,0.6409787132128735,0.049688272342083215,0.16397129872887461,0.024844136171041607,0.0
2024-08-19,75.74675256917467,8.281515888419493,0.228569838520378,0.7287733981809154,14.136547621532076,0.6409893297636687,0.04968909533051696,0.16231771141302206,0.02484454766525848,0.0
2024-08-21,75.75177128515446,8.282064592815608,0.2617132411329732,0.6874113612036954,14.145766324529058,0.6344061478096754,0.04969238755689364,0.1623284660191859,0.02484619377844682,0.0
2024-08-22,75.59659127620384,8.28357390488668,0.2617609353944191,0.6626859123909343,14.314015707644181,0.6345217611143196,0.04970144342932007,0.17229833722164292,0.024850721714660035,0.0
2024-08-23,75.1306058645384,10.837911447760725,0.28539833479103244,0.3504258034775968,12.362444324745733,0.6918200140820596,0.05418955723880362,0.18966345033581267,0.09754120302984653,0.0
