date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-09-24,0.0,0.0,56.293499999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,248.72051100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,0.0,0.0,56.3235,52.811597,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,248.792511,110.286,55.503,53.099596999999996,59.389351000000005,0.0,0.0,601.0844999999999,0.0,0.0
2024-09-30,249.542511,110.28750000000001,55.446,53.312597,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-02,249.530511,0.0,55.509,52.990097000000006,59.359351000000004,0.0,0.0,0.0,0.0,0.0
2024-10-03,249.34901100000002,110.157,55.954499999999996,53.974097,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,249.242511,110.127,56.730000000000004,54.673097000000006,59.879850999999995,0.0,0.0,600.945,0.0,0.0
2024-10-07,247.16501100000002,110.51550000000002,55.9215,56.425097,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,247.31501100000003,109.97550000000001,56.3835,56.146097,60.052351,0.0,0.0,0.0,87.98700000000001,0.0
2024-10-09,246.953511,110.832,56.645999999999994,56.248096999999994,59.878350999999995,0.0,0.0,601.245,0.0,0.0
2024-10-10,247.388511,0.0,57.597,0.0,60.01035099999999,0.0,0.0,0.0,0.0,0.0
2024-10-14,247.688511,0.0,59.4645,0.0,60.304351,0.0,0.0,0.0,0.0,0.0
2024-10-15,247.79351100000002,0.0,59.479499999999994,56.231597,60.370351,0.0,0.0,0.0,0.0,0.0
2024-10-16,0.0,110.8215,61.1295,56.20009700000001,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,0.0,110.721,61.2645,0.0,60.064351,0.0,0.0,0.0,88.077,0.0
2024-10-18,247.81451099999998,110.691,61.266,56.140097,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0,0.0,60.134851,0.0,0.0,0.0,0.0,0.0
2024-10-22,0.0,0.0,61.3515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,0.0,0.0,62.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,247.709511,110.541,63.2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,0.0,109.3455,0.0,56.122097000000004,0.0,0.0,0.0,0.0,89.3265,0.0
2024-10-29,0.0,0.0,63.168,0.0,0.0,600.966617,0.0,0.0,89.56349999999999,0.0
2024-10-30,0.0,0.0,62.808,0.0,0.0,0.0,0.0,0.0,89.9235,0.0
