date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-05-02,14.514408284020478,8.721398025966497,6.134666748626212,2.121839710662053,5.4902191333358354,2.6962983084889593,1.717616989217859,0.5196401900813656,0.9502339632350593,0.17056773725394656,43.036889090888266
2024-05-03,14.501585135928021,8.700814947054146,6.136097657855413,2.108961527599244,5.525997477632836,2.6962983084889593,1.71805726898069,0.5196401900813656,0.9572784394403563,0.17640144411145817,43.0411323971725
2024-05-06,14.54952604356832,8.700814947054146,6.145013323052742,2.108961527599244,5.505208127651597,2.6956736065404723,1.7175069192771513,0.5199703999034889,0.9585992787288494,0.17981361227339893,43.08108778564941
2024-05-07,14.54355750103344,8.700814947054146,6.145453602815573,2.108961527599244,5.503964337321599,2.6956736065404723,1.7205888776169687,0.5254738969388772,0.9570582995589407,0.17684172387428923,43.07838832035355
2024-05-08,14.528037639393645,8.634993122510902,6.153158498665117,2.1896427941380368,5.497883908691992,2.689116244857777,1.7131041216488407,0.5287759951601102,0.9397773188678213,0.17915319262915233,43.05364283656339
2024-05-09,14.496612671321579,8.599880811425125,6.160092904929707,2.17027048457347,5.5250228083078685,2.6881256153914075,1.7156357302851193,0.5221717987176443,0.9694962028589182,0.1733194857716407,43.02062851358247
2024-05-10,14.572431323054754,8.605604448341927,6.158992205522629,2.200979998030937,5.530888105238364,2.688585212428833,1.711040200190629,0.5221717987176443,0.888044446735171,0.1682370062594596,43.04697474452035
2024-05-13,14.538865879880714,8.611548225140147,6.159872765048291,2.2516121707565095,5.537045252616645,2.6933182198792665,1.712140899597707,0.5216214490141053,0.8876041669723401,0.15392791396744993,43.067556942873175
2024-05-14,14.557887946893949,8.663391167213504,6.159872765048291,2.2780289565263736,5.4990998513269895,2.687924792784586,1.7085085915543505,0.5216214490141053,0.8878243068537557,0.15392791396744993,43.11808774118335
2024-05-16,14.54489969389043,8.591955775694165,6.159982834988999,2.3138016872563973,5.498343560764387,2.689795981776618,1.7140120885897387,0.5199703999034889,0.9184237503705147,0.15458833361169655,43.10577410684644
2024-05-17,14.533084236105157,8.590084586702133,6.159982834988999,2.322387142631603,5.512832507339513,2.6901261915987416,1.71544299781894,0.5196401900813656,0.9178734006669758,0.15458833361169655,43.116042421545124
2024-05-20,14.51311809921047,8.599440531662292,6.171980458526145,2.3040054625334063,5.507818821540274,2.704105074068628,1.71544299781894,0.5196401900813656,0.9436297667925931,0.15414805384886549,43.13332945608298
