date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MORGAN STANLEY HONG KONG SECURITIES LTD,DEUTSCHE BANK AG
2024-11-06,83.25590698856568,6.704021659519752,6.102315024825989,0.5992251983476482,0.968341514364601,0.7259771891964603,0.7894443232235753,0.4477196031061621,0.2623194450799757,0.14472905377014494
2024-11-07,83.24647460560368,6.708181417211207,6.099837857106227,0.6004898320358586,0.994011107497269,0.7244207426868208,0.7749000750355315,0.4497954615485053,0.25697731025905773,0.14491159101584009
2024-11-08,83.22615855742636,6.686407457139731,6.061979576394165,0.6013231235960987,1.0368933066688468,0.7496561227522573,0.7844182182838123,0.44944853130323653,0.2588888284659299,0.14482627796956685
2024-11-11,83.54281795669002,6.7165825149698986,5.967760530514205,0.5976636349298056,0.8175924390519245,0.7409328391100733,0.7812633744043236,0.4503873922676105,0.23987050992608966,0.14512880813605095
2024-11-12,83.49563586568595,6.777892756895359,5.975871978985255,0.603865442458385,0.8156262456717682,0.7373308037538983,0.7423367975960938,0.45125454982078694,0.2560603231445196,0.14412523598798074
2024-11-13,83.39003287887485,6.829394294631809,5.963803201389388,0.6052313385528298,0.8304820429082588,0.7523034129112283,0.7594894860980157,0.4511921872494628,0.2750071605315946,0.14306399685256177
2024-11-14,83.396934965103,6.823248521408158,6.027076148254603,0.604106695673656,0.858860627671192,0.7599233469061416,0.7018926106329563,0.45063665933782904,0.23340017686269274,0.1439202481497788
2024-11-15,83.33186778659098,6.829689214186447,5.99098869507778,0.6079689287787807,0.8827534924926096,0.7407563912828332,0.7821948321782504,0.45049061035358634,0.23906782623120482,0.14422222282753633
2024-11-18,83.43962907940809,6.827471132659604,5.866157984870647,0.6132419593159664,0.8875524364917304,0.7481528099138818,0.7883340707926163,0.4494411161927167,0.2382195391850141,0.1417998711697267
2024-11-19,83.4354827345133,6.889770064784924,5.89832514134295,0.5941845313915484,0.8552487854234674,0.7333118046774828,0.7756308524958804,0.4660537295354363,0.2108105465085464,0.14118180932646424
