date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,DBS VICKERS (HONG KONG) LTD
2024-08-13,0.0,499.28055306122445,125.25535510204082,104.70242346938777,90.47045918367347,74.14045714285714,0.0,40.792364285714285,52.10628979591837,70.97098265306123
2024-08-14,543.3160040816326,499.23679795918366,123.13656326530614,104.84936224489796,91.88168367346938,73.99555918367346,0.0,40.875017346938776,51.51955102040816,0.0
2024-08-15,543.3486571428572,498.0288336734694,124.64321632653062,105.07385204081632,91.99801020408164,73.8414775510204,0.0,40.92093571428572,51.66498265306122,0.0
2024-08-16,0.0,500.4372132653061,122.20060102040817,105.1891581632653,91.9459693877551,72.99351836734694,0.0,41.19950714285714,51.66539591836735,71.0220030612245
2024-08-19,0.0,499.0323112244898,122.25652346938776,105.07487244897959,92.20311224489795,74.02004897959183,76.65360204081632,41.254609183673466,51.747028571428565,0.0
2024-08-20,543.3282489795919,500.57729897959183,120.4456418367347,105.15242346938776,92.73270408163266,74.28025306122449,76.65870408163265,41.58930306122449,51.19192653061224,71.07302346938775
2024-08-21,0.0,500.0624010204081,118.85142959183675,104.8922193877551,93.86331632653061,74.29351836734693,76.55666326530613,41.57603775510204,50.94192653061225,0.0
2024-08-22,543.3537591836734,501.2032571428572,119.61030714285714,104.73405612244898,94.3520918367347,74.30474285714286,0.0,37.850527551020406,51.152130612244896,0.0
2024-08-23,0.0,505.36982755102036,118.48619591836736,104.91262755102039,94.49801020408162,74.11290612244899,76.69339795918367,38.20154795918367,51.14974795918368,0.0
2024-08-26,543.3211061224489,504.70860306122444,118.10938469387754,105.03813775510204,94.53678571428571,74.22004897959184,76.77605102040816,37.77399693877551,51.54770714285715,71.17506428571429
2024-08-27,0.0,503.8761,119.89925102040817,105.02997448979592,94.9429081632653,73.05270204081633,0.0,37.7386387755102,51.250420408163265,0.0
2024-08-28,543.6272285714285,501.50185612244894,122.45005612244897,104.9830357142857,94.88576530612245,73.06290612244898,76.77401020408163,37.80190408163266,51.29327755102041,71.17200306122449
2024-08-29,0.0,502.88922448979594,117.20396836734695,104.97691326530611,94.82862244897959,73.02004897959183,76.70258163265306,41.98047551020408,51.33525306122449,0.0
2024-08-30,0.0,503.0099061224489,116.57267142857144,105.91874999999999,94.7490306122449,73.01392653061225,76.65870408163265,42.034557142857146,51.30668163265306,71.16894183673469
2024-09-02,0.0,502.93031428571425,117.30601734693877,105.90956632653061,94.72760204081632,72.88739591836735,76.6515612244898,42.094761224489794,51.349538775510204,0.0
2024-09-03,0.0,502.59350204081636,116.85939285714286,105.6156887755102,94.48270408163265,72.79964081632653,76.33523469387755,42.02027142857143,51.90668163265306,0.0
2024-09-04,544.2139632653061,507.7497285714286,116.77579897959183,105.72895408163265,94.83270408163266,72.81188571428572,76.29033673469388,42.110577551020405,48.384232653061225,71.18730918367346
2024-09-05,544.2017183673469,507.84360612244893,116.93359081632653,105.64323979591836,95.6255612244898,72.8210693877551,76.23931632653061,41.73302653061224,48.11076326530612,0.0
2024-09-09,0.0,507.87269285714285,116.92440714285715,105.65752551020408,95.60617346938776,72.54555918367348,0.0,41.77935306122449,47.275181632653066,0.0
2024-09-10,0.0,506.37487244897954,117.39455918367348,105.71160714285715,95.72862244897959,73.69045714285714,76.10360204081633,41.78853673469388,47.05273265306123,0.0
