date,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB WING LUNG BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2025-02-25,47.93712787115821,9.143629169537283,3.3758621195205873,1.2422846643482708,0.6991928635342158,0.7110335106800458,0.6439993148793128,0.4327635829032831,64.1858930965612
2025-02-26,47.9128401190565,9.143629169537283,3.3758621195205873,1.2422846643482708,0.716856683244554,0.7110335106800458,0.6439993148793128,0.43865152280672914,64.18515710407328
2025-03-03,47.9128401190565,9.143629169537283,3.3758621195205873,1.2422846643482708,0.716856683244554,0.7125054956559074,0.6439993148793128,0.43865152280672914,64.18662908904913
2025-03-04,47.9128401190565,9.143629169537283,3.3758621195205873,1.2422846643482708,0.722744623148,0.7036735858007384,0.6439993148793128,0.43865152280672914,64.18368511909742
2025-03-07,47.9128401190565,9.143629169537283,3.3758621195205873,1.2422846643482708,0.722744623148,0.6536260966214471,0.6439993148793128,0.4828110720825744,64.17779717919397
2025-03-10,47.9128401190565,9.143629169537283,3.369974179617141,1.2422846643482708,0.722744623148,0.6536260966214471,0.6439993148793128,0.4828110720825744,64.17190923929053
2025-03-11,47.92755996881512,9.143629169537283,3.2890150059447585,1.2422846643482708,0.7345205029548921,0.6550980815973085,0.6439993148793128,0.501946876768774,64.13805358484571
2025-03-12,47.92755996881512,9.143629169537283,3.2831270660413123,1.2422846643482708,0.7345205029548921,0.6550980815973085,0.6439993148793128,0.501946876768774,64.13216564494228
2025-03-14,47.92314401388753,9.146573139489005,3.2801830960895897,1.2422846643482708,0.7345205029548921,0.6550980815973085,0.6439993148793128,0.504890846720497,64.13069365996641
2025-03-17,47.91578408900822,9.146573139489005,3.2801830960895897,1.2422846643482708,0.7345205029548921,0.6550980815973085,0.6439993148793128,0.504890846720497,64.1233337350871
2025-03-18,47.91578408900822,9.146573139489005,3.2757671411620053,1.2422846643482708,0.7345205029548921,0.6595140365248932,0.6439993148793128,0.504890846720497,64.1233337350871
2025-03-19,47.91578408900822,9.146573139489005,3.269879201258559,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.77487143830419
2025-03-20,47.91578408900822,9.181900778909682,3.2301650466098155,1.2422846643482708,2.389002176123709,0.6595140365248932,0.6439993148793128,0.504890846720497,65.76754095312441
2025-03-21,47.91578408900822,9.19956459862002,3.212501226899477,1.2422846643482708,2.389002176123709,0.6595140365248932,0.6439993148793128,0.504890846720497,65.76754095312441
2025-03-24,47.91578408900822,9.231948268088972,3.190421452261555,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.78078881790715
2025-03-25,47.91578408900822,9.23930819296828,3.181589542406386,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.7793168329313
2025-03-31,47.91578408900822,9.262859952582064,3.158037782792602,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.7793168329313
2025-04-01,47.91578408900822,9.27757980234068,3.1344860231788174,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.77048492307613
2025-04-02,47.91578408900822,9.29671560702688,3.1168222034684794,1.2422846643482708,2.389002176123709,0.6624580064766161,0.6439993148793128,0.504890846720497,65.77195690805199
2025-04-03,47.91578408900822,9.29671560702688,3.1168222034684794,1.2422846643482708,2.389002176123709,0.6565700665731702,0.6439993148793128,0.50783481667222,65.76901293810027
2025-04-08,47.91578408900822,9.311435456785494,3.1168222034684794,1.2422846643482708,2.389002176123709,0.6565700665731702,0.6439993148793128,0.50783481667222,65.78373278785888
2025-04-09,47.9128401190565,9.312907441761356,3.1168222034684794,1.2422846643482708,0.6520599046071304,0.6506821266697241,0.6439993148793128,0.510778786623943,64.04237456141472
2025-04-11,47.9128401190565,9.330571261471695,3.1168222034684794,1.2422846643482708,0.6520599046071304,0.6506821266697241,0.6439993148793128,0.510778786623943,64.06003838112505
2025-04-14,47.9128401190565,9.329099276495832,3.1168222034684794,1.2422846643482708,0.6520599046071304,0.6506821266697241,0.6439993148793128,0.510778786623943,64.0585663961492
