date,EVERBRIGHT SECURITIES INVESTMENT,MORTON SECURITIES LTD,CITIBANK N.A.,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2025-01-13,89.74496425903709,3.6286079372052296,2.5113327346188723,1.896090570540525,0.7137500355255402,0.6602724185710975,0.0,0.5181819889456389,0.32680005555600944
2025-01-15,89.721507464138,3.6537966928799315,2.5106763432840977,1.895594986103109,0.7135634814572338,0.6600998420390568,0.0,0.518046550832365,0.3267146392661989
2025-01-17,89.71860127940938,3.657029152961792,2.5104833258417116,1.8955335855609652,0.7135403683001846,0.6600784606319169,0.0,0.5180297706977316,0.32670405659631196
2025-01-22,89.71649691833854,3.659400580528323,2.51042444213973,1.8954891255824429,0.7134119410463793,0.6600629784086492,0.0,0.5180176202443424,0.32669639371159703
2025-01-24,89.77330662804222,3.6390657878971053,2.4964743540518386,1.8849561496331737,0.7097819296358376,0.6563950979746506,0.0,0.5151390665973229,0.32488098616784766
2025-02-03,89.77300749426576,3.6390536621602596,2.4963549654931865,1.8849498687678174,0.7103349148329693,0.6562818407469867,0.0,0.5151373501016273,0.3248799036314018
2025-02-04,89.77310720530308,3.6390577040635628,2.496246668023148,1.884951962384952,0.7103357038032085,0.6562825696803816,0.0,0.5151379222655881,0.32488026447608215
2025-02-10,89.7732069165619,3.6390617459758445,2.4962494406117925,1.8849540560067375,0.7103364927752005,0.6562832986153957,0.0,0.5151384944308199,0.3247695550223089
2025-02-11,89.76862042789597,3.644095864664467,2.4961219079084396,1.8848577542179228,0.7103002018774481,0.6562497692805961,0.0,0.5151121761455849,0.3246418980095828
2025-02-12,89.76872012918807,3.644099911970358,2.496124680219948,1.8848598476304386,0.7103009907705777,0.6562504981427489,0.0,0.5151127482536255,0.32453119382423135
2025-02-13,89.75895045507423,3.654808584789341,2.4957419702978054,1.8846547153033306,0.7102236875719515,0.6561790773461209,0.0,0.5150566877051953,0.32438482191202483
2025-02-14,89.76373533586319,3.655003415759355,2.494986544961418,1.8847551827006803,0.7058192050321843,0.6562140570182916,0.0,0.5150841444082619,0.3244021142566291
2025-02-17,89.75875109611162,3.6604641403995246,2.4947369554079497,1.884650529394215,0.7057800135688838,0.6561776199407091,0.0,0.5150555437394244,0.3243841014376737
2025-02-19,89.76503132887017,3.660720255447086,2.4945783264012666,1.8781187834148685,0.7058293955256001,0.656223531321314,0.0,0.5150915811024533,0.3244067979172406
2025-02-21,89.13533136529911,3.731315772974326,2.474101317875952,1.8649438163704568,0.7008780159285554,0.6516201359049676,0.6083105426643675,0.5114782235950333,0.3220208093872286
2025-02-25,89.13542966483064,3.731319887914909,2.4741040463450874,1.864945873053263,0.7008787888653871,0.651620854519608,0.6083112135166597,0.5114787876594619,0.32191088329498363
2025-02-26,89.13456650327734,3.7312375908276434,2.4751522659896588,1.864904740259005,0.7008633304526584,0.651606482527943,0.6082977967519417,0.511467506607264,0.3219037833065479
