date,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-11-22,73.08208333333333,0.6566666666666667,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.3441666666666667,76.50208333333333
2024-11-26,73.08208333333333,0.6575,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.3441666666666667,76.50291666666666
2024-11-27,73.08208333333333,0.6816666666666668,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.49791666666667
2024-11-28,73.08208333333333,0.72,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.53625
2024-11-29,73.08208333333333,0.7525,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.56875
2024-12-02,73.08208333333333,0.7666666666666666,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.58291666666666
2024-12-05,73.08208333333333,0.7983333333333333,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.61458333333333
2024-12-06,73.08208333333333,0.8225,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.63875
2024-12-09,73.08208333333333,0.8258333333333333,1.0066666666666666,0.6608333333333333,0.7516666666666666,0.315,76.64208333333333
2024-12-12,73.08208333333333,0.8216666666666668,1.0066666666666666,0.6608333333333333,0.7558333333333334,0.32,76.64708333333333
2024-12-19,73.08208333333333,0.8191666666666666,1.0066666666666666,0.6608333333333333,0.7558333333333334,0.33416666666666667,76.65875
2025-01-03,73.08208333333333,0.8216666666666668,1.0066666666666666,0.6608333333333333,0.7558333333333334,0.33416666666666667,76.66125000000001
2025-01-10,73.08208333333333,0.8366666666666667,1.0066666666666666,0.715,0.7558333333333334,0.33416666666666667,76.73041666666667
2025-01-17,73.08208333333333,0.8375,1.0066666666666666,0.715,0.7558333333333334,0.3108333333333333,76.70791666666666
2025-01-22,73.08208333333333,0.8358333333333334,1.0066666666666666,0.715,0.7558333333333334,0.3108333333333333,76.70625
2025-02-18,73.08208333333333,0.9241666666666667,1.0066666666666666,0.715,0.7558333333333334,0.315,76.79875
2025-02-19,73.08208333333333,0.9541666666666667,1.0066666666666666,0.715,0.7566666666666667,0.315,76.82958333333333
2025-02-20,73.08208333333333,0.9941666666666666,1.0066666666666666,0.715,0.7566666666666667,0.315,76.86958333333334
2025-02-21,73.08208333333333,1.1375,1.0066666666666666,0.7233333333333333,0.7566666666666667,0.315,77.02125
2025-02-25,73.08208333333333,1.1541666666666668,1.0066666666666666,0.7233333333333333,0.7566666666666667,0.315,77.03791666666666
2025-02-26,73.08208333333333,1.1375,1.0066666666666666,0.7233333333333333,0.7566666666666667,0.315,77.02125
2025-02-27,73.08208333333333,1.155,1.0066666666666666,0.7233333333333333,0.7558333333333334,0.315,77.03791666666666
2025-02-28,73.08208333333333,1.1400000000000001,1.0066666666666666,0.7233333333333333,0.7558333333333334,0.315,77.02291666666666
2025-03-05,73.08208333333333,1.1408333333333334,1.0066666666666666,0.7224999999999999,0.7558333333333334,0.315,77.02291666666666
2025-03-10,73.08208333333333,1.1158333333333332,1.0066666666666666,0.7474999999999999,0.7558333333333334,0.315,77.02291666666666
