date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-07-04,445974512.0,32593653.0,23841446.0,2239623.0,5198872.0,3435997.0,1361303.0,930030.0,761253.0,2987032.0
2024-07-05,446786766.0,32424293.0,23440296.0,2254873.0,5129623.0,3234697.0,1326461.0,964905.0,761153.0,0.0
2024-07-08,447278262.0,31816686.0,23590000.0,2253923.0,5135162.0,3131404.0,1398861.0,793852.0,763245.0,0.0
2024-07-09,447328899.0,31968849.0,23638350.0,2257373.0,5118452.0,3931249.0,1388061.0,835627.0,0.0,0.0
2024-07-10,447162606.0,31943154.0,23595450.0,2278923.0,5073349.0,3973199.0,1428611.0,840099.0,763045.0,0.0
2024-07-11,447550385.0,31785593.0,23590550.0,2279673.0,5201951.0,3935143.0,1422110.0,943940.0,768545.0,2981882.0
2024-07-12,447435023.0,31549655.0,24038137.0,2299363.0,5228228.0,3997398.0,1438608.0,1026392.0,775145.0,0.0
2024-07-15,447634721.0,31410804.0,24231101.0,2302973.0,5214258.0,3947734.0,1418058.0,879593.0,774645.0,2983682.0
2024-07-16,447859368.0,31329658.0,24350651.0,2303523.0,5293594.0,3925139.0,1339800.0,763593.0,779371.0,2985032.0
2024-07-17,447780258.0,31581254.0,24339051.0,2307993.0,5262705.0,3935464.0,1340325.0,722750.0,778729.0,0.0
2024-07-18,447962143.0,31540894.0,24437526.0,2345463.0,5198069.0,3921416.0,1335375.0,647646.0,715429.0,2958882.0
2024-07-19,448075637.0,31540655.0,24466102.0,2358663.0,5256048.0,3990630.0,1289663.0,636436.0,720979.0,2954982.0
2024-07-22,462597626.0,31809240.0,24457333.0,2372633.0,5084192.0,3961606.0,1290454.0,664303.0,0.0,2950882.0
2024-07-23,462346525.0,31771889.0,23931834.0,2379554.0,5475789.0,3962511.0,1327331.0,842667.0,689579.0,2929382.0
2024-07-24,462871815.0,31831686.0,23991654.0,2389218.0,5104780.0,3895864.0,1415628.0,897850.0,688079.0,0.0
2024-07-25,462563761.0,31536411.0,24024593.0,2392278.0,5035454.0,3930344.0,1992328.0,1082176.0,705809.0,2946332.0
2024-07-26,462880237.0,31255086.0,24180373.0,2391278.0,5044146.0,3899076.0,1874028.0,1041520.0,0.0,2968782.0
2024-07-29,462827877.0,31391623.0,24236041.0,2389827.0,4905228.0,3883652.0,1810735.0,1066268.0,709759.0,2976332.0
2024-07-30,462110554.0,31661266.0,24140409.0,2392302.0,5423751.0,3882516.0,1444248.0,1120557.0,649059.0,2980332.0
2024-07-31,461495020.0,32253121.0,24095069.0,2404102.0,5418923.0,3911667.0,1338933.0,1156021.0,646677.0,2919782.0
2024-08-01,461175214.0,32468610.0,23945969.0,2420282.0,5421163.0,3979205.0,1417164.0,1240582.0,632227.0,2853182.0
