date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-06-06,3.732807211145475,0.0,0.24657504000992259,1.537588193805951,0.9968175788078861,0.0,0.0,0.46305857632195185,0.018697633365681334,0.1311755840811081,7.126719817537976
2024-06-07,3.732807211145475,0.0,0.24657504000992259,1.5364195917205958,0.9962332777652085,0.0,0.0,0.46364287736462934,0.018113332323003793,0.13906364815725492,7.13285497848609
2024-06-11,3.732807211145475,2.248682562744519,0.24657504000992259,1.5361274411992571,0.9962332777652085,0.0,0.0,0.46481147944998447,0.018113332323003793,0.13584999242252843,9.379200337059899
2024-06-12,3.732807211145475,2.248682562744519,0.24657504000992259,1.5562858271716324,0.9962332777652085,0.0,0.0,0.46831728570604964,0.018113332323003793,0.13584999242252843,9.40286452928834
2024-06-13,3.732807211145475,2.248682562744519,0.27316073745175073,1.5425547526687102,0.9962332777652085,0.0,0.0,0.4618899742365967,0.018113332323003793,0.13584999242252843,9.409291840757792
2024-06-14,3.732807211145475,2.248682562744519,0.24657504000992259,1.5410940000620164,0.9962332777652085,0.0,0.0,0.4528333080750948,0.018113332323003793,0.13584999242252843,9.372188724547769
2024-06-17,3.732807211145475,2.248682562744519,0.26498052285426515,1.5551172250862773,0.9968175788078861,0.0,0.0,0.4598449205872253,0.018113332323003793,0.13584999242252843,9.41221334597118
2024-06-18,3.732807211145475,2.248682562744519,0.26498052285426515,1.5332059359858696,0.9868844610823679,0.0,0.0,0.46276642580061306,0.018113332323003793,0.13584999242252843,9.383290444358643
2024-06-19,3.732807211145475,2.248682562744519,0.3102638536617746,1.532621634943192,0.9851315579543354,0.4618899742365967,0.0,0.45633911433116003,0.018113332323003793,0.12796192834638162,9.873811169686439
2024-06-20,3.732807211145475,2.248682562744519,0.3102638536617746,1.532621634943192,0.9854237084756742,0.4618899742365967,0.0,0.45779986693785396,0.018113332323003793,0.13000698199575303,9.877609126463842
2024-06-21,3.732807211145475,2.247806111180503,0.3102638536617746,1.532621634943192,0.9819179022196087,0.4618899742365967,0.0,0.46276642580061306,0.018113332323003793,0.126209025218349,9.874395470729116
2024-06-24,3.732807211145475,2.247806111180503,0.3102638536617746,1.532621634943192,0.9845472569116578,0.4618899742365967,0.0,0.46744083414203336,0.018113332323003793,0.13146773460244687,9.886957943146683
2024-06-25,3.732807211145475,2.2469296596164865,0.3412318089236844,1.532621634943192,0.9848394074329966,0.4618899742365967,0.0,0.47678965082487407,0.018405482844342562,0.13351278825181828,9.929027618219466
2024-06-26,3.732807211145475,2.2469296596164865,0.3412318089236844,1.532621634943192,0.9825022032622863,0.4618899742365967,0.0,0.485846316986376,0.018405482844342562,0.13234418616646318,9.934578478124903
2024-06-27,3.732807211145475,2.24605320805247,0.3412318089236844,1.532621634943192,0.9825022032622863,0.4618899742365967,0.0,0.4873070695930698,0.018405482844342562,0.13701859450788353,9.939837187509001
2024-06-28,3.732807211145475,2.24605320805247,0.3412318089236844,1.532621634943192,0.9825022032622863,0.4618899742365967,0.0,0.4852620159436984,0.018405482844342562,0.136434293465206,9.937207832816952
2024-07-02,3.732807211145475,2.24605320805247,0.3412318089236844,1.532621634943192,0.9822100527409475,0.4618899742365967,0.0,0.48409341385834326,0.018405482844342562,0.13468139033717336,9.933994177082225
