date,CHONG HING SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-05-14,40.48288052148154,17.317871563437638,12.38245146153551,13.661111239823393,1.1371422797808417,0.0,7.483146261139989,3.604202231311357,3.9311944414897333
2024-05-16,40.48747304192018,17.29431137188751,12.38385617040714,13.662661004360288,1.13727128120303,0.0,7.483995175587453,3.6046111046968257,3.9458208499375647
2024-05-20,40.57666819693125,17.222054276337555,12.374731255489277,13.65259381547333,1.1421012912347805,0.0,7.486982666728297,3.6019550846987136,3.942913413106794
2024-05-21,37.979905602622,16.11202680161508,11.57713234739774,12.772631762559374,1.0684884810644817,6.466594363845224,7.012371916766126,3.324722544628384,3.6861261795015836
2024-05-22,37.99570847652428,16.108610054361673,11.5746772785453,12.769923173811923,1.0682618953513416,6.465223045462774,7.010884859750799,3.321366723665817,3.6853444925260965
2024-05-23,38.1674024884144,16.019834277676843,11.558438710279068,12.74141952801076,1.0667631888823474,6.45615273073575,6.993107849506925,3.3167070481533596,3.6801741783405437
2024-05-27,38.26773211608595,15.954645657095067,11.5495727273522,12.731646131202504,1.0659449205628353,6.451200492694026,6.987743736208098,3.3141629443345444,3.6773512744647747
2024-05-30,38.26874433379411,15.955067672562631,11.549878224474444,12.731982895284288,1.0659731158141568,6.451371133048614,6.985283474058758,3.3142506070789635,3.67744854388403
2024-06-04,38.27380622566464,15.95717808482599,11.551405952538373,12.733666982960415,1.066114114447456,6.452224470247433,6.972980210765998,3.3146889903731354,3.67793496817656
2024-06-11,38.27583135737939,15.958022406063002,11.552017156932482,12.707884898505394,1.0661705243454418,6.452565868339079,6.994513838344448,3.314864376164644,3.6781295739261144
2024-06-17,35.751401702856256,14.90553305283976,10.790119801699777,11.869753880931327,7.591214765238903,6.026995788000155,6.5332003272772345,3.096237069189141,3.435543611967446
2024-06-21,36.030089572008805,14.862526625283348,10.771487616450328,11.849257402927437,7.57810639180342,6.016588479825321,6.373909023722692,3.0908905425787268,3.427144345399926
2024-06-24,36.09456954592274,14.853531220793828,10.764968274853388,11.840976348984835,7.566123798722223,6.012946996221117,6.352793905850918,3.0890198101410786,3.425070098509872
2024-06-26,36.099019361000906,14.855362395622112,10.76629540297122,11.837504844833239,7.567056566509354,6.013688285078266,6.346180164515798,3.0894006310540534,3.4254923484150477
2024-07-02,36.0901208277394,14.851700497356479,10.763641473877234,11.822261685783195,7.602166780224649,6.012205890094237,6.34461580913227,3.088639083101777,3.42464795269076
2024-07-03,36.08567320604535,14.84987022514318,10.762314999921808,11.820804751133478,7.601229915478341,6.011464966630071,6.356157574827102,3.0882584499014434,3.4242259109192297
2024-07-04,36.0840978510924,14.850236243495923,10.762580268557038,11.821096109335098,7.601417269954192,6.0116131367131285,6.356314240864585,3.088334569036058,3.4243103109515753
2024-07-05,36.08567320604535,14.84987022514318,10.762314999921808,11.820804751133478,7.601229915478341,6.011464966630071,6.356157574827102,3.0882584499014434,3.4242259109192297
2024-07-09,36.29831547771098,14.639646447845422,10.76178450187836,11.820222077815282,7.600855234231975,6.011168648374837,6.35584426591937,3.0881062228884497,3.4240571233353245
2024-07-10,36.496671176208615,14.49926317096894,10.749068219941758,11.806255130561462,7.591873952540178,6.004065763598819,6.348334107393481,3.0844572714182203,3.420011207368529
2024-07-15,36.49936668779657,14.492948397060157,10.749862107083045,11.807127097688575,7.59243466077887,6.004509202091125,6.348802972295381,3.08468507823045,3.420263796975835
2024-07-16,36.50296132267033,14.494375732996623,10.7509208057051,11.80582779950005,7.7261369562661875,6.005100555315479,6.349428233242128,2.9446479531406102,3.420600641163496
