date,THE HONGKONG AND SHANGHAI BANKING,CMB WING LUNG BANK LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG BANK LTD
2024-07-12,6.167682652256514,2.4630301624695368,1.8081300989667177,1.909682340934515,0.0,0.0,53.06821094494683,0.7988501676779364,1.6554805684335194,0.0
2024-07-15,6.166571043851979,2.464463057863522,1.807970888367386,1.9085678667391934,0.0,0.0,53.06980305094014,0.0,1.656595042628841,0.0
2024-07-16,6.163944068963008,2.4612788458768886,1.8151353653373103,1.888427725923739,0.0,0.8146451328164315,53.072509631128774,0.0,1.6364549018133865,0.0
2024-07-17,6.164580911360334,2.4865137258709558,1.7937613423770358,1.8632724512293375,0.0,0.805092496856532,53.08007213459703,0.800442273671253,1.6451318794769618,0.0
2024-07-18,6.163721094518643,2.490653201453579,0.0,1.8734619295865635,0.0,0.8038188120618788,53.0761714749134,0.0,1.6442562211806375,0.0
2024-07-19,6.166188858808284,2.491130833251574,1.7920100257843872,1.8739395613845584,0.0,0.0,0.0,0.0,1.639957534998683,0.0
2024-07-22,6.168099306394964,0.0,1.7864376548077796,1.8733027189872318,0.5408103848641521,0.8059681551528561,53.07569384311541,0.0,1.6425049045879894,0.0
2024-07-23,6.174069703869901,2.505459787191423,1.7850047594137946,1.8754520620782094,0.5442334127497827,0.8054109180551954,53.07752476500772,0.0,1.646007537773286,0.0
2024-07-24,6.174547415273196,2.5377795388557494,1.7208911286947348,1.8697204805022696,0.5456663081437676,0.8048536809575344,53.06550436475818,0.0,1.6682174163800518,0.0
2024-07-25,6.176298811471144,2.545740068822332,1.7144430994218025,1.869481664603272,0.0,0.0,0.0,0.0,1.6694911011747051,0.0
2024-07-26,6.17844823416742,2.554496651785573,1.7119753351321623,1.8764869309738648,0.0,0.805092496856532,0.0,0.0,1.6699687329727,0.0
2024-07-29,6.14147945339731,2.5796519264799747,1.6915963784177102,1.8920099644087012,0.0,0.8056656550141259,53.067892523748164,0.7993277994759315,1.6782476841379461,0.0
2024-07-30,6.141638584391343,2.5876124564465575,1.6887305876297405,1.8933632545030203,0.5472584141370841,0.8061432868121209,53.0682876844557,0.0,1.677770052339951,0.0
2024-07-31,6.143310216079025,2.588408509443216,1.5765761138259493,1.9010053632709398,0.0,0.8056653365929274,53.06908373745236,0.0,1.6780884735386143,0.0
2024-08-01,6.147131270462984,0.0,1.5514845233712806,1.9049856282542312,0.0,0.0,53.07091465934467,0.0,1.6824667650202352,0.0
2024-08-02,6.148630158650393,0.0,1.54710623188966,1.901881021567264,0.0,0.0,53.071949528240324,0.7999646418732581,1.6789641318349386,0.0
2024-08-05,6.150907188642035,0.0,1.5416930715123838,1.9021994427659272,0.0,0.0,53.07338242363431,0.0,1.6811930802255817,0.0
2024-08-06,6.151225609840698,2.588567720042547,1.541135834414723,1.9076126031432037,0.0,0.8058245471922589,53.074974529627625,0.0,0.0,0.0
2024-08-07,6.150349951544373,2.5968466712077936,1.6340460454454986,1.9178816868000954,0.545905124042765,0.8059837577915906,53.095433091641745,0.7993277994759315,1.6926592683788482,0.0
2024-08-08,6.149713109147046,2.612767731140959,1.6281552532702273,1.926956690962,0.0,0.8058584590499166,53.096865987035734,0.0,1.6908093208199142,0.0
2024-08-09,6.150588767443371,2.6171460226225793,1.6283144638695588,1.9394547230095347,0.5463031505410942,0.0,53.09758243473273,0.0,1.6924810321128965,0.0
2024-08-12,6.164892645713825,2.6190565498145593,1.6285532797685565,1.9396139336088662,0.0,0.8057793313820487,53.097264013534065,0.0,1.6920034003149016,0.0
2024-08-13,6.170001077003981,2.622877604198519,1.512875953033354,1.9385790647132108,0.0,0.8025951193954156,53.09885611952737,0.0,1.6924014268132306,0.0
2024-08-14,6.1623882629863385,2.6236736571951775,1.4984673937938393,1.9518731497574038,0.0,0.0,53.0997317778237,0.0,1.693117874510223,0.0
2024-08-15,6.157611945006389,2.641903270818652,1.3248448918000826,1.9552657684185621,0.0,0.8025948805795167,53.10012980432203,0.0,1.696302086496856,0.0
2024-08-16,6.158407998003047,0.0,1.3074113311732665,1.9545493207215696,0.5453478869451043,0.805221855468489,53.109921256180925,0.0,1.697894192490173,0.0
2024-08-19,6.158487603302713,0.0,1.4663020764108647,1.9750874880353535,0.0,0.8055400378512533,53.11342388936622,0.0,1.7017457357039043,0.0
2024-08-20,6.160369791008011,2.644530245707624,1.4480724627873902,2.0207809300435384,0.5459847293424309,0.7977387184840021,53.11597125895553,0.7964620086879617,1.7144029783507713,0.0
2024-08-21,6.162757949997986,0.0,1.5285674312822832,2.0226914572355184,0.0,0.0,53.11915547094216,0.0,1.7144825836504372,0.0
