date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SUNCORP SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,TOTAL_CCASS_PCT
2024-11-22,1.40360421471369,0.0,0.0,0.0,0.654973798997733,0.024588581137984167,0.41965246848311605,0.3435012702135534,0.06185754995541743,2.908177883501494
2024-11-25,1.40360421471369,0.0,0.0,0.0,0.655477250699985,0.024588581137984167,0.41763866167410835,0.3435012702135534,0.06185754995541743,2.9066675283947383
2024-11-26,1.40360421471369,0.0,0.0,0.0,0.6577427833601187,0.024588581137984167,0.41763866167410835,0.3435012702135534,0.06185754995541743,2.908933061054872
2024-11-27,1.40360421471369,0.0,0.0,0.0,0.6579945092112447,0.024588581137984167,0.4166317582696044,0.3435012702135534,0.06185754995541743,2.908177883501494
2024-11-28,1.40360421471369,0.0,0.0,0.0,0.6572393316578667,0.024588581137984167,0.4166317582696044,0.3435012702135534,0.06185754995541743,2.907422705948116
2024-11-29,1.4088789427698456,0.0,0.0,0.0,0.6607199166369521,0.024680984735401434,0.4176921118271273,0.34479214392875535,0.06209000989734018,2.918854109795422
2024-12-02,1.4088789427698456,0.0,0.0,0.0,0.6609725884708526,0.024680984735401434,0.4176921118271273,0.34479214392875535,0.06209000989734018,2.9191067816293224
2024-12-03,1.4088789427698456,0.0,0.0,0.0,0.6617306039725541,0.024680984735401434,0.41693409632542583,0.34479214392875535,0.06209000989734018,2.9191067816293224
2024-12-05,1.4088789427698456,0.0,0.0,0.0,0.6619226345663185,0.024680984735401434,0.41693409632542583,0.34479214392875535,0.06209000989734018,2.9192988122230865
2024-12-06,1.4088789427698456,0.0,0.0,0.0,0.6614172908985175,0.024680984735401434,0.41693409632542583,0.34479214392875535,0.06209000989734018,2.9187934685552857
2024-12-10,1.4088789427698456,0.0,0.0,0.0,0.662175306400219,0.024680984735401434,0.41718676815932626,0.34479214392875535,0.06209000989734018,2.919804155890888
2024-12-11,1.4088789427698456,0.0,0.0,0.0,0.6621449857801509,0.024680984735401434,0.41718676815932626,0.34479214392875535,0.06209000989734018,2.91977383527082
2024-12-12,1.4088789427698456,0.0,0.0,0.0,0.6808427014887884,0.024680984735401434,0.4040478327965,0.34479214392875535,0.06209000989734018,2.925332615616631
2024-12-13,1.4088789427698456,0.0,0.0,0.0,0.6821060606582909,0.024680984735401434,0.4032898172947985,0.34479214392875535,0.06209000989734018,2.925837959284432
2024-12-16,1.4088789427698456,0.0,0.0,0.0,0.6821060606582909,0.024680984735401434,0.40430050463040046,0.34479214392875535,0.06638543107364878,2.9311440677963425
2024-12-17,1.4088789427698456,0.0,0.0,0.0,0.6821060606582909,0.024680984735401434,0.40430050463040046,0.34479214392875535,0.06209000989734018,2.9268486466200336
2024-12-18,1.4088789427698456,0.0,0.7614619455159212,0.0,0.6826114043260919,0.024680984735401434,0.44422265438668046,0.34479214392875535,0.06209000989734018,3.7287380855600363
2024-12-19,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6904442311770076,0.024680984735401434,0.4697425096106316,0.34479214392875535,0.0582999323888326,3.711455332121241
2024-12-20,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6904442311770076,0.024680984735401434,0.46923716594283055,0.34479214392875535,0.0582999323888326,3.7109499884534403
2024-12-23,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6904442311770076,0.024680984735401434,0.46898449410893006,0.34479214392875535,0.0582999323888326,3.71069731661954
2024-12-27,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6889282001736047,0.024680984735401434,0.46898449410893006,0.34479214392875535,0.0582999323888326,3.7091812856161366
2024-12-30,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6876648410041021,0.024680984735401434,0.4712585406140346,0.34479214392875535,0.0582999323888326,3.7101919729517387
2025-01-02,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6869068255024006,0.16218499674405684,0.4712585406140346,0.34479214392875535,0.0582999323888326,3.846937969458693
2025-01-07,1.4088789427698456,0.0,0.7146165875107673,0.0,0.688170184671903,0.16218499674405684,0.47378525895303963,0.34479214392875535,0.0582999323888326,3.850728046967201
2025-01-08,1.4088789427698456,0.0,0.7146165875107673,0.0,0.6884228565058036,0.16218499674405684,0.4763119772920447,0.34479214392875535,0.0582999323888326,3.853507437140106
