date,ORIENT SECURITIES (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FOSUN INTERNATIONAL SECURITIES LTD,MIB SECURITIES (HONG KONG) LTD
2024-09-09,37.16725381900317,20.59348274203221,8.709386094254437,9.345608304004989,8.093736829003964,6.914305385874561,5.644829568586827,1.7932009870976533,1.7381962701421827
2024-09-10,37.170763805856666,20.595427541452803,8.700764826290522,9.346490880975693,8.09450118221671,6.914958356393278,5.645362652835463,1.7933703327243449,1.738360421254522
2024-09-11,36.78412925559923,20.38120262246972,8.605123111322236,10.300644946000928,8.005632841615812,6.8416300570165385,5.586641980273571,1.7747164536795283,1.7202787320224284
2024-09-12,36.78945841982401,20.384155384382847,8.591882120761927,10.302137269719044,8.006792671493521,6.8426212499814625,5.587451354674444,1.7749735687893724,1.720527960373374
2024-09-13,36.785332480306046,20.381869300383435,8.590918540771945,10.300981884532463,8.00075449879198,6.8582090649764424,5.586824721738296,1.7747745054189028,1.7203350030804871
2024-09-16,36.78326985757085,20.380726450661268,8.586231440848872,10.3004042891161,7.9998386157850945,6.868104356903149,5.586511457974951,1.774674990476454,1.720238540663261
2024-09-17,36.78894262676883,20.38386959583812,8.58334958237398,10.301992832396898,7.975368787561751,6.8836510354196205,5.587373017870133,1.7749486834260308,1.7205038383446372
2024-09-19,36.78752358277751,20.383083337641924,8.585355099036523,10.30159545807778,7.97471253661092,6.885254794120349,5.58715749854443,1.7748802190972333,1.7204374740933293
2024-09-20,36.78580450966619,20.382130840515757,8.582617417919145,10.301114066724654,7.974339879999194,6.891942515563808,5.586896411869139,1.77479727932409,1.7203570784180195
2024-09-23,36.79336963336864,20.38632249387724,8.58438246188985,10.303232525277526,7.954947101315242,6.893827260550757,5.588045375797805,1.775162272319182,1.7207108756037568
2024-09-24,36.81005828842762,20.395569276855035,8.568169090664862,10.30790584265292,7.938448232194323,6.899759783218343,5.5826306876688685,1.7759674464886492,1.7214913518293744
2024-09-25,37.202866338948596,20.613214784072976,8.659601866203177,9.35456297856204,8.022688525100723,6.972916008244601,5.639368565344862,1.7949191771536137,1.7398617563694123
2024-09-26,37.20374545580194,20.61370188160878,8.65980649564959,9.354784030184657,8.02287810406024,6.973080780709282,5.637138790342277,1.7949615917268527,1.7399028699163792
2024-09-27,37.20356962910748,20.61360446025998,8.659765568986638,9.354739819024372,8.02284018755157,6.973520430413971,5.6371121489526095,1.7949531086518422,1.7398946470515424
2024-09-30,37.20356962910748,20.61360446025998,8.659765568986638,9.354739819024372,8.02284018755157,6.9739930352345745,5.636639544132007,1.7949531086518422,1.7398946470515424
2024-10-02,37.204448779199524,20.614091576212545,8.659970206169923,9.354960879004771,8.023029773678914,6.9765209162083925,5.632046582544211,1.7949955248287421,1.739935762152979
2024-10-03,36.82417803671047,20.403392690282367,8.573794629622107,10.31185979009525,7.941025508351526,6.911762127043748,5.535186850446814,1.7766486791318166,1.7221516883158983
2024-10-04,36.76986239172598,20.373297695826835,8.572358574943948,10.296649801838885,8.064667972688607,6.902968567250771,5.52655535714513,1.7740281231801893,1.719611515399649
2024-10-07,36.773984861447666,20.37558185729546,8.570516782509372,10.29780421537981,8.055294896863185,6.903275348973649,5.5295107079657475,1.774227019144099,1.719804310421011
2024-10-08,36.785670213845584,20.382056430426772,8.56763260793043,10.301076459919933,8.057387262378299,6.880234950899617,5.530800476796287,1.7747907999807615,1.7203507978223205
2024-10-09,36.781373265262005,20.379675594411,8.593264588937629,10.299873187133368,8.035887446691971,6.8855054083737475,5.529687180249802,1.774583485970447,1.7201498429700368
2024-10-10,36.7861859151436,20.38234216813105,8.57850068052709,10.301220871547354,8.036471597732838,6.89294857855921,5.527139591881882,1.7748156809171134,1.720374915559861
2024-10-14,36.78481074381284,20.381580218722434,8.578179991988629,10.300835782871754,8.036171171769485,6.8987656088018126,5.524596545633599,1.7747493333037072,1.7203106030957342
2024-10-15,36.82145978920038,20.401886574617752,8.608243048366566,10.19416090073181,8.044177683045769,6.905171161652443,5.526358745614441,1.7765175323932922,1.722024564377542
2024-10-16,36.82938419717759,20.406277298767407,8.661559303781347,10.100445253068518,8.046376735449682,6.929581956821732,5.527080231063884,1.7768998597042118,1.722395164165628
2024-10-17,36.83352002508059,20.40856886168349,8.654577602527972,10.10157950237029,8.045408703091644,6.928956415806682,5.527700905374358,1.777099400157597,1.7225885839073707
2024-10-18,36.83593302034822,20.409905844411423,8.650465224728366,10.102241265446917,8.043128156738362,6.930346206952688,5.528063029768564,1.7772158194528413,1.7227014321526162
