date,GET NICE SECURITIES LTD,CHONG HING BANK LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IMAGI BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD
2024-10-08,48.30080600969721,15.595255387647958,8.848399725923557,7.694162215054695,7.157544168348341,6.391931494021002,2.543882124550456,1.2864955603839445,1.1210062818197242,1.0605170325531124
2024-10-09,48.300260172818454,15.595079149066713,8.848299732087275,7.694075265004892,7.157463282502095,6.3946844556947,2.542723298493945,1.286481021978083,1.1204285744725178,1.0605050478813285
2024-10-10,48.30320783853348,15.59603088472955,8.848839725653837,7.694544818621917,7.1579000877915275,6.388971915464337,2.5428784756764897,1.286559533273632,1.120496951928111,1.0605697683271205
2024-10-14,48.30375374203725,15.596207144822532,8.848939731695397,7.6946317792848715,7.157980983510724,6.389044121065377,2.5417770543322638,1.2865740734540558,1.1205096153357685,1.060581754461757
2024-10-15,48.299605184848254,15.594867668027057,8.812695768207785,7.693970927539165,7.157366221899722,6.433697914406247,2.5404286914985588,1.2864635763247827,1.1204133806156913,1.0604906666327347
2024-10-16,48.30236250976972,15.593933695373623,8.812167978102366,7.693510137579571,7.156937569059303,6.433651600435078,2.5402765458711407,1.2863865303487922,1.1203462793436374,1.060427154116762
2024-10-17,48.304699127433985,15.593228884424871,8.811769687805986,7.693162408117252,7.156614091477779,6.4333608137627065,2.5401617310490843,1.2863283885528458,1.120295642195917,1.0603792251795754
2024-10-18,48.30520951730746,15.593211264967454,8.811307753871759,7.693153715283431,7.15660600491289,6.433353544432683,2.5401588608115104,1.2863269350752864,1.1202943763258715,1.0603780270116567
2024-10-21,48.310520248680305,15.593211264967454,8.810968771018173,7.693153715283431,7.15660600491289,6.432901567294569,2.53563908943036,1.2863269350752864,1.1202943763258715,1.0603780270116567
2024-10-22,48.314758164016524,15.592682699759793,8.81044412350008,7.692892939403338,7.156363416463668,6.432683510353312,2.5332933294396067,1.286283332275837,1.1202564015546967,1.0603420832331414
2024-10-23,48.31534215131383,15.592506519320192,8.810344575016433,7.6928060180386195,7.15628255730191,6.432610827991304,2.5332647059665963,1.2862687986662396,1.120243743869737,1.0603301025151375
2024-10-25,48.316020086379886,15.592506519320192,8.809666639950375,7.6928060180386195,7.15628255730191,6.432610827991304,2.5332647059665963,1.2862687986662396,1.120243743869737,1.0603301025151375
2024-10-29,46.63446358019577,15.049835977781273,11.983390346674225,7.4250710517206535,6.9072203731069175,6.20873480156734,2.4450987572690637,1.2415024113845072,1.081255574880478,1.0234271254197658
2024-11-01,46.639854263602544,15.049815921284674,11.98337437674418,7.425061156535581,6.9072111680470005,6.203406962714672,2.445095498754155,1.2415007568688747,1.0812541339213344,1.0234257615269837
2024-11-04,46.64094482997365,15.049815921284674,11.98337437674418,7.425061156535581,6.9072111680470005,6.203406962714672,2.4440049323830473,1.2415007568688747,1.0812541339213344,1.0234257615269837
2024-11-05,46.644289721582595,15.049487671981524,11.983113009142803,7.424899209627844,6.907060515888563,6.203271661125382,2.443951626553917,1.2414736786799832,1.081230550847771,1.0212223545696222
2024-11-11,46.645962112671455,15.04932355269944,11.982982329617554,7.424818238823096,6.906985192273707,6.203204012543996,2.443924974511326,1.241460140028481,1.0801282290045358,1.0212112178264097
2024-11-13,46.653454365783595,15.04931309842244,11.982974005428357,7.424813081042664,6.9069803942151,6.205926028216018,2.433741762166863,1.2414592776263844,1.0801274786744854,1.0212105084240963
2024-11-14,46.65717306488942,15.049175914051748,11.982864772751942,7.424745398996091,6.906917432553489,6.2031431571408575,2.4332134666835286,1.241447960909892,1.0801176326032753,1.0212011994197567
2024-11-18,46.60353397829551,15.028116331533392,11.965769440133341,7.414355325858468,6.897251999811586,6.323619978586066,2.4292639686651665,1.239710697957798,1.0786061328013428,1.0197721463573264
2024-11-26,46.605058569807404,15.028116331533392,11.965769440133341,7.414355325858468,6.897251999811586,6.323075481617534,2.4282838741218056,1.239710697957798,1.0786061328013428,1.0197721463573264
2024-11-27,46.60429729284951,15.027870852629711,11.965573983570517,7.414234215016846,6.8971393356677915,6.322972196441741,2.4298776731965983,1.239690447727077,1.078588514156055,1.0197554887441584
2024-11-29,46.78354786299912,15.027592652900184,11.786872587198854,7.414096960846014,6.89701165408758,6.323072935186065,2.429832690689223,1.2396674982653313,1.0785685470538722,1.0197366107737573
2024-12-02,46.832418583331844,15.027445374860376,11.737318952468842,7.414024298930526,6.896944059870701,6.324099911177126,2.4298088770948563,1.2396553488942792,1.0785579765343567,1.0197266168370953
2024-12-03,46.83861279660147,15.025694623762256,11.735951512858687,7.413160538600075,6.896140541236277,6.323363130933518,2.429525795675914,1.2395109246152864,1.0784323206750472,1.019607815041469
2024-12-09,46.8403217112304,15.025334706805712,11.735670396540511,7.412982967962161,6.895975355001786,6.322776147735833,2.4294676001946316,1.2394812340744654,1.078406488519635,1.0195833919348607
2024-12-12,46.84490942853512,15.024745788976936,11.734883792159783,7.4126924161761645,6.895705067323502,6.322528326594179,2.4271948778490238,1.239432652621112,1.0783642203891641,1.0195434293750143
2024-12-13,46.84580790129648,15.024614924617621,11.734781582240847,7.412627852205668,6.89564500627233,6.322037761782766,2.4271737371716977,1.2394218572597608,1.0783548279212452,1.0195345492315793
2024-12-16,46.84961849203824,15.024614924617621,11.734781582240847,7.412627852205668,6.89564500627233,6.318227171041016,2.4271737371716977,1.2394218572597608,1.0783548279212452,1.0195345492315793
2024-12-17,46.85367090611258,15.02416879243413,11.734433136456625,7.412407745942333,6.895440250997161,6.317821819698756,2.4248452101260214,1.239385054587465,1.0783228078797087,1.0195042757652126
2024-12-18,46.85903774131408,15.02271316661733,11.733078518217749,7.411689590267385,6.894772182035328,6.317209713653241,2.4246102775092244,1.239264976005592,1.0782183339124845,1.0194055004675808
2024-12-19,46.86225661579301,15.021895523038847,11.73211335715687,7.411286193069292,6.894396919182524,6.31686588588398,2.4244783128633083,1.2391975263353205,1.078159649553198,1.0193500171236547
2024-12-20,46.86296075404041,15.021911875038175,11.732126128082445,7.4112942605829195,6.89440442403926,6.316655053204825,2.423936679846065,1.2391988752567724,1.0781608231777806,1.0193511267313449
2024-12-23,46.86245063548701,15.021748356646855,11.73199842007782,7.411213586236992,6.894329376207139,6.317674826851927,2.423910294507777,1.2391853861744044,1.0781490870469301,1.0193400307631473
2024-12-30,46.862624160767055,15.021699301823638,11.731960108218587,7.411189384275698,6.8943068621761,6.317654195936376,2.4239023790183034,1.2391813395069586,1.078145566257498,1.0193367020197934
2025-01-02,46.86414810127593,15.021699301823638,11.731960108218587,7.411189384275698,6.8943068621761,6.3161302554274945,2.4239023790183034,1.2391813395069586,1.078145566257498,1.0193367020197934
2025-01-03,46.86609565322332,15.021521071996006,11.731810025409317,7.411101451813466,6.894225062434339,6.31605531564977,2.422567400618041,1.2391666368376992,1.078132774249445,1.0193246077686002
2025-01-06,46.868378243370465,15.021275808505694,11.731618474589615,7.410980447249388,6.894112497155917,6.315625640948587,2.422527846212509,1.2391464043770204,1.0770266728179299,1.0193079647728702
2025-01-07,46.86881364266927,15.021275808505694,11.731618474589615,7.410980447249388,6.894112497155917,6.315516791123887,2.422201296738411,1.2391464043770204,1.0770266728179299,1.0193079647728702
