date,KGI ASIA LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-06-17,28.147342992744452,25.15002826429205,11.971515602189706,6.75387135462262,9.738767733802183,7.6721384856095645,3.6741510747849713,1.6228824935252633,2.4628680302071193,2.806433968222072
2024-06-18,28.13973320307423,25.138526321158572,11.967730103466396,6.751735720986921,9.735688249629252,7.669712487815515,3.6729892758394556,1.660443446010461,2.4620892496338116,2.8013519423853865
2024-06-19,28.1372512363999,25.131250332160022,11.966262901064646,6.750907981492451,9.73449468785446,7.658448287680621,3.6722163575367275,1.6718542912148793,2.4763054182896314,2.8010085063066583
2024-06-20,27.914780693497548,24.992882755282636,11.895564821161349,6.715549277298506,9.683509084275062,7.618336230409051,3.6529826763373583,2.2346789262452544,2.4620517356575897,2.8296637998356484
2024-06-21,27.912324652946513,24.990396482141726,11.894381459337888,6.714881219517493,9.682545776089217,7.617578364062318,3.6622463042152305,2.23445662206981,2.4618068126064223,2.829382307013383
2024-06-24,27.936966892660603,24.994727323105554,11.897359399565238,6.725870845657898,9.68496994944101,7.619485541255422,3.6631632035621253,2.2029179387296245,2.4637070881240586,2.810831817898465
2024-06-25,27.931972862875327,24.994566867415646,11.897283023496565,6.725827668381636,9.68490777598679,7.619436627346762,3.6689173109655595,2.20290379691831,2.4633702930789654,2.8108137735344387
2024-06-26,27.940115159440786,24.995127720654796,11.899383722756067,6.727015245509508,9.6866178368934,7.619176809949085,3.6747017024882265,2.2032927629003587,2.4638052495425824,2.7907637898651885
2024-06-27,27.96173841869985,24.940750002023172,11.907908710422674,6.731834631398489,9.693557549025948,7.624635360563794,3.678298139157782,2.2048712516748425,2.4639640466103017,2.7924418904231474
2024-06-28,27.961302989124093,24.939788526042246,11.907449655734775,6.731575116455871,9.693183858469235,7.624341427792651,3.680726366192334,2.2047862529980047,2.464511566529803,2.792334240660989
2024-07-02,27.955516855980576,24.94179168466352,11.908406059611671,6.732115795167529,9.693962412978365,7.624953813308538,3.6810220013676407,2.2049633409707496,2.4647095155856493,2.7925585203657595
2024-07-03,27.939221808392716,24.93642394380852,11.905843243013239,6.730666971704837,9.691876168383395,7.655433843973651,3.680229805985901,2.204488809230659,2.463857873660883,2.791957531846199
2024-07-04,27.941257669549213,24.923054700345602,11.899460125798603,6.727058438034759,9.68668003230552,7.683433293432507,3.6461529314924217,2.240547296017766,2.462215879970408,2.790139633053202
2024-07-05,27.882768733216178,24.900351869543158,11.888620706910167,6.720930647065591,9.642253535573856,7.672264634614711,3.6428315893022782,2.691398812177882,2.4269362324549753,2.5316432391412045
2024-07-08,27.86137503473779,24.8600843963186,11.888608687339367,6.757135251713399,9.5418005450367,7.73222870242544,3.720199540803263,2.687046430726657,2.4223710719101774,2.529150338988604
2024-07-09,27.921641971278373,24.86812746865939,11.892455051582514,6.772134623402913,9.416755523351826,7.712307218066094,3.748951554967619,2.687915780503627,2.423154790318249,2.5565560178693945
2024-07-10,27.955045290449515,24.875617777606625,11.8960370728903,6.774174398236202,9.419591861079281,7.714630173979528,3.718038066488856,2.6887253838662244,2.4238846473623443,2.53425532804112
2024-07-11,27.960882604872655,24.880241708996955,11.898248332917433,6.775433595813669,9.421983767001924,7.715743699093691,3.7248184234208823,2.6892251697132967,2.4243352040644,2.5090874941050947
2024-07-12,27.98115653477895,24.905704090427776,11.910424972556019,6.782367558778886,9.353989138516896,7.723639973229073,3.712589678068191,2.7083388466610447,2.426816263067124,2.4949729439160397
