date,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD
2024-09-03,0.0,19.611611843205697,17.762981760527232,21.733593210436386,14.679112425682808,10.878914583032767,1.5011145017802106,11.531770637792878,2.3009010375420176,0.0
2024-09-05,0.0,19.615177287453673,17.746515824854324,21.737544436654787,14.681781128152648,10.880892399223214,1.5029024310817918,11.533867144985566,2.301319347593994,0.0
2024-09-12,0.0,19.600626545165493,17.73335127505208,21.72141930036668,14.708737499198673,10.874334738955524,1.5366072337518943,11.52531120251544,2.2996122049942143,0.0
2024-09-13,0.0,19.593211010739008,17.726642189677996,21.713201403237584,14.741005870410975,10.870220635590714,1.5360258868334367,11.520950814249215,2.2987421892610738,0.0
2024-09-16,0.0,19.593507524382076,17.726910455622363,21.71352999973191,14.741228953260984,10.870385139954998,1.5345357833654973,11.52112516643149,2.298776977250681,0.0
2024-09-19,0.0,19.587875299374453,17.752073068354484,21.707288366552348,14.736991533378385,10.867260408206405,1.532581761591687,11.517813377095274,2.298116185446962,0.0
2024-09-20,0.0,19.59232152365398,17.75610258646618,21.71221567342473,14.740336662370757,10.869727152370354,1.510230780741419,11.520427789363149,2.2986378316094345,0.0
2024-09-24,0.0,19.563309289560777,17.72980941828805,21.680064308256547,14.866588842770737,10.8536313023562,1.5079944368302225,11.503368384357199,2.2952340175802686,0.0
2024-09-25,0.0,19.559171697281027,17.726059606766658,21.67547902744446,14.887615745724817,10.851335785763421,1.5046541058917398,11.50093544995363,2.2947485811742494,0.0
2024-09-26,0.0,19.404392952791248,17.615761780201797,21.706283381532007,15.036580812693112,10.765465271666397,1.7700145462672998,11.424911842671994,2.276589412176146,0.0
2024-09-27,0.0,19.395091115460023,17.607317354707856,21.77077928042294,15.02937276299644,10.760304656387392,1.742201630986849,11.419435110071154,2.2754980889673466,0.0
2024-09-30,0.0,19.37936802237897,17.59440250655296,21.829656809518042,15.018348819758115,10.752412045722286,1.7409237378776303,11.41105903167771,2.273829026514291,0.0
2024-10-02,0.0,19.455810719876958,17.20579937471063,21.623468131010757,14.802356007560459,10.650851785301397,2.4050788801000786,11.60428317858398,2.2523519228557456,0.0
2024-10-03,74.95552289740682,5.0132389377699775,4.379345726680739,5.367440481507135,3.5294898138823814,2.6634671379487584,0.5972824136254509,2.934858715533196,0.5593538756455363,0.0
2024-10-04,75.27269772638351,5.001332875348074,4.016534255603197,5.294350651074881,3.590300915379462,2.5990717761497035,0.9028666192775167,2.5946314485139124,0.7282137322697347,0.0
2024-10-07,73.68379172158433,5.256598741351133,4.212561854916823,5.157519568135345,3.6223883289421046,2.5549110349174526,1.7760946313705763,1.9057153137748246,0.6040469441254174,1.2263718608819956
2024-10-08,73.76678513781339,5.318289999718887,4.298957600297396,5.163328717722069,3.5152918805484004,2.56216290553254,1.6804056045675073,1.8612041251457032,0.6058208491954874,1.2277531794586285
