date,YUE XIU SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,HANG SENG BANK LTD
2024-06-19,34.297197987595816,24.624512406551453,12.394909721206728,7.909570607808663,5.668205281128196,5.276606846941036,3.6121898752619805,1.5507960531510794,2.4231102976156134,2.2429009227394405
2024-06-20,34.30345773520849,24.618900652838544,12.398250819340207,7.911223325374577,5.663790743867447,5.271577884653953,3.613417541397325,1.5523497710086094,2.423616610429745,2.2434149158811043
2024-06-21,34.34519163066167,24.585482065664372,12.414311310773371,7.869697610318181,5.671880625680165,5.268731667031522,3.617835581326001,1.55423837371304,2.4264868601704705,2.2461442746612077
2024-06-24,34.35240592218345,24.600033222218524,12.40742177459192,7.874067353597717,5.65302448766195,5.269565976661867,3.61859528954,1.5606030529416715,2.4176668378419843,2.2466160827609163
2024-06-25,34.326647024549345,24.631333716935046,12.406735617044841,7.8742420883661985,5.6463610677514335,5.269511617594881,3.6204139774774395,1.564196277819028,2.4156271381626495,2.2449314742991375
2024-06-26,34.35035651012624,24.58586743851591,12.423889522721884,7.837597500959102,5.668683946144937,5.272969690691876,3.628584824537927,1.5687268699286452,2.4172956167865727,2.246028079586908
2024-06-27,34.35143656381182,24.58721939955456,12.425143370527787,7.833302965713434,5.675172612447191,5.267233643965457,3.6286989155346845,1.5683222065207274,2.417371622083324,2.2460986998410113
2024-06-28,34.3692558954362,24.57534832794643,12.426728552515195,7.838816763367211,5.674718121964712,5.272237064739569,3.6352597524294437,1.5675459705035242,2.379426132383572,2.260663418714144
2024-07-02,34.38159088724092,24.45997319362661,12.448029648348756,7.844222448734592,5.7418880763722,5.276626148111794,3.6410732171802698,1.5712029272247776,2.3739186911678645,2.261474761992215
2024-07-03,34.36709949921416,24.44988201371219,12.449978003233952,7.837237234617092,5.779527924449442,5.269763701017312,3.637625938585251,1.5678609367541305,2.3805031682707876,2.260521580145679
2024-07-04,34.37381883007125,24.49164277483761,12.447188371104216,7.820916198636818,5.758813328022631,5.266679398145377,3.6361111645537876,1.5628977898573353,2.3809685956308804,2.260963549140093
2024-07-05,34.363978816613866,24.60347925188073,12.445627996581297,7.818995253299556,5.740743635801243,5.230928557746515,3.5896503802061797,1.5644940781280405,2.38178571482048,2.260316314922091
2024-07-08,34.18796054714045,24.99163561544754,12.386068534727174,7.784863938466562,5.697493206553348,5.200520214760622,3.573535490396298,1.5595980758234493,2.369585794607035,2.2487385820775243
2024-07-09,34.145298516538745,25.069725979061136,12.371248648978154,7.790402167592353,5.689591795730134,5.193489140631198,3.5717904524816615,1.555891977270351,2.3666288664935986,2.245932455222676
2024-07-10,34.11153979768463,25.133403870250966,12.368617662121054,7.782696854659816,5.683064984669263,5.189706902019454,3.5682996739947197,1.554669272597405,2.364289031669859,2.2437119503328313
2024-07-11,34.12192040166768,25.10994357141147,12.370193208224563,7.786643575512224,5.685515945560044,5.186776655337284,3.5747925002273773,1.5554129522231603,2.364332085146186,2.244469104690006
2024-07-12,34.11545201265245,25.1299823874383,12.37091413738578,7.779690779369594,5.684798854735754,5.183043112919171,3.574069750749694,1.5541541393861409,2.3638511978775245,2.2440436274855897
2024-07-15,34.089468116532224,25.1174669915608,12.368425965138965,7.775550752166787,5.684893121914255,5.244088291546412,3.568157403227051,1.5475641170175989,2.3620507801680786,2.2423344607278337
2024-07-16,34.122392340765856,25.09630495073361,12.353036855745817,7.78400532737939,5.691556192282031,5.249153126768294,3.559008621929311,1.5402199522588178,2.3598224842724913,2.2445001478643833
2024-07-17,34.11245434077231,25.083405475539323,12.356206035910507,7.779568066834691,5.725338158519326,5.242665210305029,3.5580126506213805,1.5393684185219128,2.359135196124601,2.243846446850919
2024-07-18,34.12879356723819,25.052899643822187,12.3544552132973,7.783294334173328,5.738765842064214,5.244184049004981,3.5590357935813666,1.5333851718817637,2.3602651776805468,2.244921207256122
2024-07-19,34.129256907895716,25.054744890792858,12.362767109460938,7.773669149306242,5.74070194397277,5.242455970472687,3.5590913790977243,1.5325521210120632,2.360302040630585,2.244458487358413
2024-07-22,33.90202296772362,25.573572844649934,12.274236528832926,7.706185224818476,5.706467761981012,5.207551491609753,3.535394808156039,1.5221243038536303,2.342929274253107,2.2295147941215063
2024-07-23,33.8980907453866,25.536482669035138,12.275236531919616,7.706187395601235,5.7493540383336486,5.20605148442888,3.534242861874668,1.5224405529460088,2.342657522952748,2.2292561975214595
