date,CMB INTERNATIONAL SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-07-05,45.444144758384105,27.385938466713494,12.078034947066577,5.3847198162349255,3.314679358758663,1.5082894225576573,1.6407393247446789,1.7333891672782549,1.510064738261641
2024-07-08,45.443757895565135,27.38570533213891,12.077932127601668,5.384673976492565,3.3146511411256214,1.5084184647606274,1.640725357245813,1.7340838218832866,1.5100518831863703
2024-07-09,45.44311313883702,27.38531678333519,12.077760765716965,5.384597578656299,3.3146041128048225,1.5057013404070614,1.643397801498941,1.7354780201964126,1.5100304585472872
2024-07-10,45.433186195092354,27.379334523750387,12.075122406603748,5.383421325676277,3.313880045145481,1.4995566078997895,1.6848843068332342,1.7209139931386428,1.5097005958600869
2024-07-11,45.459108507003016,27.394956048650343,12.083005486648338,5.387486395645857,3.315770809130113,1.4346985607806109,1.6858456326875901,1.72856659037735,1.5105619690767826
2024-07-12,45.45904398694007,27.394917167019205,12.082988337251875,5.387478749192312,3.3157661030602323,1.4346965245145138,1.685843239968729,1.7287060669152314,1.5105598251378332
2024-07-15,45.4567859001134,27.393556379458644,12.082388139042715,5.390759208003563,3.315601399029946,1.4360444872471116,1.6857594990873086,1.7286201969088582,1.5104847911084547
2024-07-16,45.46181851503829,27.396589176827646,12.083725805260704,5.392917354205189,3.315968476128675,1.421867680849801,1.6859461330132866,1.7305148386679565,1.5106520200084532
2024-07-17,45.464528846202704,27.39822249973179,12.084730103790806,5.393238867784049,3.3161661666961586,1.420958820290849,1.6860466453221885,1.725365968504058,1.5107420816773913
2024-07-18,45.46820766972821,27.400439463770503,12.085707955987528,5.393675268963803,3.3164344987435395,1.421073799085736,1.6861830740551222,1.7245118693064172,1.5037664003591438
2024-07-19,45.47950602410015,27.407248174535116,12.088711122778582,5.396151488729485,3.3172585965942907,1.4153211880755558,1.6888739726004833,1.7158527900541651,1.4910766425321738
2024-07-22,43.746223512550024,26.36272267055399,11.627994782429806,8.99807478325722,3.1908336018127,1.3656155244544241,1.6245088117438684,1.649776520687253,1.434249792510708
2024-07-23,43.753992334638944,26.36740438444292,11.630059779484686,8.999672737012334,3.1914002568648945,1.3500116918912812,1.6247973056737888,1.6481570113464152,1.4345044986447333
2024-07-24,43.75429119059337,26.367584483569484,11.630139217095516,8.999734208106554,3.1914220553093067,1.3500209129705731,1.62480840364048,1.6474852318735653,1.4345142968411535
2024-07-25,43.75811690741616,26.36988996970102,11.631156114365329,8.993690145112405,3.1917011017002643,1.3478164250732036,1.624950471005177,1.6480391400483814,1.434639725578053
2024-07-26,43.755845083210694,26.36852090360397,11.63055225058266,8.993770174000632,3.1915353956705736,1.3530743272077197,1.6248661071871329,1.6472705162655497,1.434565242271068
2024-07-29,43.76266059093796,26.372628123053932,11.632363851263335,8.995171063641815,3.192032516320619,1.3532850850736717,1.6251191999451007,1.6319508764204036,1.4347886933431564
2024-07-30,43.76301936068579,26.37284432794215,11.632459214300892,8.987593266384861,3.1920586848552888,1.3532961794116793,1.625132522800651,1.6387959877645037,1.4348004558541816
2024-07-31,39.65208354464716,23.89547709180615,10.541482311185906,8.13924668054518,2.892208524464913,1.2305055421758602,1.4724735977221846,1.484853567435672,1.300020619613306
2024-08-01,43.7607472516257,26.371475090183583,11.633768060583117,8.975786557153304,3.191892958048406,1.3630631023588713,1.625048148404578,1.643629495990169,1.4345893356522672
2024-08-02,43.761524525542995,26.371943497627132,11.633974698381628,8.970890674802162,3.1919496521246935,1.3628140529812132,1.6250770123435967,1.6472110695152513,1.4346148166813322
2024-08-05,43.762242033666794,26.372375888497995,11.634165447480264,8.971037760330072,3.1920019869057827,1.3625631330533807,1.6251036568897088,1.6458717547413344,1.4346383384346681
2024-08-06,43.76582992723977,26.374538055552456,11.635119286806042,8.963301367995397,3.192263686555561,1.3632214179276378,1.6252368927271572,1.645733406423901,1.4347559587720826
2024-08-07,43.73672517135724,26.356998699097943,11.627381805143532,9.024251426573079,3.1901407962673085,1.405055810565556,1.6241560924066163,1.5952069506889262,1.4400832478997962
2024-08-08,43.78532090842791,26.357070681604966,11.62741356020419,8.963783125137342,3.1901495087286507,1.4173494113937237,1.6241605280720217,1.5946650955797101,1.4400871808514832
2024-08-09,43.823530225767605,26.38007121367653,11.637560237797139,8.966821858965266,3.1929333968539657,1.4215930492127842,1.6255778538730017,1.5105682890475325,1.4413438748061775
