date,WELL LINK SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,WELL LINK INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2025-02-04,80.3719331420126,8.844220045797476,5.3167951608623145,2.235922021274913,1.4139926576419044,1.3612710820400438,0.4558658903707557
2025-02-05,80.37165065400885,8.844540436427668,5.316776473606794,2.2359141625470755,1.4139876877979856,1.3612662974997758,0.45586428811185375
2025-02-11,80.37263937070975,8.84464924027542,5.316841879575834,2.235941668336198,1.4127749014976574,1.3612830435378598,0.45586989606728734
2025-02-28,80.37334561181828,8.844726958948502,5.316888599110396,2.2359613157427636,1.4119086072999576,1.361295005245889,0.45587390183421583
2025-03-03,80.37362811173695,8.844406562217165,5.316907287154117,2.23596917480207,1.4119135699410386,1.3612997899879618,0.4558755041606987
2025-03-04,80.37009700548292,8.848411359482638,5.316673696049487,2.2358709405314214,1.4118515394348377,1.3612399831294812,0.4558554758892169
2025-03-10,80.3702382437759,8.848426909227662,5.316683039299591,2.235874869736521,1.411678285671105,1.361242375302923,0.45585627698628745
2025-03-11,80.37037948256531,8.848442459027341,5.316692382582534,2.2358787989554303,1.411505031298437,1.3612447674847725,0.45585707808617354
2025-03-14,80.36600131091309,8.847960440649553,5.316402756080545,2.2357569995905595,1.4114281396456316,1.366618107821723,0.4558322452989005
2025-03-18,80.36656620948398,8.848022633618303,5.316440125468971,2.2357727148919717,1.410735153277745,1.3666277138815426,0.45583544937748766
2025-03-20,80.36868464985503,8.84825586503822,5.316580265354538,2.2358316492399615,1.4107723398646868,1.3666637378086284,0.45321149283894213
2025-03-31,80.36515397794666,8.847867152835743,5.316346702982911,2.2357334270526734,1.4107103633088784,1.3709967930413391,0.4531915828317884
2025-04-30,80.36811972150271,8.848193668790659,5.316542893996001,2.235815933110039,1.4070720880619414,1.3710473874184173,0.4532083071202382
